,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,portugal,0.84,rysiland,0.806,rysiland,0.647,turkiet,0.679,turkiet,0.737,tyskland,0.786,kyssland,0.645
1,rysiland,0.833,rystland,0.779,byssland,0.644,österrike,0.674,österrike,0.723,österrike,0.731,tyskland,0.626
2,preussen,0.833,preussen,0.772,handelstraktat,0.618,marocco,0.624,tyskland,0.697,kyssland,0.728,österrike,0.608
3,bemedling,0.817,bemedling,0.769,öfvervälde,0.61,persien,0.617,preussen,0.689,frankrike,0.708,hyssland,0.602
4,dannemark,0.814,österrike,0.764,engeland,0.608,frankrike,0.614,serbien,0.681,turkiet,0.688,eyssland,0.599
5,sardinien,0.795,engeland,0.758,florida,0.606,krigsförklaring,0.614,kyssland,0.68,byssland,0.687,polen,0.596
6,österrike,0.792,sardinien,0.755,nederländerna,0.606,engeland,0.611,byssland,0.679,mellanasien,0.668,mandschuriet,0.595
7,förenta,0.79,portugal,0.755,tractaten,0.606,marocko,0.611,ryhland,0.652,kina,0.661,rumenien,0.592
8,spanien,0.786,danmark,0.754,tilsit,0.606,vestmakterna,0.608,furstedömet,0.65,tripelallians,0.66,mellanasien,0.591
9,holland,0.78,definitiv,0.751,despotisk,0.599,ryhland,0.608,servien,0.642,eyssland,0.66,byssland,0.591
10,mediation,0.774,höfwen,0.746,österrike,0.598,eventuel,0.604,atschin,0.641,tsarriket,0.657,japan,0.591
11,rytzland,0.771,spanien,0.733,ratifikation,0.594,nystland,0.602,mellanasien,0.641,hyssland,0.653,österrikeungern,0.586
12,defensiv,0.766,tractaten,0.732,turkiet,0.593,byssland,0.6,england,0.638,vestmakterna,0.646,tsarriket,0.585
13,marocco,0.765,stämpling,0.73,kina,0.591,kyssland,0.593,vestmakterna,0.637,bulgarien,0.645,balkanstat,0.584
14,bayern,0.765,offensiv,0.728,portugall,0.59,rysiland,0.592,rumänien,0.636,österrikeungern,0.642,kina,0.579
15,amerikansk,0.765,rytzland,0.728,fredsslut,0.587,kaukasien,0.591,frankrike,0.636,trekejsarförbundet,0.641,vasallstat,0.576
16,venedig,0.763,nederländerna,0.726,rystland,0.587,savojen,0.591,vestmakternas,0.633,balkanstat,0.632,tripelallians,0.574
17,underhandling,0.76,förenta,0.724,integritet,0.584,slesvigs,0.59,österike,0.63,italien,0.627,novibazar,0.573
18,england,0.759,pohlen,0.724,traktat,0.583,sardinien,0.588,armenien,0.629,serbien,0.626,shimonoseki,0.571
19,ängland,0.758,mediation,0.721,texas,0.582,intervenera,0.587,hyssland,0.629,trippelallians,0.622,eogland,0.57
20,höfwen,0.755,äterwanda,0.72,polen,0.579,protektorat,0.585,kysslands,0.625,england,0.622,turkiet,0.567
21,engeland,0.754,ratificera,0.72,bemedling,0.578,tractaten,0.585,vestmagterna,0.624,kysslands,0.621,rhenprovinserna,0.567
22,sicilien,0.754,dalmatien,0.719,fördrag,0.578,serbien,0.584,öfverherrskap,0.621,servien,0.621,taikun,0.565
23,pälsta,0.753,dannemark,0.718,ratificera,0.577,storbrittanien,0.584,sydtyskland,0.614,lydstat,0.615,bulgarien,0.565
24,skottland,0.752,konvention,0.712,mediation,0.577,rytzland,0.584,medling,0.611,grannstat,0.615,furstedömet,0.563
25,toscana,0.748,toscana,0.71,medlare,0.576,vestmakterne,0.581,eyssland,0.61,storbrittanien,0.613,frankrike,0.563
26,offensiv,0.747,pästäs,0.708,arabien,0.575,storbrittannien,0.581,schuwaloff,0.61,vestmagterna,0.611,lydstat,0.561
27,irland,0.747,traktat,0.708,pålska,0.574,portugall,0.581,yenetien,0.61,preussen,0.611,balkanbalfön,0.56
28,återställande,0.746,krigsförklaring,0.708,alliance,0.573,florida,0.58,kejsarhus,0.61,balkanbalfön,0.611,servien,0.56
29,corpsen,0.745,westphalen,0.707,preussen,0.573,biläggning,0.578,påfvestolen,0.609,japan,0.609,kysslands,0.56
30,alliance,0.745,bistä,0.707,rytzland,0.573,montenegro,0.578,skyddsmakt,0.609,österike,0.608,gammalserbien,0.559
31,hugnelig,0.744,defensiv,0.707,preusten,0.571,fredsslut,0.578,sydslavisk,0.606,polen,0.607,armenien,0.558
32,america,0.744,tilsit,0.706,storbritannien,0.57,preussen,0.577,rumenien,0.605,rumenien,0.607,tnrkiet,0.557
33,polen,0.744,bayern,0.706,mexiko,0.57,herat,0.574,polen,0.603,tripoli,0.607,franklike,0.557
34,marschera,0.742,portugall,0.704,marocco,0.569,preusien,0.574,berlinfördraget,0.603,käjsarne,0.607,tripoli,0.556
35,upror,0.741,ministeren,0.703,tractat,0.566,fredsunderhandling,0.573,siebenbiirgen,0.603,rumänien,0.607,zanzibarkusten,0.556
36,tractat,0.74,organisation,0.703,magterne,0.565,czar,0.572,bulgarien,0.602,eogland,0.606,finland,0.556
37,parma,0.74,ängland,0.702,prince,0.565,donaufurstendömena,0.571,defensivallians,0.601,ryhland,0.606,vestmakterna,0.555
38,cöln,0.739,preusien,0.702,höfwen,0.565,furstendöme,0.571,breussen,0.6,franklike,0.606,darfur,0.555
39,frankrike,0.737,georgien,0.701,förhållanderne,0.564,katholikerna,0.57,nikita,0.599,rytzland,0.605,bysslands,0.554
40,alliera,0.737,florida,0.701,neutralitet,0.562,defensiv,0.57,bessarabiens,0.599,vestgränsen,0.604,österike,0.554
41,angelsta,0.737,alliance,0.699,frankrike,0.561,ratificera,0.57,sydslav,0.598,rankrike,0.604,italien,0.553
42,westindien,0.736,administration,0.699,pohlen,0.561,ryhlands,0.569,czecherna,0.597,czecherna,0.603,kapkolonien,0.553
43,nuwarande,0.736,tractat,0.698,nederländerne,0.561,vestmakternas,0.569,aggressiv,0.596,vestmakternas,0.6,fiankrike,0.553
44,landstigning,0.735,konungarike,0.698,colonier,0.559,skyddsmakt,0.569,vasallstat,0.596,defensivallians,0.599,nordafrika,0.553
45,provins,0.734,böhmen,0.698,öfwerhand,0.559,stormakt,0.568,krigsförberedelse,0.596,novibazar,0.599,påfvestolen,0.552
46,bern,0.73,återställande,0.698,påle,0.559,gränsreglering,0.568,hegemoni,0.596,furstedömet,0.599,kaschgar,0.551
47,förenamde,0.729,skottland,0.698,rättstillstånd,0.558,vapenmakt,0.566,skräckvälde,0.596,novembertraktaten,0.598,transvaals,0.551
48,turkista,0.728,magterne,0.698,makterne,0.558,handelsfördrag,0.565,novibazar,0.596,bysslands,0.597,korea,0.551
49,utbrott,0.728,oafhängighet,0.697,schah,0.558,återwända,0.564,aktift,0.594,kaukasien,0.596,trekejsarförbundet,0.55
50,underhandla,0.727,preusten,0.697,truppernes,0.558,anslutning,0.564,mellanstaterna,0.594,protestnot,0.595,vestmagterna,0.55
51,preusten,0.727,america,0.695,dannemark,0.554,öfvervälde,0.563,trekejsarförbundet,0.594,östasien,0.595,albanien,0.549
52,moreau,0.727,polen,0.694,diversion,0.554,siebenbiirgen,0.563,tsar,0.594,magternas,0.595,statsområde,0.548
53,oenighet,0.726,oenighet,0.692,krigförande,0.554,eventuell,0.563,vänskapsförhållande,0.593,tullförhållandena,0.594,bokhara,0.547
54,toulon,0.726,hofwct,0.69,intervenera,0.553,fredsvilkor,0.562,bundsförvant,0.593,montenegro,0.593,zansibar,0.547
55,rystland,0.726,bäjern,0.688,declaration,0.553,preusten,0.562,arfsföljden,0.59,påfvestolen,0.592,atchin,0.546
56,stallning,0.726,maynz,0.685,piemont,0.552,handelstraktat,0.56,afghanistan,0.59,balkanfrågan,0.592,vestgränsen,0.546
57,compagniet,0.726,tripoli,0.685,storbrittannien,0.552,ängland,0.56,taikun,0.59,prenssen,0.591,rytzland,0.546
58,constantinopel,0.725,basel,0.685,defensiv,0.552,fördrag,0.56,bokhara,0.589,bessarabiens,0.591,rumänien,0.545
59,bretagne,0.725,makterne,0.685,förenta,0.551,franklike,0.559,ockupering,0.589,marokko,0.591,sydryssland,0.545
60,schwaben,0.724,batavista,0.685,japan,0.551,armékorps,0.558,regeringon,0.589,shimonoseki,0.59,preussen,0.545
61,observation,0.723,ratifikation,0.685,fiendtligheterna,0.55,schachen,0.558,lobanoff,0.588,verldsfreden,0.59,kolonisationsplan,0.545
62,förlikning,0.723,marocco,0.685,böhmen,0.55,adrianopel,0.558,bessarabien,0.588,rhenländerna,0.589,bukharest,0.544
63,algier,0.722,nungen,0.683,hofwets,0.55,england,0.558,rhenländerna,0.586,atschin,0.589,tunesien,0.543
64,traktat,0.722,formligen,0.681,gränsorne,0.549,siebenburgen,0.558,orienten,0.586,curia,0.589,mellanstaterna,0.543
65,befintlig,0.721,venedig,0.681,revolution,0.549,georgien,0.557,ungern,0.586,korea,0.588,nederländerne,0.543
66,hoswet,0.719,holland,0.68,belgien,0.549,texas,0.557,marocko,0.586,russificering,0.588,litthauen,0.543
67,gesandt,0.719,domingo,0.679,sardinien,0.549,fredsförslag,0.557,nndersåter,0.585,gammalserbien,0.588,turinerkabinettet,0.542
68,garantera,0.719,parma,0.678,inkräktning,0.548,aktift,0.557,lothringens,0.585,maktsfer,0.587,rankrike,0.542
69,suwarow,0.718,krigförande,0.677,buonapartes,0.548,servierne,0.556,rhengränsen,0.584,feking,0.586,grannstat,0.541
70,berattas,0.718,pälen,0.677,chefskap,0.548,tillintetgörande,0.555,londonerfördraget,0.583,kolonisationsplan,0.585,mandalay,0.541
71,spansta,0.718,allians,0.676,brytning,0.548,grannstat,0.555,afslutando,0.583,tremaktsförbundet,0.585,czecher,0.541
72,erkehertig,0.718,trier,0.675,oafhängighet,0.547,tilsit,0.554,cirkulärnote,0.583,donauländerna,0.585,defensivallians,0.541
73,tystland,0.717,stadeständ,0.675,bajern,0.547,makterne,0.553,parisfördraget,0.582,tnrkiet,0.585,serbien,0.54
74,fortsättande,0.717,carthagena,0.675,handelsfördrag,0.546,rystland,0.553,novembertraktaten,0.581,grekland,0.584,wienerfördragen,0.54
75,eskader,0.717,brittiffa,0.675,dalmatien,0.545,kabinetterna,0.553,suttorina,0.581,rhenprovinserna,0.584,magternas,0.54
76,ärkehertig,0.717,manifest,0.675,krigs,0.545,försvarande,0.552,prenssen,0.581,orienten,0.583,protestnot,0.538
77,preusen,0.716,envojé,0.675,allvarligen,0.544,anfallskrig,0.552,gortschakoff,0.581,vasallstat,0.583,bessarabiens,0.537
78,förord,0.715,palen,0.674,republikansk,0.544,ungern,0.552,försvarsförbund,0.581,fredsbrott,0.583,nikolsburg,0.537
79,klagomal,0.715,tvstland,0.674,stillestånd,0.544,declaration,0.551,persien,0.58,torten,0.582,magts,0.537
80,nederländerne,0.715,buonapartes,0.674,stadeständ,0.544,afflutandet,0.551,rhenprovinserna,0.579,alliansfördrag,0.581,östrumilien,0.537
81,maynz,0.715,grenada,0.674,faction,0.543,piemont,0.549,rystland,0.579,mellanstaterna,0.581,regeringon,0.537
82,stagit,0.714,fredsslut,0.673,konvention,0.542,donaufurstendömenas,0.549,bosnisk,0.579,rysk,0.581,trosförvandters,0.536
83,genua,0.714,preussista,0.672,franklike,0.542,maynz,0.548,chablais,0.578,fiankrike,0.58,ryhland,0.536
84,flagit,0.714,formlig,0.672,nationalitet,0.542,westmakterna,0.548,hurnvida,0.578,centraleuropeisk,0.58,magterna,0.535
85,verona,0.713,sachsen,0.672,hyfsning,0.542,ultimatum,0.548,eröfringslystnad,0.578,tsarrikets,0.579,militärism,0.535
86,neutralitet,0.713,piemont,0.671,skymf,0.541,lombardiet,0.548,fredsförhandling,0.578,berlinkongressen,0.578,östasien,0.535
87,danmark,0.713,svansta,0.67,utvandring,0.541,fiendtligheter,0.547,savojen,0.577,verldsdelens,0.578,tremaktsförbundet,0.534
88,grans,0.713,directorium,0.67,biläggande,0.541,grekland,0.547,parisertraktaten,0.576,atchin,0.577,negus,0.534
89,majus,0.712,stallning,0.67,propaganda,0.541,blokera,0.547,turinerkabinettet,0.575,eugland,0.577,romagnan,0.534
90,medelhafwet,0.712,hoswet,0.67,fredstraktat,0.541,moldau,0.547,rydland,0.575,turinerkabinettet,0.577,macedonien,0.534
91,bender,0.712,ungern,0.67,slafhandel,0.54,orienten,0.546,lydstat,0.575,mäkling,0.575,trippelallians,0.534
92,holländsta,0.712,förlikning,0.669,kriga,0.54,limburg,0.546,införlifning,0.575,herzegovina,0.574,magyarerne,0.534
93,preusien,0.712,proklamera,0.669,pånyttfödelse,0.54,herzegowina,0.545,mazzinistiska,0.574,kejsarmötet,0.573,grekland,0.534
94,gebiet,0.711,grans,0.669,algiers,0.54,lithauen,0.545,småstat,0.574,finland,0.572,ceuta,0.533
95,giorde,0.71,orolighet,0.668,status,0.539,offensiv,0.545,bemedlingsförsök,0.574,portugall,0.572,algirien,0.533
96,departement,0.71,dresden,0.668,penningesumma,0.539,ryfiland,0.545,abessinien,0.574,armenien,0.572,wienerfördraget,0.533
97,utrustning,0.71,garantera,0.668,konungarike,0.538,metternich,0.545,vestmakterne,0.574,fredsmakt,0.572,england,0.532
98,lagstifta,0.71,hannover,0.668,luxemburg,0.537,nederländerne,0.545,kuria,0.574,östrumiliens,0.572,zulfikarpasset,0.532
99,gouverneuren,0.71,nederländerne,0.668,krigsförklaring,0.537,öfverherrskap,0.544,kejsarmakt,0.574,chablais,0.571,koburgaren,0.532
