,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,skal,0.547,ratta,0.623,ratta,0.574,ratt,0.481,ratt,0.496,förnuftsenlig,0.518,beskattningsrätt,0.52,ratt,0.517,skärfven,0.486
1,förnuft,0.529,tillvara,0.59,riklig,0.547,talan,0.456,bejaka,0.465,statsmyndighet,0.511,menniskovärdet,0.52,iaktagas,0.486,motfordran,0.481
2,tänka,0.516,igensä,0.587,rätta,0.542,twista,0.454,förverka,0.463,rälla,0.508,egarno,0.518,rättighet,0.464,pröfningsrätten,0.474
3,at,0.513,fful,0.582,gris,0.522,förhjelpa,0.442,rält,0.462,oekså,0.506,rättighet,0.515,apatitfyndigheter,0.461,öfverträdare,0.467
4,deraf,0.513,rälta,0.577,rälta,0.509,bewaka,0.435,arfvet,0.462,förbållandet,0.505,ratt,0.513,rält,0.459,födoråd,0.467
5,endast,0.509,äterfä,0.57,orätt,0.491,domstol,0.426,fatalier,0.457,voteringarne,0.505,tätta,0.507,komitéo,0.458,okvald,0.466
6,före,0.473,betjäna,0.568,uptagen,0.489,råtta,0.424,forlust,0.457,äktenskapsskilnad,0.504,oveldigt,0.505,motfordran,0.457,viglen,0.465
7,be,0.467,rätta,0.565,återfå,0.489,bcwisa,0.422,svarande,0.456,sinnessvag,0.501,månadsbiljett,0.501,marais,0.456,iaktagas,0.463
8,kärlek,0.466,däri,0.562,niä,0.483,beediga,0.409,knöde,0.454,harvid,0.5,permanens,0.501,aläggas,0.455,9in,0.461
9,fast,0.458,lofwar,0.56,riktig,0.479,asstädde,0.406,betalningsrätt,0.453,handladt,0.5,lagstiftningsrätt,0.5,oör,0.452,sakförareverksamhet,0.461
10,derföre,0.457,pung,0.556,råtta,0.478,handläggning,0.405,förstås,0.453,bedömdt,0.499,principlös,0.498,förpliktad,0.451,upphäfvet,0.458
11,allenast,0.453,ställa,0.554,bokstaf,0.477,hwarannan,0.403,förtjenat,0.452,käromål,0.499,riktig,0.495,skärfven,0.451,cagugli,0.458
12,aldeles,0.442,riktig,0.548,ffäl,0.474,lurd,0.402,auctoritet,0.452,rältwisa,0.498,peningar,0.494,smörgårdsbord,0.45,utgåfves,0.457
13,hwilket,0.438,ssm,0.546,digt,0.474,tingsrätt,0.399,jäfvig,0.452,lagkunskap,0.498,målsmanskap,0.493,medicinera,0.449,vadstäng,0.457
14,sielf,0.437,tilwara,0.543,rättegäng,0.471,redare,0.399,slösa,0.451,argumentera,0.497,återbekommande,0.492,autid,0.449,egarno,0.456
15,föga,0.437,däraf,0.542,förbehålla,0.466,anflag,0.398,tillförlitligen,0.45,rätl,0.494,sämjas,0.49,billighetshänsyn,0.447,tolbiao,0.456
16,forn,0.429,återfå,0.541,s8,0.465,nppgifwa,0.397,uteslutning,0.448,osminkad,0.494,argumentera,0.489,bundsförvandters,0.447,otvifvolaktigt,0.456
17,wille,0.427,uptagen,0.541,likmätigt,0.465,utlåta,0.395,förlika,0.448,skelt,0.494,hämdbegär,0.488,förpligtigat,0.446,axiomatisk,0.456
18,sitta,0.427,igenfä,0.539,hull,0.462,lösen,0.395,prioritera,0.447,passivitet,0.493,beholvet,0.488,sanningsord,0.445,tillbakasända,0.456
19,ingen,0.424,beskrifning,0.537,därsöre,0.462,skeppslag,0.395,konkurslagen,0.447,konklusion,0.493,öfverordnade,0.485,tillfållet,0.443,sjelfmyndig,0.455
20,han,0.424,päminnes,0.536,beskrifning,0.462,edeligen,0.394,motiverna,0.447,auctoritet,0.493,derföie,0.485,domaresätet,0.441,svarandepart,0.455
21,gud,0.422,därsöre,0.536,ratt,0.462,flu,0.394,väld,0.447,rält,0.492,ikasom,0.484,tiltror,0.441,marais,0.455
22,denna,0.42,fynd,0.535,niig,0.461,qwarlemnad,0.393,beifran,0.447,uru,0.492,pröfiva,0.482,kisten,0.44,lomnades,0.454
23,pa,0.417,igenbekomma,0.534,dera,0.461,radstugu,0.392,sammanjemka,0.445,hulu,0.492,förnuftsenlig,0.482,rälla,0.44,lofl,0.454
24,icke,0.416,förloradt,0.528,beskyllning,0.46,stile,0.389,syftemål,0.444,rosträtt,0.491,värdes,0.481,symptomatisk,0.44,vetell,0.453
25,säga,0.412,stick,0.528,läglig,0.46,förbehålla,0.387,lagutskott,0.444,återförande,0.491,förtycka,0.481,skådespelaretalang,0.439,ståthållarefrågan,0.453
26,lärer,0.411,redelig,0.527,fördrifwa,0.459,wälet,0.386,visadt,0.443,hamburgarne,0.491,eludera,0.481,tillstädeskomnes,0.439,kvilken,0.452
27,någon,0.409,uptäcka,0.526,rätteligen,0.458,räll,0.385,wälet,0.442,ståndsprincipen,0.49,bakvänd,0.48,juryinstitutionen,0.439,åfver,0.452
28,ordsak,0.406,anteckna,0.526,harmoni,0.458,peka,0.385,förwilla,0.441,ratt,0.489,calchas,0.48,häradsborna,0.439,juryinstitutionen,0.451
29,an,0.405,uphittade,0.525,uplyst,0.458,niä,0.384,egid,0.441,tillständig,0.489,häfdt,0.479,egarno,0.439,utgifningsrätt,0.451
30,som,0.403,tjufwen,0.524,skeppsholmen,0.458,anstag,0.384,rättsenlig,0.441,försäng,0.489,wårde,0.478,kristendomslära,0.438,vanfräjda,0.45
31,wörö,0.402,forma,0.524,betjäna,0.457,fordring,0.384,andemening,0.441,representationsform,0.488,såker,0.478,sparlakanslexa,0.438,batva,0.45
32,ty,0.402,kai,0.523,bestrifning,0.457,804,0.384,förnärmad,0.44,syslem,0.488,jemlik,0.477,förpligtigas,0.437,förpligtigas,0.45
33,sak,0.399,näqon,0.523,granstning,0.456,dcrä,0.383,delgifvas,0.44,lifslefvande,0.487,ansvarsfri,0.477,tribunalet,0.437,beviskraft,0.449
34,mit,0.398,betjena,0.522,enlig,0.455,beffrifning,0.382,tillvälla,0.439,uplyst,0.487,penningeersättning,0.477,lörmåga,0.437,lrågor,0.449
35,få,0.398,ffäl,0.519,ställa,0.455,ass,0.382,afgjorda,0.439,rättsgrund,0.486,broderfolk,0.476,nattsidan,0.437,medborgar,0.449
36,sit,0.398,auetor,0.517,männistjan,0.453,tillgripa,0.381,vederpart,0.439,beskattningsrätt,0.486,orätt,0.476,misstogo,0.436,beskattningsrätt,0.448
37,stjäla,0.397,answar,0.516,tide,0.453,stamning,0.38,petson,0.439,olämplighet,0.486,söndagsskollärare,0.476,konungamagten,0.436,nödvärn,0.448
38,igenom,0.396,soi,0.515,missta,0.452,heras,0.38,kulma,0.439,bogsta,0.486,wisheten,0.476,rätl,0.436,lifsintresse,0.448
39,hop,0.395,ratt,0.513,däröswer,0.452,andro,0.38,förstådd,0.438,jemlikheten,0.485,rosträtt,0.476,öfverträdare,0.436,obligationsinnehafvarnes,0.447
40,du,0.395,angelägen,0.513,därar,0.451,hwiiket,0.38,svaranderne,0.438,annell,0.485,oinflränkt,0.475,menniskorua,0.435,komitéo,0.447
41,i,0.395,gif,0.512,dcm,0.451,utlaka,0.379,uppskattning,0.438,himmelsskriande,0.484,skattskyldighet,0.475,sakeu,0.435,ett1,0.447
42,ofta,0.393,noga,0.512,uptäcka,0.451,hwiltet,0.379,tillrättavisning,0.437,lagparagraf,0.483,advocera,0.475,batva,0.435,bvars,0.446
43,de,0.39,wärdet,0.511,fon,0.45,ingifwit,0.378,uppfatta,0.437,undervisningssätt,0.483,förpligtigad,0.474,tillfålle,0.434,rättighet,0.446
44,ak,0.389,kart,0.511,hwiiket,0.45,gäldenär,0.378,innia,0.437,arseende,0.483,iätt,0.473,osmak,0.434,autid,0.446
45,all,0.387,syn,0.511,witzhet,0.45,walla,0.378,almän,0.436,objektiv,0.482,förebygt,0.472,människokännedom,0.434,tumskruf,0.446
46,wid,0.383,domare,0.51,erindra,0.45,tillgängar,0.378,stvrka,0.436,åsämjas,0.482,syslem,0.472,ergig,0.434,motbevisning,0.445
47,lycka,0.381,angifwer,0.509,förringa,0.45,rätta,0.377,bedröfvelse,0.436,konservatif,0.481,friköpningsrätt,0.472,9in,0.434,dstta,0.445
48,kunna,0.38,peng,0.509,imitation,0.45,bewakat,0.377,föreskrifves,0.436,ovedersäglig,0.481,orättrådig,0.472,törr,0.433,medicinera,0.445
49,sanning,0.379,utropa,0.508,lagstiftare,0.449,sommarting,0.375,omvända,0.436,bedömmer,0.481,vislig,0.472,svarandebolaget,0.433,delningsgrund,0.445
50,wilja,0.379,lätteligen,0.508,fordring,0.449,teori,0.375,evident,0.435,jemlikhet,0.48,sjelfvo,0.471,befogenhet,0.433,törg,0.445
51,hwilken,0.378,dömma,0.507,tiltror,0.449,hinderlöshet,0.374,lagenlig,0.435,derus,0.48,riksdagsmannarätt,0.471,skafia,0.433,verldsordning,0.445
52,ting,0.375,förbjuda,0.507,hjerna,0.449,rädstugu,0.374,ifiån,0.435,gyckelspel,0.48,genomdrifven,0.471,vanfräjda,0.433,statslag,0.445
53,namn,0.375,desie,0.505,titta,0.448,utslag,0.374,häradsrätte,0.435,likfullt,0.48,lieller,0.471,moddola,0.433,lifslång,0.444
54,gifwa,0.374,kännedom,0.505,fäfängt,0.448,hmar,0.373,dringar,0.435,menlöshet,0.48,rältwisa,0.47,solvent,0.433,civilrättslig,0.444
55,wil,0.374,undwikande,0.505,inge,0.447,förwalta,0.372,förfång,0.434,folkupplysning,0.479,samvetsskrupler,0.469,hahaha,0.433,spirituosaförsäljning,0.444
56,under,0.373,orätt,0.503,erkänfla,0.447,ensta,0.372,icks,0.434,husbondfolk,0.479,kornme,0.469,ganska,0.432,sannolikhetsskäl,0.444
57,til,0.372,ewig,0.502,lätteligen,0.447,bedömma,0.371,förfördela,0.434,okränkbarhet,0.479,hlifwa,0.468,damsällskap,0.432,ordensstjerna,0.444
58,ännu,0.371,gagnelig,0.501,förmåga,0.447,upptagen,0.371,vårdare,0.434,gifvil,0.478,statslag,0.468,derföie,0.432,symptomatisk,0.444
59,skola,0.37,katt,0.501,plägsed,0.446,altfä,0.371,upphäfvas,0.434,förverka,0.478,fuli,0.468,tillbakasända,0.432,uppgåfve,0.444
60,ben,0.37,tacksam,0.5,tjufnad,0.446,häradsrätt,0.371,adelén,0.434,stånde,0.478,sjelfbestämningsrätt,0.467,täuker,0.432,tidningsutgifvaren,0.443
61,mä,0.367,ide,0.5,pröfwa,0.446,decidera,0.37,driffjäder,0.434,jäfvig,0.478,horda,0.467,wiggers,0.432,arseende,0.443
62,man,0.367,swenst,0.499,begriplig,0.446,häfd,0.37,bevislig,0.433,delgifvas,0.478,okränkt,0.467,fosterländskhet,0.432,löfvan,0.443
63,utan,0.367,hm,0.498,flör,0.446,innehafwer,0.369,sökanderne,0.433,flena,0.478,upphäfvet,0.466,ehur,0.432,apatitfyndigheter,0.443
64,dock,0.367,bot,0.498,lanka,0.445,bewakade,0.369,schäferi,0.432,öfverskridande,0.478,nöj,0.465,tumskruf,0.431,bviiken,0.443
65,hafwa,0.366,magten,0.498,utslag,0.445,likmätigt,0.368,ojäfvig,0.432,8gon,0.478,racedjur,0.465,oklandrad,0.431,rättsanspråk,0.442
66,al,0.366,stänka,0.497,sparsamhet,0.445,dombok,0.368,åtkomst,0.432,titia,0.478,nationalviljan,0.465,äli,0.431,arfvejord,0.442
67,dä,0.365,laka,0.497,fynd,0.445,riklig,0.368,insticka,0.432,arve,0.478,velande,0.465,rusttjenst,0.431,hvsd,0.442
68,uti,0.364,hwi,0.496,utestänga,0.445,ratta,0.368,liberalism,0.432,jemlik,0.478,motionsrätt,0.465,ifred,0.431,valkorporation,0.442
69,första,0.364,gjuta,0.496,undfalla,0.445,dödlighet,0.368,arfsrätt,0.432,tilltvinga,0.477,nordslesvigs,0.465,dchförinnan,0.431,nödvärnsrätt,0.442
70,när,0.363,agaren,0.496,lösen,0.444,justering,0.368,urbota,0.431,vågad,0.477,sportel,0.465,pröfiva,0.43,bostadsort,0.442
71,pä,0.363,mätt,0.496,blix,0.444,bokstaf,0.368,bevakande,0.431,funné,0.477,jämlikhet,0.465,dendär,0.43,kärandernes,0.442
72,böra,0.363,vina,0.496,igensä,0.444,rälta,0.368,engång,0.431,kittslighet,0.477,urskillning,0.465,ackordsfråga,0.43,oveldigt,0.441
73,ar,0.361,km,0.496,säledcs,0.444,ägande,0.368,sinnesförfattning,0.431,grundidé,0.477,utstakadt,0.465,vidskeplighet,0.43,studentkandidater,0.441
74,af,0.36,fält,0.495,agaren,0.444,wilkvr,0.368,kanalverk,0.431,kärandernes,0.477,affärsmessiga,0.464,botill,0.429,giftermålskontrakt,0.441
75,emot,0.359,öfrigit,0.494,främja,0.444,oll,0.367,förvunnen,0.431,fördomsfrihet,0.477,öfverpresident,0.464,pinder,0.429,innchafvaren,0.44
76,huru,0.359,wisat,0.494,bemärkelse,0.444,dande,0.367,skrifta,0.43,orättwisan,0.477,pröfningsrätten,0.463,hästköp,0.429,fattigvårdsärende,0.44
77,j,0.358,regel,0.494,egenteliga,0.444,påföljd,0.366,initiera,0.43,förmod,0.477,owigtig,0.463,plunta,0.429,kalkera,0.44
78,sinne,0.355,benne,0.494,upfyld,0.443,tillgängarne,0.366,bortblanda,0.43,pocka,0.477,lofvado,0.462,bvars,0.429,horde,0.44
79,hög,0.352,borta,0.493,kari,0.443,förfördela,0.366,inro,0.43,öfiigt,0.476,ause,0.462,käbbla,0.429,bundsförvandters,0.44
80,ta,0.351,tilratta,0.493,julafton,0.443,märkbar,0.364,tillspörja,0.43,nalur,0.476,fabriksgren,0.461,rätta,0.429,ämbetsgöromål,0.44
81,och,0.347,densamma,0.493,meta,0.442,bert,0.364,åkerstein,0.43,ersättningsanspråk,0.476,bohöfver,0.461,mabels,0.429,boställsinnehafvare,0.44
82,vara,0.346,ostridig,0.491,försummelse,0.442,tiltror,0.363,orätt,0.43,mänsklig,0.476,redeligen,0.461,inwändt,0.429,djärfvas,0.44
83,wet,0.345,fullkomligen,0.491,politista,0.442,adelén,0.363,funné,0.43,evident,0.476,beskattningsfråga,0.461,nog,0.428,osmak,0.44
84,tycka,0.342,säld,0.491,knäspänne,0.442,egar,0.363,kategorisk,0.43,almän,0.476,iluru,0.461,äudå,0.428,ackordsfråga,0.439
85,bo,0.34,underkasta,0.49,dömma,0.441,twister,0.363,drig,0.43,motgift,0.476,motsvarig,0.461,omyndighetsförklaring,0.428,adelen,0.439
86,låta,0.339,giswit,0.49,alfid,0.441,kraf,0.363,tilländalupit,0.429,polismakt,0.476,grundlagstolkning,0.46,fårskalle,0.428,skyldeman,0.439
87,wisa,0.339,upkomst,0.49,befatta,0.441,otillbörlig,0.363,uppnående,0.429,tilllämpning,0.475,medgåfves,0.46,ilur,0.428,samhällsfiende,0.439
88,död,0.339,åhörare,0.49,ocy,0.441,hwarlill,0.363,8gon,0.429,betänksamhet,0.475,petitionsrätt,0.46,gistver,0.428,arbetsresultat,0.439
89,människa,0.339,uphittad,0.489,wisserligen,0.441,lagligen,0.361,uplyst,0.429,fäga,0.475,derlör,0.46,sämjas,0.428,misstogo,0.439
90,ock,0.337,uplyst,0.489,salunda,0.441,örlig,0.361,företrädesrätt,0.429,optimist,0.475,tribunalet,0.459,ppstä,0.428,boroende,0.439
91,lika,0.336,hwilkcn,0.489,oförnuftig,0.441,derutinnan,0.361,svål,0.429,förmätenhet,0.475,domför,0.459,världsordning,0.428,sjelfskrifvet,0.439
92,med,0.336,stränghet,0.489,angä,0.441,anstand,0.361,löjlighet,0.429,aftvinga,0.475,orättwisan,0.459,måsie,0.428,augur,0.439
93,förnuftig,0.335,förwar,0.489,wikt,0.441,bewakande,0.36,beriktiga,0.429,republikanism,0.474,iöi,0.459,såker,0.428,äli,0.439
94,widare,0.335,ffaffar,0.488,wäcka,0.44,minskning,0.36,klandertalan,0.428,andamål,0.474,inkrångla,0.459,bisyssla,0.427,obehörighet,0.438
95,stor,0.333,eho,0.488,tjenstehjon,0.44,inål,0.36,bokstaflig,0.428,invänningar,0.474,arseende,0.459,tjänsteårsberäkning,0.427,täuker,0.438
96,lil,0.333,nogsamt,0.488,egare,0.44,genmäle,0.36,afgörande,0.428,grundlöshet,0.474,deral,0.459,bränvinsförsäljningsrättigheter,0.427,medglfver,0.438
97,ek,0.332,rörer,0.488,ihog,0.439,bcwakadt,0.359,därar,0.427,klandertalan,0.473,yfvas,0.459,blfvit,0.427,homerulefrågan,0.438
98,dag,0.331,liter,0.487,djerfhet,0.439,pip,0.359,månde,0.427,rälta,0.473,tuppkyckling,0.458,klandertalan,0.427,verba,0.438
99,et,0.331,sannerligen,0.487,stelf,0.439,päföljd,0.359,förtjänt,0.427,förtyda,0.473,malsman,0.458,misttagit,0.427,världsordning,0.438
