,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,gem,0.751,disponera,0.643,blifwande,0.555,fabriksidkare,0.486,skyldighet,0.561,skyldighet,0.615,skyldighet,0.588,oförytterlig,0.527
1,fruktan,0.748,ostridig,0.622,disponera,0.53,privilegium,0.474,dispositionsrätt,0.536,beskattningsrätt,0.56,statsborgerlig,0.554,statsborgerlig,0.52
2,författning,0.734,ändamäl,0.618,häfd,0.511,helgd,0.471,fabriksnäring,0.519,tjenstefrimärken,0.554,oförytterlig,0.551,rusdryckshandel,0.515
3,förman,0.733,personlig,0.614,gemenskap,0.506,tillgodonjuta,0.465,eganderätt,0.517,utskänkningsrätt,0.551,förpligtiga,0.543,sjelfbestämmelserätt,0.515
4,inkomst,0.731,bestydd,0.612,äligga,0.506,skyldighet,0.46,oförkränkt,0.513,medgisna,0.536,medgisna,0.538,licens,0.508
5,utwäg,0.718,enahanda,0.61,godtfinnande,0.497,jemnlikhet,0.453,beskattningsrätt,0.512,oförkränkt,0.528,hyttpassagerare,0.536,beskattningsrätt,0.507
6,befordran,0.717,förbunden,0.608,bcwisa,0.49,plister,0.451,valbarhet,0.509,valbarhet,0.526,handelsrättighet,0.531,prästvigning,0.505
7,utmärka,0.716,them,0.608,fullmagt,0.488,förbehålla,0.448,lering,0.505,oinskränkt,0.518,sjelfbestämmelserätt,0.53,kretsindelning,0.503
8,aktning,0.715,likmätigt,0.608,eftergift,0.488,inkräktning,0.448,författningsenlig,0.503,handelsrättighet,0.518,petitionsrätt,0.53,måner,0.503
9,trodt,0.714,wärf,0.607,plister,0.485,förbehäller,0.447,riksdagsmannarätt,0.499,riksdagsmannarätt,0.518,traktatsenliga,0.53,bränvinslagen,0.498
10,mätto,0.713,wälfärd,0.604,sjelfständighet,0.481,öfvert,0.446,tigheter,0.498,tjenstårsberäkning,0.516,oförkränkt,0.529,tandläkarekonstens,0.497
11,utkomst,0.713,beständ,0.601,enhet,0.48,förmån,0.444,okränkt,0.497,rätt,0.515,licens,0.527,rnå,0.497
12,försumma,0.713,matto,0.6,tilsyn,0.479,äfveu,0.44,eganderätten,0.493,hyttpassagerare,0.514,tandläkarekonstens,0.527,traktatsenliga,0.497
13,förändring,0.711,billighet,0.599,anmä,0.478,förmaner,0.439,domsrätt,0.49,befogenhet,0.513,rnå,0.524,konfession,0.496
14,läkare,0.711,tionde,0.599,ingrepp,0.475,tolag,0.438,förpligtelse,0.49,rättig,0.511,rättig,0.524,skyldighet,0.496
15,twifwel,0.711,theras,0.598,oll,0.474,domsrätt,0.437,yttranderätt,0.486,eganderätten,0.51,privilegium,0.523,privilegium,0.496
16,ändring,0.71,missbruk,0.597,enstilte,0.474,skrå,0.437,frånträdt,0.486,dispositionsrätt,0.509,oqvald,0.519,fribrefsrätt,0.495
17,klandra,0.709,sjelfständighet,0.597,samtycka,0.473,monopolium,0.435,försörjningsmedel,0.484,fribrefsrätt,0.509,höghetsrätt,0.519,tilländalöpa,0.494
18,tjänstefolk,0.707,ofi,0.597,enstilta,0.473,förpligtelse,0.435,vilkorliga,0.484,valrätt,0.508,tilländalöpa,0.513,rättig,0.493
19,afsigt,0.706,jemwäl,0.596,förbrytare,0.473,optionsrätt,0.434,medgifna,0.484,pröfningsrätten,0.508,befogenhet,0.512,tillåtelse,0.493
20,utsprida,0.705,medborgerlig,0.596,thy,0.473,samhällsmedlem,0.432,besutenhet,0.483,konfession,0.507,maktområde,0.511,oförkränkt,0.492
21,märke,0.705,rättwist,0.595,upphof,0.471,öfverflytta,0.431,prerogativ,0.48,oinflränkt,0.505,lotsningsexamen,0.509,tigheter,0.492
22,uplyst,0.702,derä,0.595,skick,0.471,rösträttighet,0.431,stånds,0.48,medgifna,0.504,benådningsrätt,0.507,utskänkningsrätt,0.492
23,instämma,0.701,förstag,0.591,enstilt,0.469,wärdighct,0.43,tvångslag,0.477,okränkbarhet,0.503,okränkt,0.507,utöfvando,0.49
24,mistning,0.701,ingä,0.59,rättwist,0.468,bringande,0.43,usurpera,0.477,eganderätt,0.502,utskänkningsrätt,0.507,försäljningsrättighet,0.489
25,förfader,0.7,inflytelse,0.59,otillgänglig,0.468,borgeliga,0.429,begifvande,0.476,utsöndra,0.501,konfession,0.505,kyrkomedlem,0.488
26,dumhet,0.7,befordran,0.59,anga,0.468,vilkorligt,0.429,kustfart,0.476,optionsrätt,0.5,försäljningsrättighet,0.504,höghetsrätt,0.488
27,bolag,0.699,gäldenär,0.589,begagnande,0.468,beskatta,0.429,statsmyndighet,0.476,berättiga,0.5,måner,0.503,fullmyndig,0.485
28,plikt,0.699,ätertaga,0.589,grundlag,0.467,kult,0.428,bränvinsbränningens,0.476,lärdomsgrad,0.499,rusdryckshandel,0.503,tafleutlottning,0.485
29,utöfning,0.698,ärkänna,0.589,tillhörighet,0.466,betalningsskyldighet,0.428,walrätt,0.475,pröfningsrätt,0.499,medborgarrätt,0.502,efterlefdes,0.485
30,bestrida,0.698,folkrätt,0.589,träldom,0.466,afskedstagande,0.427,föresinnas,0.475,legning,0.498,tillåtelse,0.502,maktområde,0.484
31,werkan,0.698,adelén,0.589,adelén,0.466,tilländalupit,0.427,trosbekännare,0.475,eludera,0.498,förverka,0.501,utändska,0.484
