,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,doch,0.791,jemnvigt,0.708,vexelverkan,0.585,sammanhang,0.679,sammanhang,0.754,sammanhang,0.685
1,folkflag,0.79,beståndsdel,0.689,mellanlänk,0.576,förbindelse,0.55,jembredd,0.498,manhang,0.539
2,nödwändighet,0.785,wälmening,0.675,likstämmighet,0.569,jembredd,0.523,förbindelse,0.496,frökongress,0.514
3,hedning,0.777,jemförlig,0.674,beröring,0.567,ångbåtstur,0.521,manhang,0.494,öfverenstämmelse,0.513
4,twister,0.773,utgrening,0.673,handelsförbindelse,0.563,samtrafik,0.501,bindelse,0.468,mejeristmötet,0.501
5,mediation,0.769,förhållanderna,0.67,förbrödra,0.562,beröring,0.481,öfverenstämmelse,0.465,öfverensstämmelse,0.494
6,philosophi,0.769,föreningsband,0.669,sammanhang,0.56,jemnbredd,0.48,gemenskap,0.462,ötverensstämmelse,0.484
7,utweckla,0.767,ideell,0.668,föreningsband,0.557,gemenskap,0.473,telefonisk,0.462,jembredd,0.484
8,wundna,0.767,inveckla,0.664,telegrafförbindelse,0.553,öfverensstämmelse,0.469,sammanhänga,0.46,fröutställning,0.478
9,wälmening,0.765,folklynne,0.663,stvensta,0.55,sammanflutning,0.468,öfverensstämmelse,0.452,spårförbindelse,0.475
10,försämra,0.765,konstlad,0.663,samverkan,0.549,postfart,0.466,frökongress,0.452,överensstämmelse,0.472
11,stilnad,0.764,kabinetter,0.663,sammanknyta,0.547,vexelverkan,0.46,spårförbindelse,0.45,lörbindelse,0.466
12,slägte,0.764,samverkan,0.661,fördragsamhet,0.544,sörbindelse,0.46,förbin,0.448,slöjdart,0.464
13,politista,0.762,förenäs,0.66,harmoni,0.541,jernbantågen,0.458,samklang,0.447,förbindelse,0.463
14,crisis,0.762,förtrolighet,0.66,riglning,0.54,öswerensstämmelse,0.457,underförstå,0.442,gemenskap,0.462
15,motsäga,0.76,ständen,0.66,jämförelse,0.539,analogi,0.454,mejeristmötet,0.44,smörprofningar,0.459
16,kalender,0.76,basis,0.659,sammanblandning,0.539,handelsförbindelse,0.448,jämförlig,0.439,qvinnoförening,0.459
17,betydelse,0.76,demokratisk,0.657,sammansmältning,0.538,överensstämmelse,0.447,jemnbredd,0.436,renhållningsfråga,0.458
18,allians,0.759,faktisk,0.657,sattser,0.538,kontakt,0.446,arbetarelagstiftningen,0.433,samklang,0.457
19,underskrift,0.759,laglighet,0.655,följdriktig,0.536,skattefråga,0.446,överensstämmelse,0.432,iörbindelse,0.456
20,magnetism,0.758,representativ,0.655,gemensamhet,0.535,förbin,0.446,sammanhörande,0.432,rikstelefonnät,0.453
21,warelser,0.757,likstämmighet,0.655,folkvälde,0.534,manhang,0.445,öswerensstämmelse,0.43,högviktig,0.453
22,ädraga,0.757,storbrittannien,0.654,interessena,0.531,samklang,0.444,öfverensstäm,0.428,lifsgemenskap,0.452
