,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,utrota,0.869,medlem,0.771,fide,0.807,fide,0.65,christianismo,0.557,larda,0.556,kyrkosamfund,0.591,nykyrkliga,0.574
1,förmä,0.864,medbroder,0.76,patriotisk,0.701,sällffapet,0.627,ulgifvande,0.55,kongregation,0.532,teosofisk,0.582,teosofisk,0.574
2,obillig,0.862,uplysta,0.76,samhälle,0.689,swenskar,0.593,allmännelig,0.535,religionssamfund,0.524,utilistisk,0.57,christianismo,0.567
3,ansedt,0.861,wälmening,0.755,sällstapet,0.668,sällssapet,0.591,korporation,0.529,science,0.516,religionssamfund,0.565,provinsombud,0.559
4,förordnande,0.855,liderlig,0.752,stiftare,0.668,sällstapet,0.59,uplysta,0.527,missionsverksamhet,0.512,goodtemplarorden,0.555,stiftelsedag,0.539
5,medbroder,0.852,strifter,0.751,sedolära,0.657,ällmänt,0.589,trosartikel,0.525,arkeologi,0.511,positivistisk,0.549,kyrkosamfund,0.538
6,sager,0.851,egennytta,0.747,pro,0.652,christianismo,0.588,omisskänneligen,0.524,romanisk,0.502,friförsamling,0.547,lokalförening,0.537
7,bestä,0.85,fölgder,0.744,musikalisk,0.649,firande,0.582,förmanskap,0.517,trossamfund,0.501,lokalförening,0.545,goodtemplarorden,0.53
8,innehall,0.848,oreda,0.742,högtidsdag,0.648,thalia,0.58,crisis,0.517,undervisningsväsen,0.501,nykyrkliga,0.542,diskussionsförening,0.53
9,moro,0.847,liflig,0.741,utskott,0.647,swearne,0.58,bibelord,0.517,kyrkosamfund,0.501,förbund,0.535,ynglingaföreningar,0.529
10,medlem,0.845,kunstaper,0.74,almänt,0.645,utstöta,0.579,troende,0.515,ordenssällskap,0.498,kärleksverksamhet,0.535,skolutskott,0.524
11,oskyldig,0.845,auctorer,0.739,strifter,0.645,sirande,0.578,hierarki,0.514,främjande,0.497,arbetareförbund,0.534,nykterhetssamfund,0.523
12,älskare,0.844,samhälle,0.739,kunstaper,0.644,stiftare,0.576,kollektiv,0.514,diktkonst,0.496,ynglingaföreningar,0.533,utilistisk,0.521
13,förtrycka,0.844,välgörande,0.739,egennytta,0.639,almänt,0.569,association,0.513,lekmanna,0.494,forskningsområde,0.532,friförsamling,0.521
14,orimlig,0.843,galenskap,0.738,sällssapet,0.637,allment,0.567,militärväsende,0.512,samhälle,0.492,luterska,0.532,lokalstyrelse,0.52
15,idog,0.843,värdig,0.737,välgörande,0.635,societet,0.563,religionssamfund,0.512,brödraskap,0.491,gymnastikförbund,0.529,nykterhetssällskap,0.52
16,begärlig,0.843,tänkande,0.736,talesätt,0.633,polymnia,0.561,integrera,0.512,fackförening,0.491,brödraskap,0.528,templarorden,0.52
17,anwända,0.842,högakta,0.735,menighet,0.63,utile,0.56,christeligt,0.512,generalsynod,0.49,nationalkyrka,0.527,positivistisk,0.519
18,hedning,0.842,sällsam,0.734,sälstapet,0.629,hervar,0.557,föreställningssätt,0.512,friförsamling,0.489,nykterhetssällskap,0.527,religionssamfund,0.518
19,fastän,0.84,uplyste,0.734,uplyste,0.627,orden,0.557,religionslärare,0.51,statsenhet,0.488,arbetaresamfund,0.526,ynglingaförening,0.516
20,tvet,0.839,arghet,0.731,uplysta,0.627,ledamot,0.55,humanistisk,0.51,religionshistoria,0.487,adventist,0.525,ynglingaförenings,0.515
21,arén,0.839,obegriplig,0.73,medlem,0.626,repetition,0.546,samverka,0.51,odlingshistoria,0.486,christianismo,0.525,arbetareförbund,0.514
22,efterdöme,0.839,djerf,0.73,allmosa,0.622,invälja,0.545,federativ,0.509,christeligt,0.485,nykterhetssamfund,0.524,missionsförening,0.513
23,gif,0.839,romare,0.729,tänkande,0.622,högtidsdag,0.542,närer,0.508,läkarevetenskap,0.483,trossamfund,0.524,jungfruförening,0.511
24,gäfwor,0.838,upwäcka,0.729,ordalag,0.619,förbund,0.542,christligt,0.508,mythologi,0.482,diskussionsförening,0.522,yrkesförening,0.511
25,hän,0.838,warelser,0.728,beundran,0.619,sällstapets,0.54,baptism,0.508,mästarnes,0.482,nationalförening,0.521,välgörenhetsförening,0.511
26,förfader,0.838,ofullkomlig,0.728,atte,0.619,linnéska,0.537,centralisera,0.505,instituter,0.479,helighållande,0.521,förbudsparti,0.51
27,hwilar,0.838,högfärd,0.727,inbillning,0.619,industriförening,0.537,sakrament,0.505,kooperativ,0.479,yrkesförening,0.517,ordenssällskap,0.509
28,stöd,0.838,weten,0.724,wälmening,0.618,harmonisk,0.531,tideräkning,0.505,rättroende,0.478,välgörenhetsförening,0.515,ingeniörsklubben,0.507
29,bedragare,0.837,mennistor,0.724,guds,0.617,fammanträda,0.529,fortlefva,0.505,djuptänkt,0.478,förbudsparti,0.514,vitterhetssamhälle,0.506
30,förföra,0.837,förfarenhet,0.723,almant,0.617,ledamö,0.528,statsekonomi,0.505,komunen,0.478,bap,0.513,arbetaresamfund,0.506
31,hwi,0.837,lagom,0.722,gudomlighet,0.617,patriotisk,0.527,älägga,0.504,heroer,0.477,baptistsamfund,0.513,teknologförening,0.506
