,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,nationalförsvar,0.854,samfunds,0.716,rättssäkerhet,0.714,rättssäkerhet,0.714
1,förslappa,0.836,stadeliga,0.716,individualistisk,0.703,individualistisk,0.703
2,statsborgerlig,0.835,alstringskraft,0.712,verldsåskådningen,0.702,verldsåskådningen,0.702
3,sjelfmedvetande,0.829,samhällighet,0.708,destruktiv,0.7,destruktiv,0.7
4,naturenlig,0.828,islamitisk,0.708,naturtillstånd,0.692,naturtillstånd,0.695
5,samhällsförbättring,0.828,regeneration,0.707,själsriktning,0.69,själsriktning,0.69
6,samhällighet,0.823,jemlikhetens,0.706,samhällsinstitution,0.688,undergräfvande,0.688
7,öfverskridande,0.817,förslappa,0.706,undergräfvande,0.688,folkanda,0.688
8,omisskännlig,0.816,tygellöshet,0.705,folkanda,0.688,jemnlikheten,0.685
9,prohibition,0.816,demokratist,0.704,jemnlikheten,0.685,förnuftsenlig,0.684
10,karaktersfasthet,0.813,lifskraftig,0.703,förnuftsenlig,0.684,unionsfientliga,0.683
11,förljensten,0.812,wiljans,0.703,unionsfientliga,0.683,kosmopolitism,0.682
12,folkopinion,0.81,rättssäkerhet,0.702,kosmopolitism,0.682,orubblighet,0.682
13,tadelvärd,0.81,knnskap,0.701,nationalkaraktär,0.682,samfunds,0.682
14,grundvilkor,0.809,samhällsorganism,0.701,samfunds,0.682,lärobegrepp,0.682
15,individuel,0.808,samhällslag,0.7,lärobegrepp,0.682,nationalkaraktär,0.68
16,naturtillstånd,0.807,reslust,0.699,krigsförfattning,0.68,samhällsinstitution,0.68
17,samvetsfrihet,0.807,samhällsmakt,0.699,samhällsomstörtande,0.68,krigsförfattning,0.68
18,sträfvat,0.806,urartande,0.699,kommunalfrihet,0.68,samhällsomstörtande,0.68
19,godmodighet,0.805,haltlöshet,0.698,menskiiga,0.679,kommunalfrihet,0.68
20,familje,0.805,undergräfde,0.698,förderflighet,0.679,förderflighet,0.679
21,ressurser,0.805,samhällslifwet,0.697,meuskliga,0.679,meuskliga,0.679
22,industripalatset,0.805,indifferentism,0.696,samhällsmakt,0.676,samhällsmakt,0.676
23,verldshändelse,0.805,flapphet,0.695,stadeliga,0.675,stadeliga,0.675
24,lurendrejare,0.804,medeltida,0.695,rationalist,0.674,rationalist,0.674
25,lolket,0.804,meuskliga,0.694,tankans,0.674,tankans,0.674
26,afföda,0.804,lättfärdighet,0.693,despoti,0.674,despoti,0.674
27,besjälad,0.804,fysist,0.692,verldsordning,0.673,menskiiga,0.673
28,underlägsenhet,0.804,ädlare,0.692,samfundsförhållanden,0.672,verldsordning,0.673
29,oegentlighet,0.803,idealism,0.692,islamitisk,0.672,samfundsförhållanden,0.672
30,hilde,0.803,ntöswar,0.692,samfundsordning,0.671,islamitisk,0.672
31,enskiltes,0.803,samhälls,0.692,samhällsorganism,0.671,samfundsordning,0.671
32,kosmopolitisk,0.802,styrande,0.692,sinnesart,0.671,samhällsorganism,0.671
33,sjelfstyrelse,0.802,öfwerdrifter,0.691,humanism,0.67,sinnesart,0.671
34,aktig,0.802,rationalist,0.691,bibeltolkning,0.669,humanism,0.67
35,språkrör,0.802,frihandelsprincip,0.691,styrelsesystem,0.667,bibeltolkning,0.669
36,frambragta,0.801,slagord,0.69,obskurantism,0.667,styrelsesystem,0.667
37,själsegenskap,0.801,afledare,0.69,misskännande,0.666,obskurantism,0.667
38,besjäla,0.8,styrelsesystem,0.69,samhällighet,0.666,misskännande,0.666
39,konstnärskap,0.8,förqwäfwa,0.69,regeneration,0.666,kastväsen,0.666
40,spekulationsandan,0.8,motsättning,0.69,valprincipen,0.666,samhällighet,0.666
41,opraktisk,0.8,folklynne,0.689,militärdespotism,0.665,regeneration,0.666
42,tverlom,0.8,prohibitivsystem,0.689,frihetsidé,0.664,militärdespotism,0.665
43,produktivitet,0.799,mägtigare,0.689,orubblighet,0.664,fördärfliga,0.665
44,handelsbalans,0.799,frihetsidé,0.689,utvecklingslära,0.664,frihetsidé,0.664
45,isolering,0.799,vesterlandet,0.689,urartande,0.664,utvecklingslära,0.664
46,statsekonom,0.799,naturtillstånd,0.688,vrångbild,0.663,urartande,0.664
47,maktmissbruk,0.799,herrfla,0.688,liffullt,0.663,liffullt,0.663
48,vigligaste,0.799,förnuftsenlig,0.688,menniskaus,0.663,församlingslif,0.663
49,hycklare,0.799,almänhet,0.687,sjelfviskheten,0.662,sjelfviskheten,0.662
50,arbetsskicklighet,0.798,förwillelser,0.687,embetsmannavälde,0.662,embetsmannavälde,0.662
51,fåvitsk,0.798,invertes,0.687,almänhet,0.662,almänhet,0.662
52,tvisteämne,0.798,styfsinthet,0.687,statssamhälle,0.661,valprincipen,0.662
53,invertes,0.798,själsbildning,0.686,korrumpera,0.661,vrångbild,0.662
54,ingeri,0.798,alltförmycket,0.686,genomträngas,0.66,statssamhälle,0.661
55,interesset,0.798,rättsbegrepp,0.685,ensidigheter,0.66,korrumpera,0.661
56,representerande,0.798,exklusivitet,0.685,ningssätt,0.66,genomträngas,0.66
57,förtröttas,0.797,obskurantism,0.685,kåranda,0.66,ensidigheter,0.66
58,stråfvanden,0.797,verldsordning,0.685,elementor,0.659,ningssätt,0.66
59,råvara,0.797,sörderswa,0.684,menniskoandens,0.659,kåranda,0.66
60,sillan,0.797,religionssak,0.684,sinligheten,0.659,elementor,0.659
61,thronerna,0.797,indifferent,0.684,fördärfliga,0.659,menniskoandens,0.659
62,styrdt,0.797,frihetskärlek,0.684,samhällsondt,0.659,sinligheten,0.659
