,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,revers,0.828,revers,0.647,revers,0.644,bankosedel,0.583,valör,0.619,banksedel,0.625,banksedel,0.648,banknot,0.612
1,knnt,0.748,specie,0.636,skuldsedel,0.639,kopparmynt,0.557,utelöpande,0.587,riksbankssedel,0.623,banknot,0.611,banksedel,0.587
2,ffaffar,0.716,riksgäld,0.636,specie,0.634,assignation,0.55,bankosedel,0.565,valör,0.611,riksbankssedel,0.604,silfverskiljemynt,0.549
3,undfär,0.711,lottsedel,0.627,riksgäldssedel,0.613,valeur,0.542,assignation,0.562,bank,0.598,valör,0.59,enkrona,0.546
4,staffa,0.71,summa,0.615,utläna,0.585,valör,0.534,skiljemynt,0.522,riksbank,0.587,guldmynt,0.573,guldmynt,0.545
5,sked,0.7,skuldsedel,0.607,kunt,0.554,sedelstock,0.521,småsedel,0.517,utelöpande,0.578,kreditsedlar,0.57,tvåkrona,0.544
6,tilratta,0.699,ranta,0.593,utfästa,0.553,valuta,0.521,riksbanken,0.515,småsedel,0.561,makulera,0.568,valör,0.543
7,undfä,0.698,utläna,0.591,actie,0.552,riksgäldssedel,0.518,kreditsedlar,0.515,kreditsedlar,0.555,bankosedel,0.567,riksbankssedel,0.529
8,dosa,0.692,riksdaler,0.591,riksdaler,0.55,skuldebref,0.513,efterapa,0.515,bankosedel,0.55,silfverskiljemynt,0.557,mynt,0.525
9,uptagit,0.69,erläggande,0.588,summa,0.548,specie,0.513,obligation,0.51,sedelvalör,0.55,sedelblanketter,0.553,check,0.524
10,specie,0.68,tastbok,0.585,brek,0.546,silfvermynt,0.513,bank,0.51,invexla,0.541,femkronesedel,0.547,femkronesedel,0.522
11,kunt,0.679,prenumerera,0.585,femhundrade,0.543,utelöpande,0.511,inwisningar,0.5,banknot,0.538,mynt,0.545,tiokrona,0.522
12,wedergallning,0.674,kunt,0.584,förhöjning,0.542,deposition,0.508,sedelstock,0.5,mynt,0.537,utelöpande,0.542,jernkista,0.517
13,1000,0.673,innehafware,0.582,obligation,0.539,obligation,0.508,invexla,0.5,depositionsskuld,0.535,sedelmynt,0.541,kreditsedlar,0.515
14,angifwer,0.67,intimation,0.58,lottsedel,0.538,daler,0.504,privatbank,0.499,efterapa,0.531,tiokrona,0.541,hollars,0.511
15,undfå,0.667,valuta,0.57,renta,0.536,stillingar,0.493,bauk,0.497,guldmynt,0.526,inwexla,0.536,prångla,0.505
16,belöning,0.666,upwisande,0.569,tastbok,0.535,kurant,0.49,wexel,0.495,walör,0.526,walör,0.534,doliars,0.504
17,rälta,0.665,prenumeration,0.569,beräknad,0.535,skuldsedel,0.486,riksbank,0.495,förflitna,0.525,tiokronesedlar,0.533,sedelbundtar,0.502
18,uphittadt,0.664,wedergallning,0.568,ärläggande,0.532,upgift,0.485,depositionsskuld,0.491,postremissvexel,0.525,wexlarne,0.532,postremissväxel,0.501
19,eho,0.664,astämna,0.561,baneo,0.532,kunt,0.484,skuldsedel,0.49,silfvermynt,0.515,enkrona,0.531,papperspenningar,0.499
20,kunstap,0.663,inlösen,0.561,upplupen,0.531,söndrig,0.481,belåna,0.485,assignation,0.512,check,0.53,walör,0.498
21,rival,0.662,capital,0.559,knnt,0.531,årtal,0.48,transportsedel,0.481,sedelstock,0.511,tvåkrona,0.528,wexlarne,0.497
22,staffar,0.662,credit,0.559,belopp,0.531,tastbok,0.48,valuta,0.478,sedelbelopp,0.51,postremissväxel,0.528,invexla,0.494
23,äterfä,0.66,penning,0.558,inteckna,0.53,förknippadt,0.48,invexling,0.477,lånehandling,0.508,postremissvexel,0.526,papperspeng,0.488
24,ranta,0.66,föregäende,0.557,inbetalning,0.529,småsedel,0.48,bkos,0.477,silfwermynt,0.507,utpränglat,0.526,genomräkna,0.488
25,männista,0.659,ränta,0.556,utbetalning,0.527,skuldförbindelse,0.48,konvolut,0.476,skiljemynt,0.506,invexla,0.524,sovereigns,0.488
26,300,0.654,debe,0.556,riksgäld,0.526,fyrahundrade,0.478,poletter,0.472,försliten,0.505,riksbank,0.52,sedelmynt,0.488
27,menniska,0.654,inbegripa,0.552,contant,0.525,inlösning,0.476,silfwermynt,0.47,riksbanken,0.5,papperspenningar,0.518,tiokronosedel,0.487
28,undsä,0.653,knnt,0.552,mynt,0.522,ethundrade,0.474,valeur,0.468,makulera,0.499,småsedel,0.516,utelöpande,0.487
29,tjufwen,0.653,ärläggande,0.551,ethundrade,0.522,förskrifning,0.473,hypotek,0.467,bkos,0.498,sedelvalör,0.515,dollarö,0.486
30,stöld,0.652,kopparmynt,0.551,stillingar,0.522,riksgäld,0.473,skuldförbindelse,0.466,cupons,0.498,silfvermynt,0.513,stämpelmärke,0.486
31,beskrifning,0.651,diamant,0.55,ridaler,0.521,utbetalning,0.47,tastbok,0.464,guldförråd,0.498,jernkista,0.512,transportsedel,0.485
32,kulle,0.651,1000,0.55,rival,0.521,räntorne,0.469,depositionsbevis,0.464,sedelblanketter,0.497,silfwermynt,0.509,bankosedel,0.485
33,60,0.651,femtio,0.549,rdr,0.519,afräkning,0.469,privatbankssedlar,0.462,banks,0.496,tiokronsedlar,0.503,pappersmynt,0.485
34,nyckel,0.651,ridaler,0.548,runstycke,0.519,actie,0.468,werlar,0.461,konstgravyr,0.496,inwisningar,0.503,sedelblanketter,0.485
35,aflämna,0.65,obligation,0.548,inlösen,0.515,klistra,0.467,aktie,0.46,inwisningar,0.496,riksgäldssedel,0.503,konvolut,0.484
36,benne,0.648,upbittat,0.546,speeie,0.514,riksgäldskontor,0.467,afskrifningsräkning,0.46,frimärke,0.494,genomräkna,0.502,hopskrynklad,0.483
37,rättsinnig,0.647,plänbok,0.546,banco,0.509,runstycke,0.467,lånerörelse,0.459,slätna,0.489,banksedlarne,0.502,postremissvexel,0.482
38,tilwara,0.646,inteckning,0.546,bancomynt,0.509,afbetalning,0.466,metallista,0.454,kopparmynt,0.489,sedelbundtar,0.5,inwexlas,0.482
39,uphittades,0.644,aflämna,0.546,tira,0.508,understiga,0.466,riksgäldssedel,0.453,wexlarne,0.489,werlar,0.5,fedlarne,0.481
