,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,giorde,0.893,frikalla,0.742,stiljas,0.68,afhålla,0.604,afhålla,0.514,skiljde,0.583,skiljdes,0.542,skiljdes,0.528
1,sultan,0.89,stilja,0.741,stilja,0.679,afvika,0.568,skiljda,0.507,skiljt,0.555,skiljde,0.541,skiljt,0.491
2,undgå,0.887,stiljas,0.739,ewighet,0.657,afsöndring,0.567,skiljde,0.502,stilja,0.545,skiljt,0.534,skiljde,0.488
3,rang,0.884,utstöta,0.706,afwika,0.646,upprinnelse,0.558,afskilja,0.494,stiljer,0.54,frigöra,0.534,skiljts,0.488
4,syfta,0.876,folkflag,0.705,tcr,0.643,afvända,0.557,afskild,0.493,stiljas,0.538,flilja,0.521,frigöra,0.47
5,härlighet,0.876,afhälla,0.705,aik,0.637,frikalla,0.555,härleda,0.493,flilja,0.535,stilja,0.508,liigga,0.459
6,embete,0.875,barbari,0.704,stydd,0.636,härleda,0.553,afvikande,0.491,lösslita,0.534,fliljt,0.502,husmödrarne,0.458
7,afhälla,0.875,rasande,0.702,kullkasta,0.634,frita,0.552,stiljas,0.488,frigöra,0.519,stiljer,0.502,särskilja,0.457
8,koni,0.875,underhälla,0.701,innchälla,0.628,förskona,0.551,afsöndra,0.486,skiljdt,0.519,skiljts,0.5,afvika,0.456
9,wälmening,0.875,ewighet,0.699,hemresa,0.626,härflyta,0.54,hårsmån,0.48,lösrycka,0.518,fliljas,0.499,ofira,0.455
10,ögnablick,0.872,undergång,0.697,befria,0.625,afskräcka,0.539,flilja,0.479,frisäga,0.517,stiljas,0.499,afveko,0.455
11,underhäll,0.872,gränsor,0.697,frälsa,0.625,skiljd,0.538,allägsnade,0.479,fliljt,0.514,aflägsna,0.497,bortseende,0.454
12,utreda,0.872,förädla,0.695,upstiga,0.624,skiljt,0.537,afvika,0.477,afviker,0.512,särskilja,0.489,aflågsnade,0.453
13,arrest,0.872,väcka,0.694,utsatt,0.621,skiljde,0.534,bärleda,0.474,afskilja,0.507,skiljdt,0.488,öfvertygelseu,0.452
14,egenteligen,0.872,efterse,0.693,omräde,0.621,afundsvärd,0.53,förskrifver,0.474,fliljas,0.505,bortse,0.481,flilja,0.45
15,ide,0.872,krigsfolk,0.69,bolten,0.62,påslå,0.53,afvikelse,0.468,afskild,0.505,afvika,0.474,cyprienne,0.449
16,talrik,0.871,ösrige,0.689,uppreta,0.619,fördjupa,0.53,afstodo,0.467,särskilja,0.504,afveko,0.472,borttränga,0.449
17,twista,0.871,linda,0.687,fördrifwer,0.618,hemtat,0.527,emancipera,0.467,bortse,0.503,fördrifvas,0.468,milaguine,0.449
18,kula,0.871,tc,0.687,flöda,0.618,trondhiem,0.526,skiljd,0.466,fliljer,0.499,afviker,0.466,stilja,0.449
19,återkomma,0.871,nödtorftig,0.686,batterierne,0.617,vinningslystnad,0.526,afskräcka,0.466,stiljde,0.495,bortseende,0.465,kärälsklig,0.449
20,männe,0.871,front,0.686,dien,0.616,afstänga,0.525,hemtar,0.464,skiljdes,0.492,förskref,0.459,fjerma,0.448
21,försträcka,0.87,hardt,0.686,bewifa,0.616,bevarande,0.524,lösslita,0.462,afstått,0.487,stiljde,0.457,skiljdt,0.447
22,hördt,0.87,utwidga,0.686,förås,0.616,mälla,0.523,skiljaktig,0.461,afstå,0.485,lösslita,0.456,fjärma,0.447
23,önstar,0.868,wärf,0.686,armce,0.616,fördeladt,0.521,arbetsskyldighet,0.461,frånse,0.485,stilde,0.453,utvakad,0.447
24,huruledes,0.867,armce,0.685,dömdes,0.616,naturalisera,0.521,widga,0.46,aflågsnade,0.484,sagotid,0.451,mersac,0.446
25,ändamäl,0.867,frälsa,0.685,undergång,0.615,härledt,0.52,upprinnelse,0.46,afstodo,0.483,bortsedt,0.45,klema,0.446
26,annar,0.867,wänt,0.685,frikalla,0.615,ingifver,0.52,påtvinga,0.459,förskrifvande,0.481,fjärma,0.45,fliljt,0.444
27,trupp,0.867,hwa,0.685,lyckligtwis,0.614,storligen,0.52,befriadt,0.457,husmödrarne,0.479,ofira,0.447,stiljas,0.444
28,ens,0.867,berattas,0.685,haubitz,0.613,dväljas,0.518,draga,0.457,afvika,0.477,husmödrarne,0.447,fliljas,0.444
29,salsta,0.866,följaktig,0.684,sägo,0.613,bortskänka,0.515,afhöllo,0.456,familjförhållande,0.476,lösrycka,0.447,dåsa,0.444
30,krut,0.866,farlighet,0.684,exponera,0.611,vördig,0.515,sjellve,0.456,himmelsvid,0.476,afvänja,0.445,förskref,0.444
