,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,rationel,0.803,svimma,0.707,snappa,0.613,sockerbit,0.599,matbit,0.565
1,hene,0.803,ansigtct,0.7,lillfinger,0.611,matbit,0.58,sockerbit,0.558
2,upplefvat,0.802,krafsa,0.697,rockärm,0.611,kopparslant,0.574,smussla,0.542
3,äldrig,0.802,klagorop,0.697,krafsa,0.607,tolfskilling,0.573,silfverslant,0.541
4,nima,0.8,uträcka,0.696,uppkrupen,0.603,silfverslant,0.564,slagtarknif,0.54
5,wied,0.799,rosenröd,0.695,klunk,0.601,stöfveln,0.552,snask,0.536
6,sinom,0.799,alltemellanåt,0.695,hulvudet,0.601,småslantar,0.552,köttbit,0.533
7,orga,0.798,byxficka,0.695,kanalje,0.6,penningarno,0.552,brödbit,0.529
8,newton,0.797,vidöppen,0.693,smul,0.597,brödbit,0.55,brödstycke,0.522
9,slägtskap,0.797,bröstficka,0.693,stöfveln,0.597,styfver,0.549,småslantar,0.522
10,förtryta,0.796,skäggig,0.692,liufvudet,0.595,tioöring,0.548,stöfveln,0.52
11,vanart,0.795,träben,0.692,kastvapen,0.593,peng,0.548,lurifax,0.519
12,sakrament,0.794,stygn,0.691,hufvndet,0.592,flottig,0.546,tolfskilling,0.518
13,ies,0.794,amy,0.69,flastan,0.591,slagtarknif,0.546,sedelbundtar,0.516
14,wäcktes,0.793,hufvndet,0.689,orrhöna,0.591,köttbit,0.544,almosa,0.516
15,ingelstad,0.792,fasan,0.689,brunte,0.591,sedelbundtar,0.542,skärfvar,0.515
16,konvalescent,0.792,guldstycke,0.689,dolkstyng,0.59,dänga,0.541,styrkedryck,0.515
17,slafvinna,0.792,furie,0.688,puttra,0.589,pronetti,0.536,penningarno,0.514
18,inbetald,0.791,mops,0.688,vinflaska,0.589,pung,0.536,sjelfmördarens,0.514
19,motiverne,0.79,brödstycke,0.688,hufvudel,0.588,framtogo,0.536,brånt,0.511
20,falskhet,0.789,anskri,0.687,falskmyntare,0.588,småmynt,0.535,godter,0.511
21,vålnad,0.788,trumpen,0.686,brödsmula,0.587,påstruken,0.534,benbit,0.511
22,dödskamp,0.788,aly,0.685,raun,0.587,brånt,0.534,kopparslant,0.509
23,skymma,0.788,illparig,0.685,stilett,0.587,hundralapp,0.534,öfverhalning,0.509
24,tjugofem,0.788,upplyftad,0.685,ekorre,0.587,tenntallrik,0.534,knytnäfsslag,0.508
25,modlöshet,0.788,konvulsivisk,0.685,klinka,0.587,almosa,0.533,småprata,0.508
26,fördömd,0.787,bundo,0.684,skutt,0.586,snask,0.533,drickspenningar,0.506
27,jh,0.787,belefvenhet,0.684,atkins,0.585,klunk,0.532,styfrar,0.506
28,vier,0.787,kyste,0.684,dolkstygn,0.585,skramla,0.531,konjaksflaska,0.506
29,cirkulationsbruk,0.787,luggsliten,0.684,halföppen,0.585,tvåkrona,0.531,splid,0.504
30,10000,0.786,knuffa,0.684,mordvapen,0.584,rockärm,0.531,tiggarlista,0.503
31,tjufgods,0.786,pekfinger,0.684,servietten,0.584,sjelfmördarens,0.53,banesår,0.503
32,03,0.786,halld,0.683,andunge,0.583,tiggarlista,0.53,brödsmula,0.503
33,chor,0.786,griller,0.683,navaho,0.583,kindpust,0.53,peng,0.502
34,brödlös,0.785,snöhvit,0.683,bylte,0.582,signetring,0.528,pronetti,0.502
35,besticka,0.785,fingerspets,0.683,dimpa,0.582,ibjäl,0.527,snoppa,0.502
36,trägärds,0.785,hopknäppa,0.682,skalpera,0.582,lurifax,0.527,bravera,0.502
37,drade,0.785,vildbråd,0.682,bredbladig,0.581,styfrar,0.527,penuingarne,0.501
38,wägarna,0.785,underskön,0.682,illparig,0.581,louisdorer,0.526,ibjäl,0.501
39,höcker,0.784,halfvägs,0.681,käthe,0.581,småprata,0.525,spilde,0.501
40,egendomsägare,0.784,snibb,0.681,glänta,0.581,godter,0.525,framtogo,0.501
41,slem,0.783,dolkstygn,0.681,stånka,0.58,smussla,0.525,metmask,0.5
42,stålt,0.783,bakefter,0.681,sprattla,0.579,läckerbit,0.524,lassel,0.5
43,suto,0.783,omgif,0.681,småsten,0.579,läderpung,0.523,fiugrarne,0.5
44,genant,0.783,refben,0.68,hutvudet,0.579,innerficka,0.522,armled,0.499
45,kappridning,0.783,bakvändt,0.68,hnfvudet,0.578,öfverhalning,0.522,läckerbit,0.499
46,7o,0.783,sammantrycka,0.679,afhuggen,0.578,klädningsficka,0.521,styfver,0.498
47,beliöfver,0.782,skjutsgosse,0.679,takbjelke,0.577,mnnnen,0.521,kindpust,0.498
48,nedbrända,0.782,upplyftade,0.678,bakut,0.576,penuingarne,0.52,panga,0.498
49,persi,0.782,fladade,0.678,andfådd,0.576,armled,0.52,schaber,0.498
50,capitaler,0.782,klut,0.678,hjelptes,0.576,hufvudkläde,0.52,pipsnugga,0.496
51,växel,0.782,stj,0.677,sigtade,0.576,skomakarn,0.52,haker,0.496
52,supposition,0.782,hufvudgärd,0.677,hufvudct,0.576,namnam,0.519,fläskbit,0.496
53,bodell,0.782,hufwndet,0.676,slinta,0.575,drickspenningar,0.518,linnetrasa,0.496
54,1856,0.782,spasmodisk,0.676,omknll,0.574,brödsmula,0.517,mästerkupp,0.495
55,ullkultur,0.782,halmbädd,0.676,snabel,0.574,banesår,0.517,refvos,0.495
56,arbetsdag,0.782,skramla,0.676,trefvade,0.574,bakficka,0.517,klunk,0.495
57,halftannat,0.782,eldsken,0.675,glasbit,0.574,lyfto,0.516,pängar,0.495
58,bnshäll,0.782,grimas,0.675,nafvar,0.573,huggtand,0.516,yxskaft,0.495
59,utvexla,0.781,räson,0.674,nedlutadt,0.573,haker,0.515,klädningsficka,0.495
60,kert,0.781,strattade,0.674,flåsa,0.573,vinflaska,0.515,portemonnaien,0.494
61,styrelsesystem,0.781,smålöje,0.673,stickord,0.573,snubbla,0.514,vedpinne,0.494
62,melian,0.781,fölter,0.673,croupier,0.572,skärfvar,0.514,elsbeth,0.494
63,alde,0.781,blindbock,0.673,slängkyss,0.572,pladask,0.514,snappa,0.494
64,äsyftar,0.781,snöhwita,0.673,rifwit,0.572,singla,0.514,munsbit,0.494
65,trampning,0.78,yj,0.672,knuff,0.572,lassel,0.513,peningar,0.493
66,männerne,0.78,klunk,0.672,refbenen,0.572,stant,0.513,sammanskrapa,0.493
67,talämne,0.78,framtaga,0.672,tårfylda,0.572,bosio,0.513,ginväg,0.493
68,förskoning,0.78,välbildad,0.672,skrubbsår,0.571,schaber,0.513,fljntit,0.493
69,bikta,0.779,lilvet,0.672,ängsblomma,0.571,fljntit,0.513,styrketår,0.493
70,fiktion,0.779,näsborre,0.672,burdus,0.571,benbit,0.513,namnam,0.492
71,animalisk,0.779,aldrabäst,0.672,spark,0.57,soldi,0.513,metallbit,0.492
72,beböfver,0.778,jänta,0.671,yrwaken,0.57,lillfinger,0.513,femtioöring,0.492
73,resonera,0.778,krama,0.671,rockkrage,0.57,konjaksflaska,0.512,tvåkrona,0.492
