,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,fransyska,0.852,spräken,0.819,spräket,0.783,skrifvande,0.705,aritmetik,0.644,sprakén,0.711,sprakén,0.702,sprak,0.637
1,spräket,0.821,spräket,0.807,spräken,0.778,läsande,0.684,talande,0.643,grammatik,0.693,sprak,0.688,modersmål,0.63
2,skriswa,0.821,grundelig,0.777,latin,0.76,grammatikalisk,0.667,skrifvande,0.642,modersmål,0.68,modersmål,0.681,grammatik,0.628
3,knypla,0.821,latin,0.772,sprakén,0.753,spräkets,0.665,grammatik,0.638,skrifvande,0.667,skrifvande,0.67,tungomål,0.616
4,latin,0.818,fransyska,0.769,läsande,0.75,sprakén,0.663,rättskrifning,0.633,sprak,0.655,rättstafning,0.661,rättstafning,0.607
5,ssriswa,0.816,sprakén,0.736,fransyska,0.724,talande,0.655,hebreisk,0.624,rättstafning,0.653,grammatik,0.659,arabiska,0.605
6,strifwa,0.804,rita,0.732,skriswa,0.718,grammatik,0.644,grammatikalisk,0.621,talöfning,0.648,hebreisk,0.656,sprakén,0.605
7,skrifwa,0.801,ffrifwa,0.731,öfwa,0.71,modersmål,0.642,homonym,0.618,spräken,0.647,handelskorrespondens,0.656,talspråk,0.604
8,spräken,0.793,wanlige,0.728,ffrifwa,0.704,latin,0.64,prononciation,0.617,talande,0.646,aritmetik,0.652,skrifvande,0.6
9,ferm,0.789,skrifwa,0.727,ssrifwa,0.697,historie,0.636,läsande,0.614,realist,0.639,spräken,0.652,grammatika,0.596
10,rakna,0.781,underwisning,0.726,strifwa,0.691,spräket,0.622,arithmetik,0.609,handelskorrespondens,0.638,uppsatsskrifning,0.65,ordförråd,0.592
11,finsta,0.78,skriswa,0.726,skrifwa,0.69,aritmetik,0.622,sprakén,0.608,aritmetik,0.632,arabiska,0.644,syntax,0.592
12,färm,0.775,ssriswa,0.725,ssriswa,0.69,timvis,0.618,modersmål,0.605,spräket,0.631,varukunskap,0.642,hebreisk,0.591
13,knyppla,0.767,italiensk,0.711,franska,0.688,spräken,0.618,synonym,0.598,rättskrifning,0.626,bibelkunskap,0.639,stilöfning,0.59
14,grundelig,0.755,christendom,0.71,striswa,0.687,räknekonst,0.611,underlagd,0.596,semitisk,0.623,talspråk,0.634,skriftspråk,0.589
15,knyta,0.755,rakna,0.705,latinsk,0.669,bokhålleri,0.604,fortepianospelning,0.594,stilöfning,0.622,nyeuropeisk,0.633,kulturspråk,0.584
16,underwisning,0.754,fransysta,0.701,talande,0.665,uttal,0.602,sprak,0.592,uttalslära,0.618,syntax,0.63,satslära,0.584
17,ssrifwa,0.753,ssrifwa,0.701,strifwer,0.663,arithmetik,0.597,bokhålleri,0.591,hebreisk,0.616,lingvistik,0.628,indoeuropeisk,0.582
18,matlagning,0.753,information,0.697,tyska,0.661,stafning,0.591,matematik,0.589,fortepianospelning,0.614,stilöfning,0.627,fonetik,0.582
19,rak,0.752,strifwa,0.694,informera,0.66,spräkct,0.588,språklära,0.589,grammatikalisk,0.61,uttalslära,0.627,bibelkunskap,0.582
20,wanlige,0.752,insigt,0.69,franstan,0.659,fortepianospelning,0.587,spräket,0.588,latinsk,0.609,sanskrit,0.626,aritmetik,0.576
21,räkenskaper,0.752,fransyssa,0.685,grundelig,0.656,sprak,0.583,skriföfning,0.585,språkkunskap,0.607,spräket,0.623,semitisk,0.576
22,kunnig,0.75,kännare,0.681,ösning,0.656,mathematik,0.581,språkkunskap,0.585,satslära,0.607,grammatika,0.623,uttalslära,0.576
23,tyssa,0.749,spräk,0.681,rakna,0.655,undervisa,0.58,stafning,0.583,skriföfning,0.605,spräk,0.623,modersmäl,0.575
24,ffrifwa,0.748,latinsk,0.68,underwisning,0.655,klaverspelning,0.579,naturlära,0.581,spräk,0.604,fonetik,0.622,lingvistik,0.573
25,hår,0.746,erforderlig,0.668,fransysk,0.654,kristendom,0.577,spräkets,0.58,samtalsspråk,0.603,fortepianospelning,0.62,fpräk,0.573
26,fransysta,0.742,fransysk,0.667,grundlig,0.654,geografi,0.575,ritkonst,0.58,syntax,0.602,grammatikalisk,0.618,germansk,0.572
27,förfaren,0.737,läsande,0.661,sermt,0.65,strifwande,0.573,pianospelning,0.58,prononciation,0.601,språ,0.617,handelskorrespondens,0.569
28,christendom,0.737,knyppla,0.659,rita,0.648,grammatika,0.571,historie,0.58,läsande,0.599,rundskrift,0.616,grammatisk,0.569
29,räkna,0.735,ösning,0.658,latinsta,0.646,skriswa,0.567,stilöfning,0.578,naturwetenstap,0.597,handelsaritmetik,0.615,arithmetiken,0.568
30,condition,0.734,förfärdigande,0.657,ffrifwer,0.645,språklära,0.566,läseöfning,0.576,pedagogik,0.596,talande,0.614,literatnren,0.566
31,spinna,0.734,öfning,0.651,information,0.645,matematik,0.564,uttal,0.576,välskrifning,0.595,kalligrafi,0.611,varukunskap,0.565
32,kamma,0.73,räkenskaper,0.644,ffriswa,0.64,prononciation,0.564,latinsk,0.574,naturlära,0.594,fpräk,0.61,folkkarakteren,0.564
33,fransysk,0.728,flrifwa,0.644,fransysta,0.633,geographien,0.562,correct,0.572,samtalsöfningar,0.591,pedagogik,0.61,lättlärd,0.563
34,frisera,0.722,ffriswa,0.641,spräkets,0.632,korrekt,0.561,välskrifning,0.57,correct,0.59,skrifkonst,0.608,spräket,0.561
35,sy,0.721,flögder,0.64,korrekt,0.63,grundlig,0.56,algebra,0.569,arithmetik,0.59,ästetik,0.607,interpunktion,0.559
36,information,0.721,öfwad,0.639,christendom,0.629,innanläsning,0.559,elementarundervisning,0.568,skolämne,0.589,arithmetik,0.606,gramatiken,0.559
37,sörstär,0.712,knypla,0.635,fransyssa,0.628,franska,0.557,skönskrifning,0.568,geographi,0.589,träskrift,0.605,klassiker,0.558
38,upwisa,0.711,landtbruk,0.633,räknekonst,0.624,fransyska,0.555,italienska,0.565,grammatika,0.588,talöfning,0.605,volapuk,0.558
39,förstå,0.709,kunffap,0.632,kristendom,0.622,grundelig,0.553,latin,0.564,arithmetiken,0.587,tungomål,0.605,grammatikalisk,0.557
40,studerande,0.708,sörstär,0.63,sömnad,0.622,timwis,0.552,räknekonst,0.563,latinfla,0.586,geographi,0.604,glosa,0.556
41,beskedelig,0.705,ffrifwer,0.628,undervisning,0.619,skrifva,0.552,bokhälleriet,0.559,samtals,0.586,språkot,0.604,sprik,0.555
42,trägårdsmästare,0.703,ferm,0.627,spräkct,0.617,läslig,0.552,naturhistoria,0.557,naturalhistoria,0.586,matematik,0.604,samtalsspråk,0.555
43,fransyssa,0.703,grundeligen,0.627,fallenhet,0.603,välskrifning,0.551,timvis,0.557,fpräket,0.586,semitisk,0.602,skrifkonst,0.553
44,tjänt,0.703,göromål,0.626,ferm,0.602,latinsk,0.551,talöfning,0.556,varukunskap,0.585,satslära,0.601,rättskrifning,0.553
45,förstär,0.701,tvsta,0.617,wetenstaper,0.6,nnderwisning,0.549,spräken,0.554,strifwande,0.585,tyska,0.599,sanskrit,0.552
46,förstära,0.7,förstär,0.616,franssa,0.6,kemi,0.547,spräkct,0.552,språkforskning,0.583,randskrift,0.598,nyeuropeisk,0.552
47,sköta,0.699,handleda,0.613,grundeligen,0.6,kyrkohistoria,0.547,teologi,0.552,lektorsbeställningen,0.579,linguistik,0.598,etymologi,0.551
48,striswa,0.699,öfwa,0.612,handleda,0.598,fysik,0.546,geographien,0.55,affärsuppsatser,0.579,sprik,0.597,träskrift,0.551
49,fransyffa,0.699,swenffa,0.611,handarbete,0.597,infödd,0.546,lagfarenhet,0.549,undervisnings,0.578,estetik,0.596,ästetik,0.551
50,servera,0.698,informera,0.611,tvsta,0.596,christendom,0.545,sällskapslifvet,0.547,naturvetenskap,0.576,samtalsöfningar,0.596,uppsatsskrifning,0.551
51,alswarsam,0.697,rysk,0.608,geografi,0.593,tvska,0.544,geografi,0.545,homonym,0.574,modersmäl,0.596,hyfsadt,0.55
52,skicklig,0.696,lärande,0.606,flögder,0.592,handstil,0.544,klaverspelning,0.542,latinsta,0.574,arithmetiken,0.596,estetik,0.55
53,stärka,0.696,förstå,0.606,broderi,0.591,ffrifwer,0.541,korrekt,0.541,skönskrift,0.573,propedevtik,0.594,prononciation,0.549
54,betient,0.695,underwisa,0.603,spräk,0.59,teknologi,0.541,trigonometri,0.54,valfri,0.573,ranska,0.594,propedevtik,0.549
55,italiensk,0.695,fransyst,0.602,flrifwa,0.585,skrifning,0.54,gifres,0.537,fpräk,0.572,propedeutik,0.594,språkforskning,0.549
56,ansa,0.694,ätager,0.601,bokföring,0.584,bokhälleriet,0.538,plastik,0.537,tyska,0.571,rättskrifning,0.591,rundskrift,0.548
57,upsörande,0.694,wand,0.6,klav,0.582,undervisning,0.538,språkmästare,0.534,tungomål,0.57,latin,0.591,hexameter,0.548
58,betyg,0.692,franska,0.599,geometri,0.579,franstan,0.536,sjelfundervisning,0.533,språklära,0.57,skolämne,0.59,talande,0.548
59,jordbruk,0.692,franssa,0.599,swenska,0.579,klassisk,0.536,hebreiska,0.532,modersmäl,0.57,volapuk,0.59,pedagogik,0.548
60,ssickelig,0.691,eger,0.598,lära,0.576,geometri,0.535,mathematik,0.532,undervisningsämne,0.569,ordförråd,0.59,hufvudämnen,0.547
61,tyska,0.688,wetenstaper,0.595,underwisa,0.571,nybegynnare,0.535,skönlitteratur,0.531,skrifkonsten,0.569,linearteckning,0.589,kalligrafi,0.547
62,sanit,0.687,räkna,0.595,sprak,0.57,innantill,0.53,geographi,0.531,skrifkonst,0.569,skönskrift,0.589,universalspråk,0.546
63,twätta,0.687,upsostran,0.595,kännare,0.57,lättfattlig,0.529,undervisa,0.53,grekiska,0.568,indoeuropeisk,0.588,handelsaritmetik,0.546
64,informera,0.685,ftm,0.593,nybegynnare,0.569,gymnastik,0.529,strifwande,0.53,skönskrifning,0.566,lektorsbeställningen,0.585,elementarundervisning,0.546
65,somt,0.685,färm,0.593,upföra,0.562,tyska,0.529,fornnordisk,0.529,estetik,0.566,blindskrift,0.585,spräk,0.546
66,tyst,0.685,demoiselle,0.593,öfning,0.56,ssriswa,0.528,byggnadskonst,0.527,handelshistoria,0.566,handelsvetenskap,0.584,nationalkarakter,0.545
67,insigt,0.684,åkerbruk,0.593,färm,0.559,swenjka,0.525,fransyssa,0.525,handelsvetenskap,0.564,planimetri,0.584,finska,0.545
68,beskedlig,0.684,method,0.593,skrifwer,0.558,lektion,0.524,skrifning,0.525,skrifprof,0.563,literatnren,0.584,språkvetenskap,0.545
69,förande,0.682,härkamning,0.591,fruntimmerskläder,0.558,studium,0.522,öfningsexempel,0.523,lalin,0.561,välskrifning,0.583,propedeutik,0.544
70,nägvt,0.681,artist,0.591,åkerbruk,0.557,talöfning,0.522,grundelig,0.523,härledning,0.561,läsöfningar,0.58,accent,0.544
71,alfwarsam,0.677,engelssa,0.589,underwisningen,0.555,vitterhet,0.522,astronomi,0.523,metodik,0.561,hebreiska,0.579,språ,0.543
72,hushållerska,0.676,finsta,0.586,sörstär,0.554,geo,0.52,ffrifwer,0.522,klassik,0.561,talando,0.579,nubisk,0.542
73,swensta,0.676,kunstaper,0.586,fpräk,0.554,ritkonst,0.52,fraseologi,0.522,linearritning,0.561,naturhistoria,0.579,metrik,0.541
74,iväl,0.674,fiska,0.585,öfwad,0.552,fransyssa,0.52,tvska,0.521,propedevtik,0.561,skriföfning,0.579,semit,0.541
75,bcwis,0.669,nägorlunda,0.585,genie,0.552,grundligen,0.517,geometri,0.518,algebra,0.561,bokliålleriet,0.579,literaturhistoria,0.539
76,söm,0.666,banda,0.585,räkna,0.552,veder,0.517,mythologi,0.517,explikation,0.56,nndervisning,0.578,naturhistoria,0.539
77,herrffap,0.665,skicklighet,0.584,fair,0.549,latinsta,0.516,nybegynnare,0.517,kontorsklass,0.56,handelslära,0.578,grundspråk,0.539
78,husdräng,0.662,sy,0.583,astronomi,0.549,ffriswa,0.515,infläta,0.516,synonym,0.559,kulturspråk,0.577,arithmetik,0.538
79,sprak,0.662,finsk,0.583,edukation,0.546,violinspelning,0.514,zoologi,0.516,astäggas,0.558,nubisk,0.576,theologien,0.538
80,nyckter,0.661,fransyffa,0.582,insigt,0.545,wetenstaper,0.513,undervisningsämne,0.515,formlära,0.558,correct,0.576,kommunalkunskap,0.538
81,hemma,0.661,förestädt,0.581,läsning,0.545,lektyr,0.513,theologien,0.514,öfwersatta,0.558,skönskrifning,0.576,randskrift,0.537
82,kökspiga,0.661,syflor,0.581,infödd,0.544,nybörjare,0.512,litteraturhistoria,0.514,linguistik,0.558,handelsräkning,0.575,spräken,0.537
83,snygg,0.661,swenssa,0.579,frisera,0.544,ffrifwa,0.511,fransyska,0.513,gramatiken,0.557,klassiker,0.574,arisk,0.536
84,hushållning,0.66,wiga,0.579,klädsöm,0.543,handledning,0.511,linearritning,0.513,kalligrafi,0.555,algebra,0.574,munart,0.536
85,ffickelig,0.658,sprak,0.579,italiensk,0.543,underwis,0.509,läsbok,0.513,språ,0.554,samtalsspråk,0.573,metodik,0.535
86,upte,0.658,öfrigit,0.578,studerad,0.542,öfversätta,0.509,kyrkohistoria,0.513,leetioner,0.554,grekiska,0.573,uttal,0.535
87,rita,0.658,lärd,0.578,guvernant,0.541,astronomi,0.507,ordförråd,0.512,svedboms,0.554,metodik,0.573,latinsk,0.535
88,pngling,0.656,nöjsam,0.577,fp,0.541,studera,0.507,försvenska,0.511,spräkets,0.553,affärskorrespondens,0.572,bibelläsare,0.534
89,betjänt,0.655,witter,0.575,fy,0.541,underwisas,0.506,flrifwa,0.511,reallinien,0.553,naturwetenstap,0.572,ljudlära,0.534
90,55,0.655,musique,0.574,brukelige,0.54,försigkommen,0.506,syska,0.51,propedeutik,0.553,mellanklass,0.571,talöfning,0.534
91,grundeligen,0.654,engelffa,0.574,redig,0.538,kunskapsgren,0.504,klassik,0.51,modersmälet,0.553,hufvudämnen,0.571,riksspråk,0.533
92,därjämte,0.653,förfarenhet,0.573,knyppla,0.538,tysk,0.504,grundligen,0.51,sanskrit,0.552,mathematik,0.57,terminologi,0.533
93,astundar,0.652,förstära,0.573,knypla,0.537,flrifwa,0.502,ordregister,0.509,räknekonst,0.552,naturalhistoria,0.57,hebreiska,0.532
94,samr,0.651,slätsöm,0.57,härkamning,0.537,öfning,0.501,fransyffa,0.509,chocolader,0.552,lättlärd,0.57,litteraturhistoria,0.532
95,ärbar,0.651,kännedom,0.57,medicin,0.537,ssrifwa,0.501,scholor,0.508,bildrik,0.551,fpräket,0.57,geographi,0.531
96,åkerbruk,0.651,lära,0.569,bas,0.535,yska,0.5,minnesbok,0.508,christendom,0.55,germansk,0.569,ortografi,0.53
97,caution,0.65,wäswa,0.569,upsostran,0.534,lagfarenhet,0.5,lättfattlig,0.508,språkvetenskap,0.55,formlära,0.568,accentuering,0.53
98,nägorlunda,0.648,striswa,0.569,räkenskaper,0.533,litteratur,0.499,juridik,0.508,ranska,0.55,språkvetenskap,0.567,bpråket,0.53
99,wanliga,0.648,ssöta,0.568,slätsöm,0.533,filosofi,0.499,spelning,0.507,vexellära,0.548,strifwande,0.566,religionslära,0.53
