,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,polsta,0.89,constantin,0.697,konstantin,0.732,konstantin,0.686,storfurstinna,0.709,storfurstinna,0.686
1,braunschweig,0.883,dower,0.687,constantin,0.71,wladimir,0.66,storfurstentronföljaren,0.687,storfurstentronföljaren,0.686
2,constantin,0.879,nemours,0.685,storfurstinna,0.682,nikolajewitsch,0.632,kejsare,0.686,alexei,0.684
3,coburg,0.878,arfprins,0.685,joinville,0.659,kejsare,0.63,konstantinowitsch,0.684,konstantinowitsch,0.68
4,öfwerlemnad,0.876,compiegne,0.681,arfprins,0.648,tronföljare,0.629,alexei,0.684,nikolajewitsch,0.676
5,berry,0.869,maximilian,0.68,coburg,0.63,storfurst,0.626,nikolajewitsch,0.676,vladimir,0.673
6,inberätta,0.868,gemål,0.675,alexandra,0.628,vladimir,0.606,wladimir,0.671,alexandrowitsch,0.667
7,fredsslut,0.868,suwarow,0.674,prius,0.623,furst,0.606,nikolajevitsch,0.666,wladimir,0.66
8,macdonald,0.866,erkehertig,0.673,oranien,0.619,storsursten,0.598,kejsarinna,0.664,nikolajevitsch,0.659
9,fängenstap,0.865,vigo,0.67,storhertig,0.617,storfurstinna,0.598,vladimir,0.664,sergius,0.651
10,toulouse,0.864,westphalen,0.668,alerander,0.608,kronprins,0.592,alexandrowitsch,0.663,storfurst,0.645
11,braun,0.863,coburg,0.664,curir,0.607,constantin,0.579,tronföljare,0.661,kejsar,0.641
12,återgå,0.863,högqwarteret,0.661,jerome,0.607,kejsar,0.577,czar,0.659,tsar,0.641
13,brunswik,0.863,brunswik,0.658,högqwarteret,0.604,czar,0.577,sergius,0.658,zarens,0.638
14,ragusa,0.863,infant,0.658,storamiral,0.602,kejsarpar,0.574,tsar,0.646,czar,0.633
15,suwarow,0.863,återvänta,0.658,schwarzenberg,0.601,prius,0.574,storfurst,0.645,tronföljare,0.633
16,whitworth,0.863,trapezunt,0.655,oraa,0.6,gortschakoff,0.567,kejsar,0.644,enkekejsarinnan,0.63
17,diden,0.863,lancier,0.655,courierer,0.6,prins,0.557,zarens,0.644,kejsare,0.629
18,brorson,0.862,wäntades,0.652,storfurst,0.598,reuss,0.554,witsch,0.636,witsch,0.628
19,lfwerste,0.862,esterhazy,0.652,oldenburg,0.597,alerander,0.553,konstantin,0.635,storsursten,0.626
20,statsminister,0.862,anträdt,0.651,tronföljare,0.596,nikolaus,0.547,storhertig,0.63,storhertig,0.625
21,förträffeliga,0.861,äterkommen,0.649,toskana,0.595,gliicksburg,0.544,storsursten,0.629,kejsarinna,0.623
22,texel,0.86,afseglat,0.649,buonaparte,0.594,sergius,0.543,arfstorhertigen,0.628,arfstorhertigen,0.619
23,pauli,0.86,burg,0.648,maximilian,0.594,czartoryski,0.542,enkekejsarinnan,0.624,niko,0.616
24,escadern,0.86,alicante,0.647,compiegne,0.593,metropolit,0.542,furst,0.622,nikolais,0.615
25,kumlinge,0.859,abrantes,0.647,storhertiginna,0.592,adalbert,0.539,furste,0.621,furst,0.612
26,york,0.858,josefina,0.647,auvergne,0.59,rurik,0.539,nikolais,0.62,dolgorucki,0.607
27,wilh,0.858,stephan,0.645,victoria,0.59,alexander,0.538,niko,0.619,nikolaj,0.605
28,cuba,0.857,salzburg,0.645,canino,0.588,flygeladjutant,0.538,battenberg,0.617,battenberg,0.603
29,elliot,0.856,york,0.645,förlofning,0.587,amadeus,0.537,dolgorucki,0.611,käjsarens,0.6
30,älstilliga,0.856,cloud,0.644,asturi,0.586,moscau,0.537,nikolaj,0.609,konstantin,0.597
31,pacha,0.856,medina,0.644,prinsetzan,0.586,tronarfvinge,0.537,prins,0.605,gardeskåren,0.596
32,siendtliga,0.856,joinville,0.644,leiningen,0.586,livadia,0.537,käjsarens,0.592,livadia,0.595
33,swerigcs,0.856,courierer,0.644,olga,0.585,thronföljarens,0.535,prinsessa,0.59,kejsarpar,0.592
34,neapolitan,0.856,artois,0.643,braganza,0.584,kischeneff,0.533,änkekejsarinna,0.587,änkekejsarinna,0.585
35,swäger,0.855,cambridge,0.643,leuchtenberg,0.583,constantins,0.531,furstinna,0.586,kejsarfamilj,0.583
36,legation,0.855,oranien,0.642,potemkin,0.581,cumberland,0.531,kejsarpar,0.585,wladimirs,0.582
37,lönn,0.855,athen,0.641,prinsesian,0.58,eugénie,0.528,livadia,0.584,flygeladjutant,0.58
38,bostad,0.855,reggio,0.641,stefan,0.58,erkehertig,0.527,kejsarfamilj,0.582,prius,0.58
39,flola,0.855,bernadotte,0.641,infantinna,0.578,leuchtenberg,0.526,nikita,0.582,zarén,0.58
40,puke,0.854,keisar,0.64,keisar,0.576,nikita,0.526,gemål,0.579,reuss,0.577
41,palen,0.854,leuchtenberg,0.639,högqwarter,0.575,melikoff,0.526,coburg,0.578,nikita,0.575
42,prägtig,0.854,inskeppa,0.638,stephanie,0.575,uppvaktande,0.525,feodorowna,0.576,hofburg,0.573
43,bilbao,0.854,memel,0.638,belge,0.574,afskedsbesök,0.525,flygeladjutant,0.575,czartoryski,0.573
44,räta,0.854,windsor,0.637,angusta,0.574,storamiral,0.525,gardeskåren,0.574,hohenlohe,0.572
45,ratifikation,0.853,högqwarter,0.636,humboldt,0.573,czartorysti,0.525,xenia,0.572,czarcn,0.571
46,ernst,0.853,luneville,0.636,biarritz,0.573,coimbra,0.523,erkehertig,0.572,czareu,0.571
47,farwattnen,0.853,florenz,0.636,weimar,0.572,wittgenstein,0.521,wied,0.571,spala,0.569
48,georgien,0.853,braunschweig,0.635,cherbourg,0.572,gliicksborg,0.52,meiningen,0.571,thronföljarens,0.567
49,jena,0.853,thronföljaren,0.635,jose,0.572,plevnas,0.519,spala,0.57,generalamiral,0.566
50,wikar,0.853,ärke,0.635,esterhazy,0.571,lichtenstein,0.518,thronföljarens,0.57,coburg,0.566
51,utnämd,0.853,lucien,0.635,litzabon,0.571,prinsessa,0.518,zarén,0.57,feodorowna,0.566
52,florenz,0.852,ärkehertig,0.635,inkognito,0.57,kejsarinna,0.516,reuss,0.569,meiningen,0.565
53,conseil,0.852,udine,0.634,tostana,0.57,compiégne,0.515,prius,0.569,lifläkare,0.564
54,toulonsta,0.852,litzabon,0.634,bäjern,0.569,rainer,0.515,czareu,0.569,hohenzollern,0.563
