,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,thelestad,0.795,telegramvexling,0.668,ministerstatssekreterare,0.647,ministerstatssekreterare,0.679
1,tulli,0.791,novembertraktaten,0.658,postväsen,0.603,lifland,0.599
2,bje,0.79,nordkarelen,0.654,russificering,0.602,postväsen,0.596
3,guiana,0.787,i8i5,0.652,i8i5,0.591,russificering,0.595
4,guatemala,0.787,ministerstatssekreterare,0.65,lifland,0.583,i8i5,0.586
5,trun,0.786,1743,0.639,autonom,0.569,statssekretariat,0.584
6,garant,0.78,karelen,0.639,verldspostföreningen,0.567,liffland,0.572
7,stamförvandter,0.78,hörge,0.636,statssekretariat,0.565,ehrnrooth,0.571
8,ålems,0.78,noriges,0.636,landslag,0.565,autonom,0.567
9,konnna,0.778,postfördraget,0.631,språkförordning,0.561,förbundsbeslut,0.561
10,mangårdsbyggnad,0.777,fiskprodukt,0.631,arfföljd,0.559,arfföljd,0.559
11,nysunds,0.777,westpreussen,0.625,landtdagsordning,0.558,ostsibirien,0.559
12,willie,0.777,norga,0.622,tullförfattning,0.555,kaukasien,0.556
13,färda,0.775,tullförfattning,0.622,kambodja,0.554,språkförordning,0.556
14,ailed,0.774,postfördrag,0.622,förbundsbeslut,0.554,estland,0.555
15,mjn,0.774,sverigo,0.621,noriges,0.552,landslag,0.555
16,342,0.774,folkskoleväsen,0.618,konungarike,0.552,landtdagsordning,0.555
17,luftresa,0.773,passtvång,0.616,ehrnrooth,0.552,finland,0.554
18,sålla,0.773,brödraland,0.615,likställande,0.552,verldspostföreningen,0.552
19,falster,0.773,införlifvadt,0.614,ostsibirien,0.551,autonomi,0.551
20,mosås,0.773,tullgräns,0.614,finland,0.551,turkestans,0.55
21,misttanka,0.772,linska,0.613,turkestans,0.55,konungarike,0.55
22,ogästvänlig,0.772,konsulsbefattning,0.613,kaukasien,0.55,bukovina,0.548
23,kavalleriregemente,0.772,sluthäftet,0.613,lydstat,0.55,kambodja,0.548
24,clotilda,0.772,storbritanien,0.613,estland,0.549,postfördrag,0.548
25,landelius,0.772,bränvinstillverkningen,0.612,autonomi,0.548,kejsaredömet,0.546
26,kanada,0.771,militärförvaltning,0.61,postfördrag,0.547,lydstat,0.546
27,rullning,0.771,räddningsväsende,0.609,liffland,0.545,noriges,0.545
28,erhallna,0.771,kungö,0.609,kejsaredömet,0.544,telegrafkonvention,0.543
29,panta,0.771,harro,0.607,telegrafkonvention,0.542,sälttäget,0.542
30,förrädet,0.77,autonom,0.607,novembertraktaten,0.541,öfwerbesälhafware,0.542
31,menai,0.77,undant,0.607,eagland,0.539,regeringskommission,0.541
32,militärståndet,0.77,sälttäget,0.605,bukovina,0.538,lauenburgs,0.54
33,heler,0.77,sanctioneradt,0.605,postfördraget,0.537,bessarabiens,0.54
34,spanmålsprisen,0.77,bränvinskontrollbyrån,0.605,systerland,0.537,postfördraget,0.54
35,fräii,0.77,förvaltningsrätt,0.605,cirkassien,0.537,ostrumilien,0.54
36,vinterköld,0.769,sjukvårdsanstalter,0.604,öfwerbesälhafware,0.536,tullförfattning,0.539
37,herz,0.769,nationalära,0.604,alliansfördrag,0.535,novembertraktaten,0.538
38,affed,0.769,upphåfvandet,0.603,bessarabiens,0.535,cirkassien,0.537
39,görtz,0.769,handelsberättelse,0.603,handelskonvention,0.534,moskovskija,0.537
40,maestricht,0.768,nynäsbanan,0.602,negerbefolkning,0.534,handelskonvention,0.536
41,dannebrog,0.768,inordna,0.601,regeringskommission,0.534,alliansfördrag,0.535
42,borrta,0.768,personbefordring,0.601,telegramvexling,0.534,statsområde,0.535
43,hafsbotten,0.768,folkoch,0.6,civilförvaltning,0.534,bukowina,0.535
44,vitte,0.767,civilförvaltning,0.6,siciliernas,0.534,militärkommando,0.534
45,kolerasmittad,0.767,1632,0.6,nordkarelen,0.533,telegramvexling,0.534
46,balong,0.767,obefintlig,0.599,amnestidekret,0.533,siciliernas,0.533
47,återeröfra,0.767,norgo,0.599,bandelstraktaten,0.533,polen,0.532
48,tjensteutöfning,0.767,afslutna,0.599,sälttäget,0.532,kolonisationsplan,0.532
49,dclarne,0.767,enskommelse,0.599,höghetsrätt,0.532,civilförvaltning,0.532
50,skattebonde,0.767,telegrambefordringen,0.597,frihetsstrid,0.532,bandelstraktaten,0.531
51,buste,0.767,meddeldta,0.597,bukowina,0.531,amnestidekret,0.531
52,kontreamiralen,0.767,landslag,0.596,förbundsland,0.531,reskript,0.531
53,afrad,0.767,telegrafkonvention,0.596,högata,0.531,frihetsstrid,0.53
54,secler,0.766,statskalender,0.596,inkorporering,0.53,alea,0.53
55,storwerk,0.766,nuva,0.595,lydland,0.53,interimsregering,0.53
56,ingenjör,0.766,hafsfiske,0.595,donauländerna,0.53,likställande,0.53
57,iverkligen,0.766,konstexposition,0.595,lierskare,0.53,generalguvernör,0.53
