,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,deputation,0.81,banque,0.751,riksens,0.681,riks,0.579,ständer,0.631,ständ,0.611,ständ,0.729,ständ,0.64
1,riks,0.75,riks,0.742,riks,0.648,ständer,0.553,stander,0.617,borgarestånden,0.544,slånd,0.617,ståud,0.471
2,betänkande,0.74,riksens,0.703,banque,0.621,riksens,0.534,sländer,0.6,ompröfva,0.542,ståud,0.499,slånd,0.467
3,riksens,0.726,samtycke,0.579,insättning,0.553,dank,0.528,stånder,0.592,folkvald,0.539,skick,0.491,görlunda,0.466
4,underdånig,0.703,höglofl,0.578,bank,0.545,rikels,0.509,sländers,0.59,slänt,0.539,skiok,0.488,åväga,0.454
5,banque,0.698,fullmägtige,0.571,ständer,0.506,höglofl,0.508,borgarestånden,0.589,grundlagsfråga,0.534,åväga,0.479,naturligtsvis,0.427
6,högloflig,0.688,underteknade,0.564,förwaltning,0.491,banque,0.507,riksens,0.582,nästsammanträdande,0.534,arhete,0.462,värkställighet,0.424
7,deputera,0.668,ständer,0.562,höglofl,0.48,sländer,0.505,rikels,0.578,bikets,0.531,skiek,0.462,egauderätt,0.423
8,angående,0.665,bank,0.56,garanti,0.47,underd,0.484,afslogo,0.573,bankoverk,0.528,stand,0.459,skiok,0.422
9,höglofl,0.661,förwaltning,0.554,utskott,0.464,bauk,0.482,riksstånd,0.572,sländers,0.527,juryinstitutionen,0.458,järnvägstaxa,0.422
10,memorial,0.647,insättning,0.553,holstein,0.454,ständerne,0.48,höglofl,0.57,tullbevillningen,0.524,btånd,0.457,skick,0.422
11,utnämna,0.645,obligation,0.553,stäligt,0.451,ständ,0.478,rike,0.567,hamrarne,0.521,istånd,0.456,gärdsbanan,0.421
12,utgifne,0.642,högloflig,0.549,skrifwelse,0.447,öfverlemnadt,0.477,ständerne,0.567,riksstånd,0.52,görlunda,0.453,btånd,0.42
13,underdånighet,0.639,majus,0.544,wadstena,0.443,stander,0.47,riks,0.565,adela,0.519,rösti,0.452,underhållsskyldig,0.42
14,ordförande,0.636,nådig,0.534,fullmägtige,0.443,riksgäldskontoret,0.463,bikets,0.565,sländer,0.517,köttexport,0.449,utsig,0.419
15,näder,0.636,privilegium,0.529,realisation,0.442,rike,0.461,kikets,0.56,oåtspord,0.517,kommunalväsen,0.448,juryinstitutionen,0.419
16,befallning,0.634,nädigste,0.527,stand,0.441,stind,0.46,slänt,0.56,höglofl,0.517,jämnmod,0.447,tullmur,0.416
17,ändring,0.631,collegium,0.526,sens,0.441,riksdagsbeslut,0.457,utskotta,0.558,medstånd,0.517,egund,0.447,arbetskraftig,0.416
18,götheborgs,0.628,compagniets,0.525,bir,0.44,återremittera,0.454,grundlagsförändring,0.557,stander,0.517,tilllåtet,0.447,arbetsresultat,0.416
19,magistrat,0.626,ordinarie,0.525,siänd,0.439,piket,0.454,orepresenterad,0.553,stånder,0.516,afsåttningen,0.446,prinsregent,0.416
20,efterrättelse,0.626,assa,0.519,lår,0.439,ständernes,0.454,grundlagsfråga,0.553,livilande,0.513,värkställighet,0.442,mjöbäck,0.415
21,bifalla,0.625,deputation,0.519,fullmäktig,0.436,indragningsmakt,0.452,skatteförenkling,0.547,ständer,0.511,allu,0.442,slopande,0.415
22,privilegium,0.624,utskott,0.518,upförde,0.435,förmaner,0.452,bondestånden,0.547,utskotta,0.51,moderdjur,0.441,samta,0.414
23,befordra,0.623,samtlig,0.517,högloflig,0.434,statsreglering,0.451,medstånd,0.546,rikels,0.508,fredsgaranti,0.441,lovera,0.414
24,ansökning,0.623,underdånighet,0.514,directionen,0.433,myntenhet,0.451,konstitutionsutskott,0.546,expeditionsutskott,0.507,åsigteu,0.441,raserande,0.414
25,majtts,0.621,yttrande,0.512,discont,0.432,statslän,0.448,grundlagsändring,0.54,riksens,0.507,komrne,0.44,egarum,0.413
26,utfärda,0.619,teckning,0.511,revision,0.432,riksstånd,0.447,rikeis,0.538,ekonomiutskottet,0.506,tullmur,0.439,craglands,0.413
27,efterföljande,0.617,resolution,0.511,framhärda,0.428,fullmäktig,0.447,delegation,0.538,afslogo,0.505,massproduktion,0.438,wälstand,0.412
28,samtycke,0.614,warandc,0.51,nädiga,0.428,ois,0.446,lagförändring,0.538,ikets,0.504,landålett,0.438,kommunalväsen,0.412
29,anmärkning,0.613,underhus,0.508,nädigste,0.427,statsutskott,0.445,afslår,0.538,skatteförenkling,0.503,förstörelseredskap,0.438,defensivallians,0.412
30,rad,0.611,kare,0.508,iland,0.425,beläna,0.444,ständ,0.537,prestestånd,0.503,privatspisning,0.437,såtta,0.411
31,ic,0.61,collegii,0.507,taleman,0.425,oförhindrad,0.444,hemställande,0.537,prästestånd,0.5,oidning,0.437,fyrdelning,0.41
32,tilökning,0.606,hörande,0.507,donera,0.423,utlåning,0.444,stand,0.537,slånd,0.499,brandförsåkrade,0.437,åsigteu,0.409
33,påminnelse,0.606,adelen,0.507,åtta,0.423,lagutskott,0.444,återremitteradt,0.536,petitionsrätt,0.496,amalgamering,0.437,balkh,0.409
34,anfördt,0.605,liad,0.506,complett,0.422,högloft,0.444,lånefond,0.536,kamrarno,0.493,tillfålle,0.435,traktet,0.409
35,afhandling,0.604,slagtare,0.503,werket,0.422,försvarsverk,0.443,kontraproposition,0.534,lagfråga,0.493,avanceradt,0.434,afslulande,0.409
36,råd,0.604,disponera,0.503,underteknade,0.422,frångå,0.443,lörslag,0.534,propositionsvägran,0.492,oberö,0.434,jordstyckning,0.409
37,betraktelse,0.601,författning,0.501,protocollet,0.421,realisation,0.443,prestestånd,0.533,siänder,0.492,förkofring,0.433,moderdjur,0.408
38,yttrande,0.599,consistorii,0.501,adelen,0.42,rikets,0.44,fullfärdig,0.532,upprifvande,0.49,äonn,0.433,anmodande,0.408
39,instämma,0.598,högädle,0.501,tjenstemän,0.42,kommitterad,0.44,hufvudtitlar,0.532,aflåtande,0.49,naturligtsvis,0.433,samvärka,0.408
40,utstaka,0.598,underdånig,0.5,besiktning,0.42,skick,0.435,grundlagsenlig,0.532,stamholländeristyrelsen,0.489,öfvortygad,0.432,orappadt,0.408
41,hwarä,0.593,directionen,0.5,verksamhet,0.418,fullmägtige,0.435,ansvarighetslag,0.532,ständerne,0.487,annna,0.432,följakt,0.408
42,hospital,0.591,bränwins,0.499,brandförsäkring,0.417,stadfästad,0.435,nikets,0.531,bondestånden,0.487,brådkast,0.432,unionsbestämmelserna,0.408
43,respeetive,0.59,stämpling,0.498,hofrätt,0.417,tvärtemot,0.435,ständers,0.53,adel,0.487,provianteradt,0.432,förstörelseredskap,0.408
44,inkil,0.59,kallelse,0.496,stopp,0.417,tillstyrkande,0.434,punktvis,0.529,hänskjutande,0.486,öfverfyllnad,0.432,motståndarns,0.406
45,majit,0.59,anhällit,0.496,stznd,0.415,frånträda,0.434,stånders,0.525,riksdag,0.486,stind,0.431,förpligtigade,0.406
46,rörande,0.589,stats,0.495,insätta,0.414,framsida,0.433,öfverrätt,0.525,aflåtandet,0.485,ryssand,0.431,lefnadsuppgift,0.406
47,inför,0.589,fc,0.495,bewillning,0.414,siänd,0.433,voteringsproposition,0.525,bvilande,0.485,panjon,0.431,ovisshetstillstånd,0.406
48,förening,0.587,respeetive,0.494,regeringsform,0.414,förflaget,0.432,banque,0.524,riko,0.484,tvinga,0.43,undertak,0.405
49,åtgärd,0.586,regeringssätt,0.494,indiska,0.414,grundlagsförändring,0.431,ständernes,0.524,boslut,0.484,bjelpligt,0.43,provianteradt,0.405
50,angäende,0.586,deponera,0.494,diskont,0.414,högloflig,0.431,överensstämmelse,0.524,borgareståndet,0.483,opportun,0.43,jämvigt,0.405
51,frö,0.586,efterföljande,0.494,ronungen,0.413,bolagsreglor,0.431,bvilande,0.524,heslöf,0.482,siänd,0.429,oberö,0.405
52,bränwins,0.586,föreläsa,0.492,tillstyrka,0.413,fullmägtiges,0.431,hänskjuta,0.523,stånders,0.48,produktionssätt,0.429,karriär,0.405
53,expedition,0.584,commendeuren,0.492,stind,0.412,högvördig,0.431,hufvudgrunder,0.522,tomtegarne,0.48,arbetskraftig,0.429,fiö,0.404
54,gifwit,0.584,lega,0.492,directionens,0.412,kommitte,0.431,vilkorliga,0.521,sedn,0.48,handelsgemenskap,0.428,forisätta,0.404
55,märt,0.582,sinnas,0.492,utbus,0.412,tillgöra,0.431,klassvis,0.521,formulering,0.479,vanpris,0.428,portförbud,0.404
56,förordna,0.582,wärdighet,0.491,ständ,0.412,kontraproposition,0.431,hufwudsaklig,0.52,högvördig,0.478,yrkesfotograf,0.428,köttexport,0.404
57,adelsman,0.581,framlida,0.491,deposition,0.411,konstitutionsutskott,0.431,grundlagsförslag,0.52,målto,0.477,ginväg,0.428,viljestyrka,0.403
58,billett,0.581,riksgäld,0.49,bankomynt,0.411,statswerkets,0.43,statsutstottet,0.52,förelågo,0.477,äktenskapsmarknad,0.428,ombildadt,0.403
59,ode,0.581,majtts,0.49,werkets,0.41,framläggande,0.43,föredrogos,0.518,värnpligtslag,0.476,prässa,0.428,margarinfabrikation,0.403
60,förstag,0.58,oförändrad,0.488,krigsgärd,0.409,ang8ende,0.429,principfråga,0.518,embetsexamina,0.476,giiva,0.427,öfvertagare,0.403
61,borgenär,0.578,les,0.488,utrop,0.409,kommersekollegium,0.427,riksdagsbeslut,0.517,stand,0.475,iäkarne,0.427,fhil,0.403
