,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,watn,0.882,gewar,0.773,flanque,0.693,hnfwud,0.547,stödt,0.566,stödt,0.606,stödt,0.61,hoptryckt,0.568
1,gull,0.876,framföre,0.749,colonn,0.684,svänga,0.54,lutadt,0.499,armbåge,0.541,kaminfrisen,0.575,kaminfrisen,0.566
2,försigtighet,0.875,finger,0.748,flanquen,0.683,hwilade,0.539,armbåge,0.494,dörrpost,0.517,armstöd,0.555,armbåge,0.565
3,sprida,0.872,krokig,0.746,höjderne,0.673,bevåg,0.539,törna,0.482,hvilaude,0.516,armbåge,0.536,värjspets,0.559
4,cour,0.869,pelare,0.744,reträtte,0.671,stödt,0.537,bakifrän,0.475,stödda,0.514,stödda,0.528,vecklingen,0.543
5,tilhörande,0.867,ladda,0.744,center,0.669,förswarat,0.535,knytnäfve,0.473,armbägen,0.513,klippkant,0.521,klippkant,0.541
6,ansenligen,0.864,stocka,0.743,colonnen,0.669,slummer,0.533,kompakt,0.472,sängkant,0.508,stöta,0.521,cumberlands,0.538
7,allestädes,0.862,genera,0.742,hafwet,0.657,obeveklig,0.532,wcnstra,0.472,nedlutadt,0.503,ryggstöd,0.52,raklång,0.534
8,färga,0.862,framträda,0.741,rusa,0.656,fängsel,0.529,bramante,0.472,stolskarm,0.501,värjspets,0.512,oförvarandes,0.528
9,torka,0.862,bajonett,0.741,fiendtlig,0.656,tomhet,0.529,fasthålla,0.471,klippkant,0.497,nedlutadt,0.507,iförde,0.524
10,beflut,0.861,haswet,0.738,wäpnad,0.653,skärp,0.529,krucifix,0.47,bakbinda,0.496,plimsolls,0.504,städt,0.522
11,sma,0.861,söndra,0.737,rhenströmmen,0.652,rigla,0.529,pekfinger,0.469,sadelknapp,0.496,hoptryckt,0.504,sträckås,0.519
12,jesu,0.861,dcrwid,0.734,spridd,0.652,förföljare,0.528,nppät,0.464,livilar,0.492,stolskarm,0.502,öfverkroppen,0.519
13,deln,0.861,stryk,0.733,stans,0.649,tröskel,0.526,fetlagd,0.464,handell,0.488,spjernade,0.498,goltvet,0.519
14,kröning,0.859,trolös,0.733,högden,0.649,qwinnorna,0.526,korslägga,0.462,städt,0.486,öfverkroppen,0.497,tältpinne,0.517
15,tilsammans,0.859,swagare,0.733,fördrifwer,0.648,bädd,0.526,kratta,0.461,upplyftadt,0.485,stolkarm,0.497,stöta,0.514
16,finger,0.859,storma,0.732,omkull,0.648,förställa,0.526,skjöt,0.459,studd,0.483,bordskant,0.495,fjäderprydd,0.512
17,mal,0.858,hafwet,0.732,tournera,0.647,byråkrati,0.525,knotig,0.459,kyhte,0.482,iförde,0.495,upprifvet,0.512
18,tegel,0.858,affaire,0.732,bajonett,0.647,uppmärksamma,0.522,upplyftade,0.457,nedlutade,0.481,halmstol,0.494,halmstol,0.512
19,lukt,0.858,reform,0.73,drogo,0.647,throner,0.521,livilar,0.455,stöta,0.481,affyrat,0.494,stödt,0.512
20,saker,0.856,swäraste,0.729,wenstra,0.646,sug,0.521,glömsk,0.455,spinkig,0.479,rigtades,0.493,stolskarm,0.509
21,olla,0.855,position,0.729,batteri,0.644,hvilade,0.52,äntra,0.454,rigta,0.478,raklång,0.493,klippvägg,0.508
22,yta,0.854,kedja,0.728,framrycka,0.644,enslig,0.52,naed,0.453,rigtade,0.475,lutadt,0.492,vensta,0.508
23,snö,0.854,bewäpnade,0.727,gewar,0.644,sörswar,0.52,kampa,0.453,båtkanten,0.475,biljardkö,0.492,nedlutadt,0.507
24,blygd,0.854,osynlig,0.726,colonne,0.641,snärja,0.52,anmarsch,0.453,öfverkroppen,0.474,stödjepunkt,0.492,hvartåt,0.507
25,trettio,0.853,stogen,0.725,drifwit,0.641,omgifwer,0.518,fastbinda,0.452,nedböjdt,0.474,sammanknäpta,0.491,sängstolpe,0.507
26,rya,0.853,bakdel,0.725,storma,0.64,bakgrund,0.518,skälfvande,0.452,årslag,0.473,stolsrygg,0.491,armstöd,0.505
27,wänlig,0.853,förbränna,0.724,bomb,0.64,gångstig,0.518,beskedlighet,0.451,answarigt,0.473,studd,0.491,sittande,0.505
28,matta,0.851,afstånd,0.724,blixt,0.638,vältra,0.517,ohjelpligen,0.451,tempelbyggnad,0.472,hopsjunken,0.491,nedslag,0.505
29,fager,0.851,wt,0.723,bataille,0.637,rnen,0.516,beherrsta,0.45,rumänisk,0.471,cumberlands,0.49,återstudsa,0.504
30,spel,0.851,fransoferne,0.722,wanstra,0.637,inifrån,0.515,antipati,0.45,hnswud,0.471,sängkant,0.49,gevärsmynning,0.504
31,betäcka,0.85,sned,0.721,rhenstranden,0.636,krama,0.515,fjellet,0.45,rufvade,0.47,framåtlutadt,0.489,livilar,0.504
32,mede,0.85,observation,0.72,retraite,0.635,kindben,0.515,blodbestänkt,0.449,kamtschatka,0.47,gnedo,0.489,stolkarm,0.504
33,honung,0.849,förfärlig,0.72,stjuta,0.633,wifade,0.515,folksuveränitet,0.449,guerillakrig,0.469,högna,0.488,studd,0.504
34,efterkommande,0.849,troupper,0.72,skrä,0.632,undanbad,0.514,jernspira,0.449,rikta,0.469,vecklingen,0.488,byssa,0.503
35,raseri,0.849,utgä,0.72,avancera,0.632,twingade,0.514,skygghet,0.449,nedsjunker,0.468,städt,0.488,framåtlutadt,0.503
36,förlustig,0.848,sjunka,0.719,afständ,0.631,libanon,0.514,judendom,0.448,renseln,0.468,runka,0.488,uppsvullna,0.503
37,fregatt,0.848,dunst,0.719,nedkomma,0.63,dödsstund,0.514,bakben,0.447,fastkedja,0.467,oböjlighet,0.487,wenzels,0.503
38,winning,0.847,fordne,0.718,krossa,0.629,öfwcrallt,0.514,bakslug,0.447,framsträcka,0.467,orloffs,0.487,utspringa,0.503
39,göda,0.847,marcherade,0.718,haubitz,0.629,bätarne,0.514,misstrogen,0.446,rigtadt,0.466,lntade,0.486,bordskant,0.503
40,hylla,0.847,stjuta,0.717,lossa,0.628,klifva,0.513,urladda,0.446,sih,0.466,kanonmynning,0.486,stolsrygg,0.503
41,kröna,0.847,kuntze,0.717,riktning,0.628,nedkasta,0.512,sjellve,0.446,sammanknäppa,0.466,pistolmynning,0.486,kolmörker,0.502
42,nymodig,0.847,sisi,0.717,marcherade,0.627,grundwalar,0.512,maktlös,0.445,kainsmärke,0.465,framsträcka,0.485,hvarandia,0.502
43,gora,0.846,fräsa,0.717,tilsätta,0.627,bakhåll,0.512,återtogo,0.444,stupstock,0.465,affyrar,0.484,undervattensklippa,0.502
44,bördig,0.846,front,0.717,fäste,0.627,profetia,0.512,vältra,0.444,cgen,0.465,hutvudet,0.484,sylfidisk,0.501
45,bock,0.846,kanonad,0.716,englandarne,0.626,rappning,0.512,knyck,0.444,franziska,0.465,flngrarne,0.483,sönderskuret,0.501
46,lapp,0.845,fänge,0.716,hundra,0.625,sofwande,0.512,slöta,0.444,sigtade,0.465,sammanknäppa,0.483,kanonmynning,0.5
47,nyfikenhet,0.844,förblanda,0.716,afgrund,0.624,matsäck,0.511,knölpåk,0.444,lufwén,0.465,knäpta,0.483,högna,0.5
48,mas,0.844,ogräs,0.715,arriergarde,0.624,anföllo,0.511,nise,0.443,instinktmässig,0.465,valkig,0.481,royston,0.5
49,asta,0.844,därifrän,0.715,stogen,0.623,twingar,0.511,kroppsstyrka,0.443,yllrade,0.465,tillvägagäende,0.481,hattbrätte,0.5
50,stinn,0.843,isynnerhet,0.715,stolt,0.623,förmägan,0.511,flarpt,0.443,fota,0.465,kaminkransen,0.481,hufrudet,0.5
51,präktig,0.843,glöda,0.714,stodo,0.623,uppställande,0.511,byxficka,0.443,digheterna,0.465,tillbakalutadt,0.48,klippmassor,0.5
52,skära,0.843,postera,0.714,postering,0.623,liswets,0.511,rökmoln,0.443,lutadt,0.465,stötting,0.479,stäfwen,0.5
53,wall,0.843,marchen,0.714,fientlig,0.622,vågskål,0.51,flodstrand,0.443,margretas,0.465,luta,0.479,hopsjunken,0.5
54,turkisk,0.843,canon,0.713,swärd,0.622,rystlands,0.51,häntyda,0.443,hwiftade,0.465,halmsäck,0.478,kringvrida,0.5
55,sivart,0.843,uf,0.713,cosacker,0.621,ansikte,0.51,klinka,0.442,inflä,0.464,halfliggande,0.478,tillbakalutadt,0.499
56,fördubbla,0.842,krigare,0.713,henna,0.62,beträdt,0.51,dörrpost,0.442,dypöl,0.463,sönderrifva,0.477,söndersarga,0.499
57,canoner,0.842,dunder,0.713,betacka,0.62,undertrycka,0.509,aktningsbjudande,0.441,beskedlighet,0.462,guddom,0.476,snedvrida,0.499
58,snöre,0.842,snäcka,0.713,wäxer,0.62,inwerka,0.509,uppstego,0.441,ryggstöd,0.462,maktlös,0.476,stödda,0.498
59,lagd,0.842,öpnades,0.713,donau,0.618,rynka,0.508,wrida,0.441,triumfator,0.461,stenbalustrad,0.476,stenbalustrad,0.498
60,sdr,0.841,näsa,0.713,stryk,0.617,knota,0.508,svängning,0.441,hälleberg,0.461,minisirarne,0.475,klippref,0.498
61,swenska,0.841,wingar,0.712,colonner,0.617,hvilat,0.507,stredo,0.441,fingra,0.46,gevärsmynning,0.474,hufvudel,0.497
62,käng,0.841,bygde,0.712,postera,0.617,attack,0.507,rigel,0.441,willospär,0.46,deacon,0.474,trästubbe,0.497
63,ljuflig,0.841,stillatigande,0.712,twang,0.616,rigta,0.507,rifwa,0.44,runka,0.46,nedsjönk,0.474,sönderrifva,0.497
64,skjorta,0.841,häg,0.712,dragé,0.616,fjättra,0.507,lillfinger,0.44,huswudstupa,0.459,sadelknapp,0.473,räoka,0.497
65,hjord,0.841,tilsätta,0.712,wädret,0.616,skymma,0.506,uppstäldt,0.44,bramante,0.459,fasthöllo,0.473,qvarnhjul,0.497
66,stanna,0.841,smeka,0.711,flagen,0.616,afskära,0.506,undantagandes,0.44,grunda,0.459,byssa,0.473,fickspegel,0.497
67,psalmbok,0.84,datum,0.711,cavallen,0.615,afbräck,0.506,storsjö,0.44,fiendlliga,0.458,kolmörker,0.472,skyttelinie,0.497
68,stämning,0.84,laugt,0.71,widdin,0.615,parson,0.506,consuelos,0.44,fysistt,0.458,insistera,0.472,tillbakakastadt,0.496
