,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,constitutionen,0.9,nare,0.762,communicationen,0.651,hafivet,0.624,stöflarna,0.522,kölrummet,0.497,stöflarna,0.535
1,manta,0.898,kongsbacka,0.747,kugghjul,0.65,förswarswerk,0.609,wärjan,0.487,stöflarna,0.497,benskärfva,0.535
2,bewiljat,0.896,saffran,0.745,salonichi,0.647,ängare,0.606,väldsamt,0.487,ofwanpå,0.493,piskskaft,0.534
3,resolvera,0.891,zs,0.745,grekcrne,0.647,säjom,0.602,brännsär,0.486,fastsurrad,0.488,hopsydda,0.53
4,laren,0.891,terpentin,0.745,hafwct,0.647,massör,0.597,träflor,0.486,öswerbord,0.486,ihjelslagna,0.528
5,declaration,0.889,flina,0.743,elig,0.647,turkist,0.596,sidenskärp,0.483,hopsydda,0.485,durk,0.522
6,utsända,0.887,melerad,0.743,archipelagen,0.645,uppbrändt,0.594,öswerbord,0.481,styrbords,0.481,kölrummet,0.521
7,förställning,0.887,bomullsstrumpa,0.742,nptt,0.643,trost,0.592,armbägen,0.48,lärbenet,0.481,refvo,0.52
8,secler,0.887,metzing,0.736,martinique,0.643,eldgap,0.591,söndersprang,0.479,durk,0.478,ikull,0.518
9,åtlöje,0.885,ullgarn,0.735,flagna,0.642,britista,0.59,strämor,0.477,vattenfyldt,0.478,ofwanpå,0.517
10,sistlcdne,0.884,black,0.735,grckerne,0.64,bottnista,0.59,hemwändande,0.476,benskärfva,0.477,hufrudet,0.517
11,söndring,0.883,blårandig,0.735,hafswiken,0.639,armöen,0.586,söndersargade,0.476,huswudct,0.477,näsben,0.516
12,ohörd,0.883,bastmatta,0.733,porcelaine,0.638,steppswarf,0.586,klatscha,0.475,misthandlade,0.476,upprista,0.513
13,brittisk,0.883,blaggarn,0.733,bortkastad,0.638,grekcrne,0.584,stjntit,0.475,ikull,0.475,öswerbord,0.513
14,borgeliga,0.883,pomerans,0.731,jasmin,0.637,trouper,0.584,misthandlade,0.475,bufwudet,0.475,stolsben,0.513
15,tidningspapper,0.883,tusch,0.731,lepanto,0.636,rystt,0.582,stördarne,0.475,lassel,0.474,misthandlade,0.512
16,anspräk,0.882,röding,0.731,ättven,0.634,armön,0.581,hwinande,0.474,näsben,0.474,bortsliten,0.511
17,anhang,0.882,kras,0.729,gardintyg,0.633,ottomannista,0.58,klingall,0.473,bortsliten,0.474,skamfilade,0.511
18,nera,0.882,rappe,0.729,inlupne,0.631,beherrsta,0.58,högtidskläder,0.471,klyka,0.473,huswudct,0.51
19,ffrifwit,0.882,slängkappa,0.728,afsticka,0.631,fläda,0.58,slete,0.471,sönderflogs,0.472,lassel,0.509
20,bleswe,0.881,orange,0.728,tröstwerk,0.63,kulregn,0.58,genomskjuten,0.47,framstam,0.472,spånt,0.509
21,communication,0.88,björnbräm,0.728,turkist,0.629,fiendlliga,0.578,demontera,0.47,piskskaft,0.471,klyka,0.509
22,cöln,0.88,grönmälad,0.728,sior,0.628,hasivet,0.577,gärdesgärdarne,0.469,knifwarne,0.47,knifwarne,0.507
23,mayland,0.88,boj,0.727,kibitka,0.628,fegel,0.577,mjuka,0.468,vedstapel,0.47,gärdesgårdsstör,0.507
24,lagstiftning,0.879,mynttorget,0.726,dykare,0.628,krigsflotta,0.577,flintlås,0.467,underkäke,0.469,stöfveln,0.507
25,försämra,0.878,canel,0.726,upproriste,0.627,tausta,0.576,flangar,0.467,axelled,0.469,styrbords,0.507
26,berattas,0.878,stälp,0.725,janitschar,0.627,enro,0.576,molständare,0.466,hufrudet,0.469,klädtrasa,0.507
27,wäsende,0.877,ostind,0.724,jnsurgenterne,0.627,terror,0.576,bufwudet,0.465,stolsben,0.467,fastsurrad,0.506
28,tractaten,0.876,parasoll,0.724,plast,0.627,lillbaka,0.576,hulling,0.465,bakvägg,0.466,bufwudet,0.505
29,svara,0.876,raffinad,0.722,blomkruka,0.627,haftvet,0.575,spegelram,0.465,nafsa,0.466,nafsa,0.504
30,prägtig,0.876,engeist,0.722,betvdlig,0.626,danstarna,0.575,förstansningar,0.464,wastin,0.466,vedstapel,0.503
31,anora,0.876,koncept,0.722,gnl,0.626,rvsta,0.574,jernbom,0.464,bergwäggen,0.465,träffado,0.502
32,dey,0.875,förtulla,0.722,tienligt,0.625,himmelcn,0.574,sörefanns,0.464,stungades,0.465,söndersletos,0.502
33,xiv,0.875,flanell,0.722,taktäckning,0.624,bosporen,0.574,sarlyget,0.464,upprista,0.465,framstam,0.502
34,stämning,0.875,mjölkbunke,0.722,vaxstapel,0.623,kanonbätar,0.574,öfwersällad,0.463,styrhytt,0.465,sabelklinga,0.502
35,visitera,0.875,inr,0.722,eall,0.623,ryssarue,0.573,horisontell,0.463,armled,0.464,stungades,0.502
36,directe,0.875,bestäendc,0.722,skänska,0.623,egyptista,0.573,halswägs,0.463,ihjelslagna,0.463,lärbenet,0.502
37,garantera,0.875,uppbud,0.721,egyptista,0.623,spanssa,0.573,tryne,0.462,refvo,0.463,buteljhals,0.501
38,schwaben,0.874,handstar,0.72,zante,0.623,hafswiken,0.572,ashört,0.462,afslitna,0.463,glasskärfvorna,0.501
39,dagcligen,0.874,shawl,0.72,havannah,0.622,atlantista,0.572,gewären,0.462,waggonerna,0.463,underkäke,0.5
40,krigsfolk,0.874,kontrollör,0.72,tältsäng,0.622,idstedt,0.572,swedd,0.461,pasfagerarne,0.463,armstjock,0.5
41,verona,0.874,emalj,0.72,utsn,0.622,turkiffa,0.571,kolfwen,0.461,glasskärfvorna,0.463,vattenfyldt,0.5
42,skingra,0.874,mortel,0.719,firman,0.622,förstansningar,0.571,genomskjutna,0.461,smästen,0.462,sparka,0.5
43,värdighet,0.874,krakmandel,0.718,figueras,0.622,kanonbätarne,0.571,huflvudet,0.461,träffado,0.462,bortskurna,0.499
44,beni,0.874,thorn,0.718,s8lunda,0.621,karabelnaja,0.569,celldörr,0.461,armstjock,0.462,axelled,0.499
45,medelhafwet,0.874,terrin,0.718,wadderad,0.62,hwartenda,0.569,staft,0.46,wärjan,0.462,däcksplanka,0.499
46,famillen,0.873,mandel,0.717,franfysta,0.62,snipebro,0.568,ofwanpå,0.46,borradt,0.462,uppsvullna,0.497
47,ych,0.873,safflor,0.717,java,0.619,krigskontraband,0.568,montbeliard,0.46,flrämda,0.461,krokben,0.497
48,inskränkning,0.873,kantig,0.716,stockkolms,0.619,tenedos,0.567,ffydd,0.46,träribba,0.461,armled,0.496
49,corpser,0.873,trägärds,0.716,sniä,0.619,walplatsen,0.567,swedda,0.46,skamfilade,0.461,sabelfäste,0.496
50,bränwinet,0.873,skifwa,0.716,brnkbara,0.618,tremastare,0.567,instöta,0.46,flets,0.46,afslitna,0.496
51,armce,0.873,kapprock,0.715,samos,0.618,azowsta,0.567,fluldran,0.46,ofladade,0.46,borradt,0.495
52,dagsljus,0.873,oliver,0.715,mörkblätt,0.618,syues,0.567,qwarstodo,0.459,träflor,0.459,bakvägg,0.495
53,lifsfara,0.872,sprita,0.715,färgadt,0.618,rvssarne,0.567,knölpäk,0.459,järnbeslagna,0.459,stjärnbaner,0.494
54,blixt,0.872,tofs,0.715,trofé,0.617,sadix,0.567,hogla,0.459,läret,0.459,klingall,0.494
55,upsöka,0.872,klot,0.714,förhydning,0.617,hangö,0.567,stuldran,0.458,däcksplanka,0.459,torkås,0.494
56,wigtigaste,0.872,skrifpenna,0.713,trouper,0.617,sartyg,0.566,kyrassier,0.458,koladt,0.459,flrämda,0.494
57,oförsynt,0.872,gummi,0.713,bärd,0.617,förhuggning,0.566,remnat,0.458,kanonport,0.458,mordwapen,0.494
58,rättwis,0.872,tamburgarn,0.713,santos,0.617,muhamed,0.566,nickhake,0.458,skadado,0.458,söndersarga,0.493
59,ernar,0.872,rörkäpp,0.713,packad,0.617,handgevär,0.566,förminstade,0.458,stöfveln,0.458,uppsliten,0.492
60,sanna,0.871,ungersk,0.712,gulocker,0.616,särne,0.565,siadade,0.457,gärdesgårdsstör,0.457,vägdike,0.492
61,engelsmännerne,0.871,citronsaft,0.712,sebastopol,0.616,wcrldcn,0.565,fläckningen,0.457,tillstyndande,0.457,skrikande,0.492
62,likasä,0.871,pudersocker,0.712,wäldsamheter,0.616,horisontel,0.565,mesanmast,0.457,wäders,0.457,bergwäggen,0.492
63,klokhet,0.871,adlig,0.712,eholeran,0.616,landstigningstrupper,0.564,kalhet,0.457,öfwerarmen,0.457,flets,0.491
64,votera,0.87,bwita,0.712,neapolitansta,0.615,wräk,0.564,fläpar,0.457,simgördel,0.456,afslitit,0.491
