,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,öfversätta,0.646,svensk,0.578,svensk,0.614,svensk,0.607,svensk,0.501
1,aritmetik,0.62,vitterhet,0.561,srenska,0.51,engelska,0.559,tyska,0.499
2,grammatika,0.61,handlexikon,0.561,engelska,0.509,tyska,0.545,engelska,0.499
3,grammatik,0.607,stereotypera,0.553,tyska,0.504,varukunskap,0.513,hexameter,0.495
4,vitter,0.601,originalupplaga,0.548,öfversätta,0.497,franska,0.51,franska,0.493
5,latinsk,0.6,skriföfning,0.548,sjelfundervisning,0.493,volapiik,0.492,sveaska,0.491
6,palmblad,0.596,språklära,0.542,satslära,0.488,sveaska,0.491,volapiik,0.485
7,matematik,0.593,lexicon,0.531,syska,0.486,srenska,0.49,operatext,0.48
8,svensk,0.592,parnassen,0.527,undervisningsspråk,0.486,bpråket,0.49,volapuk,0.479
9,praktverk,0.584,originalspråk,0.523,finska,0.485,språkinstitut,0.489,gaelisk,0.476
10,berlinska,0.582,vb,0.521,språkegenhet,0.485,språk,0.489,skrifvande,0.475
11,språklära,0.579,ordförråd,0.52,handlexikon,0.479,läsöfningar,0.485,varukunskap,0.47
12,välskrifning,0.578,elementarundervisning,0.519,svedboms,0.478,hexameter,0.481,bpråket,0.469
13,problemer,0.575,geographien,0.516,varukunskap,0.477,ranska,0.48,srenska,0.469
14,harriet,0.573,srenska,0.515,lörekommande,0.473,skrifvande,0.477,iranska,0.468
15,resebeskrifning,0.573,geographi,0.514,folksaga,0.473,iranska,0.475,läsöfningar,0.466
16,kraus,0.572,läseöfning,0.513,ulgifna,0.471,volapuk,0.475,tryckstil,0.466
17,mathematik,0.572,läsbok,0.513,samtals,0.47,öfversättningsprof,0.473,plancheverk,0.464
18,öfversatt,0.572,grammatikalisk,0.51,försvenska,0.468,fonetik,0.473,fonetik,0.462
19,originalspråk,0.572,brochyrer,0.51,loyds,0.468,gaelisk,0.472,lättlärd,0.456
20,viktig,0.571,tjska,0.51,ntländska,0.467,svonska,0.47,ranska,0.456
21,lexicon,0.57,antiqvitetsakademien,0.509,lokaliseradt,0.467,svenaka,0.468,orginal,0.456
22,skrifvande,0.569,vägledare,0.509,samtalsspråk,0.467,arabiska,0.468,versmått,0.454
23,införskrifva,0.568,lexikon,0.509,familjjournalens,0.466,veckorevy,0.467,arabiska,0.454
24,numrorne,0.567,underlagd,0.508,yska,0.466,stilöfning,0.467,språkinstitut,0.454
25,utgifvet,0.565,fraseologi,0.507,veckorevy,0.465,genesis,0.466,accentuering,0.453
26,biblisk,0.565,stilöfning,0.506,horatii,0.465,teosof,0.465,architektur,0.453
27,eos,0.565,andru,0.505,införskrifvits,0.464,såug,0.464,8venska,0.452
28,wergeland,0.564,livius,0.504,tjska,0.463,pesther,0.464,såug,0.452
29,arithmetik,0.562,prosaiker,0.504,sverige11,0.462,melbye,0.463,genesis,0.452
30,latin,0.562,försvenska,0.501,mellanradig,0.46,kngelska,0.462,språk,0.451
31,recensera,0.561,fornålder,0.501,prosaiker,0.459,öfversätta,0.462,veckorevy,0.45
32,tyska,0.561,littera,0.5,hygiea,0.458,syska,0.461,kngelska,0.449
