,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,inflytande,0.776,konstitution,0.684,regeringssystem,0.573,princip,0.554,woolfska,0.56,måttsystem,0.598,måttsystem,0.572
1,constitutionen,0.774,magterna,0.683,demokratisk,0.562,regeringssätt,0.553,woolfs,0.552,tullsystem,0.587,telefonsystem,0.538
2,administration,0.766,nödwändigheten,0.682,rättstillstånd,0.559,myntsystem,0.553,beräkningssätt,0.548,metod,0.564,valsystem,0.534
3,blifwik,0.765,philosophi,0.682,jemnvigt,0.558,taktik,0.543,princip,0.545,metrista,0.563,sättmaskin,0.531
4,granlaga,0.765,lagstiftning,0.677,jemkning,0.558,omstörtning,0.541,beskattningssystem,0.534,banksystem,0.558,tullsystem,0.525
5,förädling,0.764,ärorik,0.677,monarki,0.557,ideerna,0.539,ytkondensor,0.527,princip,0.555,beskattningssystem,0.523
6,fäderne,0.764,förblifwer,0.67,ärftlighet,0.555,styrelsesystem,0.538,representationsform,0.521,sättmaskin,0.555,behandlingsmetod,0.52
7,regeringssätt,0.763,catholsta,0.667,representativ,0.553,axiom,0.537,lärometod,0.52,skyddssystem,0.551,göteborgssystemet,0.52
8,uttryckelig,0.762,magnetism,0.667,konungamakt,0.548,reformförslag,0.536,krigsförfattning,0.516,valsystem,0.546,metrista,0.519
9,visitera,0.761,folkflag,0.66,statsinrättning,0.546,intolerans,0.533,metrista,0.513,beskattningssystem,0.544,nelt,0.516
10,troupper,0.761,obegriplig,0.66,status,0.545,statsskick,0.533,fängelsesystem,0.512,rättssystem,0.537,banksystem,0.513
11,ocd,0.76,constitution,0.659,genomdrifva,0.544,samhällsskick,0.532,skolsystem,0.512,representationsform,0.536,opröfvadt,0.511
12,reglor,0.76,mediation,0.659,förträfflighet,0.543,styrelsesätt,0.531,kolbesparande,0.511,skyddstullsystem,0.53,metod,0.509
13,enfald,0.759,stränghet,0.659,förhållanderne,0.541,representativ,0.529,arméorganisation,0.509,wolffska,0.529,lokalnät,0.508
14,dömas,0.758,rytzland,0.657,tryckpress,0.538,byråkratisk,0.529,tullsystem,0.507,domstolsorganisation,0.529,tilllämpad,0.507
15,riktighet,0.758,föremäl,0.655,föredöme,0.538,styrelseform,0.528,militärorganisation,0.507,statsbildning,0.528,sjelfverkande,0.507
16,skaldekonst,0.757,tankesätt,0.653,milieu,0.537,rättstillstånd,0.528,metrisk,0.507,telefonsystem,0.525,princip,0.506
17,magnetism,0.757,ofördelaktig,0.653,sympathier,0.537,regeringssystem,0.526,helstatsförfattning,0.505,krigsförfattning,0.522,statsbildning,0.506
18,oinskränkt,0.757,framställning,0.652,sammanfatta,0.537,sedvana,0.525,metrifla,0.505,metrifla,0.522,annonseringssätt,0.505
19,forntid,0.757,wälmening,0.652,framskridande,0.536,fängelsesystem,0.523,philosophiska,0.505,tillverkningsmetod,0.52,tillverkningsmetod,0.505
20,upgifwit,0.756,förkasta,0.651,affektera,0.535,jemvigt,0.523,snabbskjutande,0.504,beräkningssätt,0.519,begrafningssätt,0.504
21,armce,0.756,missnöjd,0.651,motvigt,0.534,föråldrad,0.522,brottmålslag,0.504,tilllämpad,0.519,tilllämpande,0.504
22,philosophi,0.755,sörswara,0.651,förhatlig,0.534,tullsystem,0.521,internationelt,0.503,grundsats,0.518,oxsele,0.504
23,kärna,0.754,patriotism,0.651,grundsats,0.534,folkökning,0.52,automatisk,0.5,regeringssystem,0.516,rösträttsförhållanden,0.502
24,folkflag,0.753,ohörd,0.65,öfvervälde,0.534,opolitisk,0.52,arbetsfördelning,0.499,försvarssystem,0.516,patenterad,0.502
25,inskränkning,0.75,missnöje,0.65,styrelseform,0.533,grundsats,0.518,banksystem,0.499,fängelsesystem,0.516,fasonering,0.501
26,granstning,0.75,förlika,0.65,monarkisk,0.533,maxim,0.518,gevärsmodell,0.498,opröfvadt,0.514,läkemetod,0.501
27,gränsa,0.75,constitutionen,0.649,kabinetter,0.533,allenastyrande,0.517,doktrin,0.498,trampinrättning,0.514,kurmethod,0.5
28,swedenborg,0.749,wistt,0.648,åtskillnad,0.532,grundtanke,0.516,förenkladt,0.498,philosophiska,0.513,tullreform,0.5
29,stundeligen,0.749,foglighet,0.647,organisk,0.532,codex,0.516,metod,0.497,kloaksystem,0.513,specialmaskin,0.498
30,maner,0.749,upmarksamhet,0.647,teori,0.531,skolsystem,0.514,myntsystem,0.497,annonseringssätt,0.511,domstolsorganisation,0.497
31,ödla,0.748,likasä,0.646,samhällsskick,0.531,naturenlig,0.514,nationalitetsprincip,0.496,specialmaskin,0.51,rättssystem,0.496
32,nationalförsamling,0.747,organisation,0.646,abstrakt,0.53,statsförvaltning,0.513,finansförvaltning,0.495,cederbloms,0.51,förfaringssätt,0.496
33,ohörd,0.746,neutralitet,0.646,tidehvarfvets,0.53,ministere,0.512,brukbarhet,0.495,förfaringssätt,0.507,tillvägagångssätt,0.496
34,förkorta,0.746,handelsstad,0.646,bundsförvandt,0.53,idée,0.512,sjelfverkande,0.494,matarerörelse,0.506,försvarssystem,0.495
35,charlatan,0.746,uppenbar,0.646,ideell,0.529,fyrdelning,0.51,detaljförändring,0.493,myntsystem,0.506,trampinrättning,0.495
36,tilsätta,0.746,mcra,0.644,magnetism,0.529,statsförfattning,0.51,patenteradt,0.493,sveatypen,0.505,hensel,0.494
37,högmodig,0.746,sådan,0.644,fueros,0.528,väsentligen,0.508,lagtolkning,0.493,konstruktion,0.505,belysningssystem,0.493
38,smink,0.746,mägtiga,0.643,kränkning,0.528,doktrin,0.507,bränslebesparande,0.491,stem,0.505,minlinier,0.493
39,redighet,0.745,florida,0.643,jemnlikhet,0.528,statsekonomisk,0.506,cellsystem,0.489,ganz,0.503,skyddssystem,0.492
40,betacka,0.744,misibruk,0.643,veto,0.527,interessen,0.506,värnpligten,0.489,sjelfverkande,0.501,ramsågverk,0.492
41,gouverneuren,0.744,upfinning,0.641,sammanfattning,0.526,fiendtlighet,0.506,afslöjande,0.489,tullreform,0.501,cederbloms,0.49
42,inflytelse,0.744,plägsed,0.641,upphäfde,0.526,abstrakt,0.506,partiställning,0.488,buckeyes,0.501,artillerivapen,0.489
43,stäld,0.744,kalender,0.64,sträfvande,0.525,kombination,0.505,regeringssystem,0.488,lingska,0.501,valtrassel,0.489
44,föreskrift,0.743,gagnelig,0.64,uppfattning,0.525,qvarstår,0.505,wienerkongressen,0.487,stafningssätt,0.5,persontariff,0.489
45,beskydda,0.743,omedelbarligen,0.64,catholsta,0.525,konklusion,0.505,stridssätt,0.487,högtryckningsmaskin,0.5,probersten,0.489
46,förträffeliga,0.743,uplysta,0.639,social,0.525,brottmålslag,0.504,prohibition,0.487,finanspolitik,0.5,philosophiska,0.489
47,klagomäl,0.743,liberal,0.639,split,0.525,monarkisk,0.504,wolffska,0.486,probersten,0.499,ganz,0.489
48,förfarenhet,0.743,beskyddare,0.639,republikansk,0.524,tulltariff,0.504,myntenhet,0.486,öfvergifvandet,0.499,undervisningsmetod,0.489
49,verkan,0.743,folkstag,0.639,ministerens,0.524,absolutism,0.504,straffsystem,0.486,methoder,0.499,listomröstning,0.488
50,rubbning,0.743,likgiltig,0.639,egenmäktig,0.524,tulllagstiftning,0.503,kustförsvar,0.485,nelt,0.499,myntsystem,0.488
51,ningar,0.743,öfwertygelse,0.638,konseqvens,0.523,gyckelspel,0.503,motståndsförmåga,0.485,begrafningssätt,0.498,skyddstullsystem,0.488
52,fullfölja,0.742,oändlig,0.638,gränsorne,0.523,omskapa,0.503,fälttelegraf,0.485,stålsymaskin,0.498,beräkningssätt,0.488
53,observation,0.741,förfwara,0.638,intervenera,0.523,slentrian,0.503,landtstormens,0.484,grundprincip,0.498,representationsform,0.487
54,porträtt,0.741,rättwist,0.637,stabilitet,0.523,banksystem,0.502,regeringsförslag,0.484,patentlag,0.498,helstatsförfattning,0.486
55,tilräckeligen,0.741,larda,0.637,princip,0.523,abstraktion,0.502,beväringslag,0.484,oxsele,0.498,tarifförslag,0.486
56,beflutat,0.74,basis,0.637,basis,0.522,lagstiftningsåtgärd,0.502,konstruktion,0.483,method,0.497,omstöpning,0.485
57,mångfaldig,0.74,klädnad,0.637,hänvisning,0.522,representationssätt,0.501,styrelseverk,0.483,chevéska,0.497,krigsförfattning,0.484
58,bayern,0.74,bedräglig,0.636,nystland,0.521,samhällsinstitution,0.501,likaberättigande,0.482,fyllestgörande,0.497,beredningsmetod,0.484
59,anora,0.739,kallsinnig,0.635,reaktion,0.521,konseqvent,0.501,högtryckningsmaskin,0.481,skyddspolitik,0.497,låneanstalt,0.483
60,borgeliga,0.739,inflytelse,0.635,fiendtlighet,0.521,konungamakt,0.501,anfallsvapen,0.481,elberfeldsystemet,0.496,matarerörelse,0.483
61,inell,0.739,armce,0.635,samverkan,0.521,öfverflygla,0.501,trafikförmåga,0.48,frihandelssystem,0.495,torfmullsklosetter,0.483
62,mästerstycke,0.738,engelffe,0.635,sympati,0.521,framskridande,0.499,förfaringssätt,0.479,sjelfreglerande,0.494,lagreform,0.483
63,cöln,0.738,samhet,0.635,öfverlägsenhet,0.52,gemensamhet,0.499,fattigvårdslagstiftning,0.479,individualistisk,0.493,öfvergifvandet,0.483
64,odräglig,0.738,politisk,0.635,öfvervigt,0.52,sakernes,0.499,verldsordning,0.479,begrafningssättet,0.492,sveatypen,0.482
65,tjente,0.738,samtid,0.635,interessen,0.519,statsinrättning,0.499,axiom,0.479,invandringslag,0.492,beskattningsväsende,0.482
66,votera,0.737,twäng,0.635,alltmer,0.518,ifrar,0.499,samhällsmakt,0.479,behandlingsmetod,0.492,kombinering,0.481
67,nödwändigheten,0.737,folkslag,0.634,pärs,0.518,envälde,0.499,handelspolitik,0.479,handelspolitik,0.492,kastkropp,0.481
68,bibeln,0.737,aflagd,0.634,kommerciel,0.518,supremati,0.498,chevéska,0.478,construction,0.492,tämmelig,0.481
