,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mähren,0.882,amerikanerne,0.745,utrecht,0.625,landområde,0.636,landområde,0.626,landområde,0.643
1,länderi,0.881,armce,0.742,monaco,0.624,enklav,0.628,idaho,0.588,idaho,0.62
2,misslyckas,0.881,badajoz,0.739,trouppar,0.623,montana,0.615,niger,0.577,kolorado,0.588
3,9000,0.877,schacka,0.737,protektorat,0.622,armenien,0.613,territorial,0.571,dakotas,0.585
4,dömdes,0.877,regentstapet,0.733,gränsorna,0.619,centralamerika,0.611,enklav,0.57,wyoming,0.584
5,austerlitz,0.875,nedhugga,0.732,gebiet,0.617,dakota,0.61,annam,0.566,arkipelag,0.582
6,toulouse,0.875,mägtige,0.73,statsförbund,0.615,bessarabien,0.605,egeisk,0.565,enklav,0.582
7,hono,0.874,insurrectionen,0.729,badajoz,0.614,kompensation,0.604,arkipelag,0.563,niger,0.577
8,brudgum,0.874,kommendering,0.726,gebit,0.612,nordöstlig,0.602,ögrupp,0.561,alaska,0.576
9,eanoner,0.873,oskadd,0.726,uruguay,0.61,guinea,0.6,kolorado,0.559,khanat,0.571
10,furstendöme,0.872,wittenberg,0.725,insurrectionen,0.607,insurgera,0.599,khanat,0.559,nordcarolina,0.571
11,rige,0.872,föregifvande,0.723,statssystem,0.605,bastista,0.597,timok,0.559,egeisk,0.571
12,vas,0.872,stammare,0.722,darwid,0.604,moldau,0.596,bolivia,0.553,ögrupp,0.57
13,bostad,0.871,undantränga,0.722,bastista,0.602,lombardiet,0.595,birmas,0.552,fristat,0.569
14,kyrkostat,0.871,interessen,0.722,okränkt,0.602,samarkand,0.595,afträdande,0.552,chihuahua,0.568
15,liniesteppet,0.871,kontingent,0.721,amalgamera,0.602,rhenprovinserna,0.592,dakotas,0.549,arkansas,0.563
16,ansätta,0.87,grenada,0.721,verldshandeln,0.599,sydgräns,0.592,nordcarolina,0.547,territorial,0.563
17,lönn,0.87,sebastopol,0.721,wienertraktaten,0.598,venelien,0.591,wyoming,0.547,statsförbund,0.561
18,lv,0.87,armeerne,0.72,skranka,0.597,autonom,0.589,epirus,0.544,bolivia,0.561
19,mde,0.869,krigs,0.72,tilgängar,0.597,elsass,0.588,tenessee,0.543,timok,0.56
20,siendtliga,0.869,segovia,0.718,plantskola,0.597,autonomi,0.586,meriko,0.543,pennsylvania,0.559
21,kumlinge,0.869,faction,0.718,öfverhet,0.596,furstendöme,0.585,chihuahua,0.543,tenessee,0.558
22,batterierne,0.869,twungne,0.718,maktspråk,0.596,herligdömena,0.584,statsförbund,0.542,bergskedja,0.557
23,befullmäktiga,0.868,seres,0.717,supremati,0.596,khanat,0.584,archipelagen,0.541,birmas,0.557
24,macdonald,0.867,skymf,0.717,lombardiet,0.596,rumeniens,0.58,insurgera,0.541,epirus,0.556
25,ärftlig,0.866,nedsabla,0.717,medborgarne,0.595,lydland,0.579,kolonierne,0.541,kolonierne,0.553
26,kryssare,0.866,nationalgardist,0.716,oförkränkt,0.595,armeerne,0.579,bergskedja,0.539,archipelagen,0.553
27,detalj,0.866,tyrol,0.715,upphäfves,0.595,protektorat,0.578,tonkins,0.539,arizona,0.553
28,krossa,0.865,kringränna,0.715,nissa,0.593,fristat,0.578,kuha,0.538,annam,0.552
29,garnizon,0.864,servierne,0.715,legislativ,0.592,statsförbund,0.578,fästningsfyrkanten,0.537,kuha,0.552
30,uttrötta,0.864,jnsurgenterne,0.714,nationalgard,0.592,territorial,0.577,arkansas,0.536,aralsjön,0.552
31,pacha,0.864,integritet,0.714,samlingssal,0.592,occupation,0.576,fristat,0.535,kapkolonien,0.55
32,escadern,0.864,godvillig,0.714,suveränitet,0.591,athos,0.576,zulfikar,0.535,nyassasjön,0.549
33,rat,0.864,farwatten,0.714,tvångsåtgärd,0.591,fästningsfyrkanten,0.576,kolonisera,0.533,meriko,0.549
34,upförd,0.864,afmarsch,0.714,förbundsstat,0.591,landsdelarne,0.576,straffkoloni,0.532,kolonisera,0.548
35,calabrien,0.864,spaniorer,0.713,armeerne,0.591,uruguay,0.575,zanzibars,0.532,insurgera,0.548
36,stein,0.863,undfly,0.713,aargau,0.59,bolgrad,0.575,bastista,0.531,turkestans,0.547
37,fuktighet,0.863,nissa,0.713,fältrop,0.59,lothringens,0.575,sao,0.53,sao,0.547
38,faun,0.863,widdin,0.713,pascharne,0.589,furstedömet,0.575,turkestans,0.53,kuststräcka,0.547
39,eirka,0.863,befästning,0.713,stiftning,0.589,donaufurstendömenas,0.574,honduras,0.53,colorado,0.546
40,äfwan,0.862,iemnat,0.712,krigsparti,0.589,engeland,0.574,pennsylvania,0.53,outforskad,0.546
41,reggio,0.862,englandarne,0.712,adelén,0.588,kronland,0.574,kuststräcka,0.528,puerto,0.546
42,förswunnit,0.862,trupparna,0.712,ulskylder,0.588,balkanpassen,0.574,guinea,0.527,jowa,0.545
43,jämka,0.862,colonner,0.712,pachan,0.588,landsdel,0.572,puerto,0.527,guinea,0.545
44,förställning,0.862,slafwar,0.712,fueros,0.588,landsträcka,0.572,khokand,0.527,manitoba,0.545
45,förträffeliga,0.861,konvoj,0.711,embetsmännen,0.587,pascharne,0.571,boliviansk,0.527,slafstaterna,0.545
46,stätten,0.861,negrerne,0.711,anslutning,0.587,servi,0.571,aralsjön,0.527,sydöstlig,0.544
