,sv_1740,sv_1740_d,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,dag,0.541,lid,0.615,lid,0.68,lid,0.621,lid,0.631,lid,0.703,lid,0.762,lid,0.718,lid,0.578
1,ära,0.508,belägenhet,0.571,undfäende,0.519,titz,0.464,tidrymd,0.506,sammanvaro,0.571,tidrymd,0.566,tick,0.543,tidor,0.523
2,ak,0.492,därifrån,0.549,gädt,0.49,tjenstetid,0.461,tiderymd,0.482,tidskifte,0.558,tick,0.533,tideu,0.528,tido,0.518
3,ligga,0.488,gänger,0.543,undfående,0.481,insekt,0.458,1841,0.475,förlöpa,0.528,tidor,0.528,tido,0.514,fredsår,0.517
4,konung,0.48,stund,0.541,lotterie,0.478,tld,0.434,tido,0.469,tiderymd,0.511,tidsföljd,0.522,sjukdomstid,0.511,tideu,0.506
5,händelse,0.472,hast,0.539,förlopp,0.476,generation,0.434,continenten,0.464,skiljsmessa,0.51,mellanskof,0.518,fredagsberättelse,0.508,växtperiod,0.497
6,öga,0.463,boställe,0.538,wäret,0.474,tide,0.429,hedendom,0.459,korlare,0.497,tiderymd,0.517,tidor,0.507,hvilotid,0.493
7,namn,0.451,wäret,0.534,inbetalning,0.473,näara,0.427,mellantid,0.456,intrådt,0.496,prenumerationstid,0.507,växtperiod,0.504,tilländagången,0.492
8,hwilken,0.448,siq,0.533,fördrifwer,0.466,hemresa,0.425,wretstorp,0.456,uppsjö,0.495,fredagsberättelse,0.498,människoålder,0.503,fcan,0.483
9,land,0.436,prest,0.53,handtering,0.465,bkifwit,0.42,igår,0.453,slund,0.493,bortvaro,0.493,långtid,0.503,människoålder,0.481
10,kropp,0.428,regel,0.53,mäge,0.461,wecker,0.418,söndagseftermiddag,0.451,lefnadsbana,0.493,tidsrymd,0.492,besittningstid,0.502,mådader,0.48
11,blifwit,0.426,fdr,0.527,titz,0.461,sender,0.418,nattqvarter,0.451,landthandeln,0.493,tjd,0.49,ämbetstid,0.5,långtid,0.48
