,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,accessoirer,0.764,accessoirer,0.77
1,holbergska,0.759,stiltrogen,0.746
2,ryttarinnor,0.744,holbergska,0.74
3,toiletterna,0.743,ryttarinnor,0.732
4,bländhwita,0.74,toiletterna,0.727
5,stiltrogen,0.735,fantasikostym,0.719
6,drägler,0.733,utmejsla,0.719
7,natursinne,0.733,fraicha,0.717
8,fantasikostym,0.732,bravurstycke,0.715
9,utmejsla,0.732,natursinne,0.714
10,österländingarne,0.732,nationaldräkt,0.714
11,bravurstycke,0.728,bländhwita,0.713
12,fraicha,0.726,färgbehandling,0.709
13,penselföring,0.726,drägler,0.708
14,petig,0.725,porträttlik,0.708
15,sällskapsdrägt,0.725,färgsammansättning,0.707
16,porträttlik,0.723,petig,0.704
17,stämföring,0.723,österländingarne,0.703
18,färgbehandling,0.722,figurant,0.702
19,nationaldräkt,0.721,kaffebrun,0.7
20,kaffebrun,0.721,täckhet,0.7
21,folktyp,0.72,penselföring,0.699
22,ordvändning,0.72,sällskapsdrägt,0.699
23,figurant,0.719,målningssätt,0.699
24,pog,0.718,takfris,0.699
25,koloristisk,0.717,nationaldrägterna,0.698
26,pointerna,0.717,ordvändning,0.698
27,cendrillon,0.716,snobbig,0.697
28,snobbig,0.716,folktyp,0.697
29,konstskapelse,0.715,sommardrägt,0.696
30,täckhet,0.715,aftontoalett,0.695
31,målningssätt,0.715,mönstergild,0.694
32,oäfna,0.714,koloristisk,0.694
33,nationaldrägterna,0.712,melodik,0.692
34,reliefbild,0.711,klädsam,0.692
35,växtverld,0.711,kläduingar,0.692
36,mönstergild,0.71,drägterna,0.692
37,färgsammansättning,0.71,cendrillon,0.691
38,skådö,0.709,konstmässig,0.689
39,skönhetstyp,0.709,orkesterstycke,0.689
40,idékrets,0.708,konstskapelse,0.688
41,samtalston,0.707,skönhetstyp,0.688
42,högvuxen,0.706,reliefbild,0.688
43,guldband,0.706,silfverskir,0.687
44,stapelser,0.704,samsjungning,0.687
45,messigt,0.702,skådö,0.687
46,impressionistisk,0.701,underplagg,0.687
47,takfris,0.701,högvuxen,0.687
48,karaktersmask,0.701,växtverld,0.686
49,underplagg,0.7,guldband,0.685
50,behagfullhet,0.7,pointerna,0.684
51,luktlös,0.699,karaktersmask,0.684
52,drägterna,0.699,stapelser,0.684
53,frasande,0.698,pog,0.684
54,redingote,0.698,baltoalett,0.684
55,sommardrägt,0.697,voyage,0.684
56,baltoalett,0.697,djurbild,0.683
57,känslosvall,0.697,berättarekonst,0.683
58,japanska,0.697,bizarr,0.683
59,naturstämning,0.697,redingote,0.682
60,renaissans,0.697,lokalfärg,0.681
61,myckon,0.696,gammaltysk,0.681
62,världsman,0.696,utsirning,0.68
63,konstmässig,0.696,samsjungningen,0.68
64,kanak,0.696,utstyrselstycke,0.68
65,berättarekonst,0.696,dalpolska,0.679
66,melodik,0.695,frasande,0.679
67,voyage,0.695,renaissans,0.679
68,tankereda,0.695,idékrets,0.679
69,samsjungning,0.694,bladgrupper,0.679
70,färgrikedom,0.694,konstförståndig,0.678
71,smaksinne,0.694,hoffröknarna,0.678
72,ranchero,0.694,oäfna,0.678
73,öfverraskniug,0.694,stämföring,0.678
74,teaterfigur,0.694,ovaraktig,0.678
75,iramgång,0.694,behagfullhet,0.677
76,djurbild,0.694,världsman,0.677
77,lokalfärg,0.693,luktlös,0.676
78,respektingifvande,0.693,samtalston,0.676
79,högtidsdräkt,0.693,kanak,0.676
80,savonarola,0.693,myckon,0.676
81,silfverskir,0.693,smaksinne,0.676
82,kvinnoemancipation,0.693,rörelseform,0.675
83,hoffröknarna,0.692,festdrägt,0.674
84,klädsam,0.692,farsartad,0.674
85,öfverdrifua,0.692,japanska,0.673
86,regnbägens,0.692,kruserlig,0.673
87,orkesterstycke,0.692,gobeliner,0.672
88,bizarr,0.692,teaterfigur,0.672
89,välklang,0.691,klädniugar,0.672
90,bjefs,0.691,naturstämning,0.672
91,utstyrselstycke,0.691,förfinadt,0.672
92,uttrycksmedel,0.691,channe,0.671
93,channe,0.691,brysselspets,0.671
94,insnörd,0.69,respektingifvande,0.671
95,mankan,0.69,melusina,0.67
96,framställarne,0.69,påklädd,0.67
97,hermelinsmantel,0.69,orkestral,0.67
98,påklädd,0.69,savonarola,0.67
99,samsjungningen,0.689,nyansera,0.67
