,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,expeditionskostnad,0.715,länsmansbefattningen,0.71
1,vaktkonstaplarne,0.708,vaktkonstaplarne,0.708
2,musiklära,0.707,musiklära,0.707
3,hernqvist,0.705,hernqvist,0.705
4,tullström,0.704,flaggskeppare,0.702
5,flaggskeppare,0.702,stigbergsåsen,0.702
6,stigbergsåsen,0.702,croomard,0.701
7,croomard,0.701,vigneau,0.701
8,vigneau,0.701,väfversunda,0.701
9,väfversunda,0.701,tådened,0.7
10,tådened,0.7,matvaruhandlare,0.699
11,matvaruhandlare,0.699,nang,0.698
12,nang,0.698,vilhelmsberg,0.697
13,vilhelmsberg,0.697,lögdeå,0.697
14,lögdeå,0.697,fiby,0.697
15,fiby,0.697,jernvägspersonalens,0.696
16,presttägten,0.696,pressombudsman,0.696
17,jernvägspersonalens,0.696,suppleang,0.694
18,pressombudsman,0.696,bokelund,0.694
19,suppleang,0.694,vendell,0.692
20,bokelund,0.694,hvitbetssockertillverkningsafgiften,0.691
21,vendell,0.692,januaririksdag,0.691
22,hvitbetssockertillverkningsafgiften,0.691,hillmann,0.691
23,januaririksdag,0.691,rabattkort,0.69
24,hillmann,0.691,werldsborgare,0.69
25,rabattkort,0.69,utskyldor,0.689
26,werldsborgare,0.69,tegelbruks,0.689
27,vinterkurs,0.69,ingelson,0.689
28,utskyldor,0.689,presttägten,0.689
29,tegelbruks,0.689,kärandebolaget,0.688
30,ingelson,0.689,wengström,0.688
31,kärandebolaget,0.688,simms,0.688
32,wengström,0.688,öfverkikaren,0.688
33,ladugårdsbacke,0.688,libby,0.687
34,simms,0.688,willasson,0.687
35,öfverkikaren,0.688,systan,0.687
36,libby,0.687,domnarfs,0.686
37,willasson,0.687,liofmarskalken,0.686
38,systan,0.687,bonnarp,0.686
39,domnarfs,0.686,4rdr,0.685
40,liofmarskalken,0.686,sobieski,0.685
41,bonnarp,0.686,clief,0.685
42,4rdr,0.685,kötthandlare,0.685
43,sobieski,0.685,spritvarubolag,0.685
44,clief,0.685,rén,0.685
45,kötthandlare,0.685,kofferdivarfvet,0.684
46,spritvarubolag,0.685,edborg,0.684
47,rén,0.685,hästskosömfabrik,0.684
48,kofferdivarfvet,0.684,bevillningsberedningarne,0.684
49,edborg,0.684,sockerbruksidkare,0.684
50,hästskosömfabrik,0.684,befälsrätt,0.683
51,bevillningsberedningarne,0.684,jonst,0.683
52,sockerbruksidkare,0.684,wincrantz,0.683
53,befälsrätt,0.683,vestholm,0.683
54,jonst,0.683,verstorp,0.683
55,wincrantz,0.683,sidwall,0.682
56,vestholm,0.683,egodelningsrätten,0.682
57,verstorp,0.683,granbergsdals,0.682
58,sidwall,0.682,aftjänar,0.682
59,egodelningsrätten,0.682,tengzelii,0.682
60,granbergsdals,0.682,galgkrogame,0.682
61,aftjänar,0.682,drufvefors,0.681
62,tengzelii,0.682,önnarps,0.681
63,galgkrogame,0.682,wälia,0.681
64,drufvefors,0.681,forsbergska,0.681
65,thornell,0.681,vleugel,0.681
66,önnarps,0.681,olov,0.681
67,wälia,0.681,advokatverksamhet,0.681
68,forsbergska,0.681,hallmer,0.681
69,vleugel,0.681,hospitalssysslomannen,0.68
70,olov,0.681,kallendegatan,0.68
71,advokatverksamhet,0.681,kröpelin,0.68
72,hallmer,0.681,örlogstjenst,0.68
73,hospitalssysslomannen,0.68,kaptensexamen,0.68
74,kallendegatan,0.68,stenkyrke,0.679
75,kröpelin,0.68,kahlmeter,0.679
76,örlogstjenst,0.68,brogården,0.678
77,kaptensexamen,0.68,instruktionsofficer,0.678
78,störj,0.679,borgareskolan,0.678
79,byggmästarefirman,0.679,waktarrest,0.678
80,hemindustri,0.679,vennerholm,0.678
81,vestlund,0.679,esséns,0.678
82,stenkyrke,0.679,hörigt,0.677
83,kahlmeter,0.679,möbelpolererska,0.677
84,brogården,0.678,béve,0.677
85,instruktionsofficer,0.678,rankhyttan,0.677
86,borgareskolan,0.678,adell,0.677
87,waktarrest,0.678,falerum,0.677
88,vennerholm,0.678,skiftesgodeman,0.677
89,esséns,0.678,biafvel,0.677
90,hörigt,0.677,landtpigor,0.677
91,möbelpolererska,0.677,elementarlärovärk,0.676
92,folkskolelärareexamen,0.677,återlämnande,0.676
93,béve,0.677,vifstavarfs,0.676
94,rankhyttan,0.677,olol,0.676
95,adell,0.677,acrel,0.676
96,falerum,0.677,nyreglerade,0.676
97,skiftesgodeman,0.677,briks,0.676
98,biafvel,0.677,födelsesocken,0.676
99,kristendo,0.677,bodelsson,0.676
