,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,fårskinn,0.882,aed,0.838,wremja,0.667,kejsare,0.792,czar,0.768
1,halfsula,0.879,hårdvall,0.833,bundsförvant,0.652,czar,0.783,kejsar,0.711
2,vinättika,0.878,83o,0.823,lobanoff,0.652,kejsar,0.712,kejsare,0.71
3,sammetshatt,0.878,fanér,0.82,atschin,0.645,furst,0.685,zarens,0.682
4,tnm,0.873,säf,0.818,arméeorps,0.641,zarens,0.679,furst,0.672
5,foderwäf,0.87,filif,0.816,rysko,0.639,käjsarens,0.67,käjsarens,0.668
6,smörask,0.866,tst,0.816,svarsnot,0.639,furste,0.647,käjsar,0.65
7,wekar,0.863,méme,0.814,dziennik,0.638,storfurste,0.646,storfurste,0.641
8,råghalm,0.863,verksele,0.814,corti,0.638,käjsar,0.633,storfurst,0.629
9,datt,0.862,skjutshäst,0.813,buonapartes,0.636,storfurst,0.625,kajsar,0.626
10,knappa,0.861,13j,0.811,moustiers,0.635,alexander,0.618,enkekejsarinnan,0.623
11,förtent,0.858,uniformsknapp,0.81,generad,0.635,kejsarinna,0.613,zarén,0.615
12,karafiner,0.857,fällknif,0.809,fremdenblatt,0.634,gortschakow,0.61,dolgorucki,0.614
13,guldsnitt,0.857,tjura,0.809,mellanasien,0.633,vladimir,0.609,bismarck,0.612
14,mortel,0.856,ankartäg,0.808,tronafsägelse,0.632,zarén,0.609,vladimir,0.61
15,guldked,0.855,foller,0.808,utvisning,0.632,bismarck,0.606,furste,0.609
16,perlemo,0.853,first,0.807,tillrådt,0.631,gatschina,0.605,käjsaren,0.609
17,ostindistt,0.853,tygsort,0.806,taikun,0.63,nikita,0.604,gortschakow,0.607
18,tårta,0.852,bvitt,0.805,suwarow,0.63,sultan,0.603,nikita,0.605
19,hårdvall,0.851,grangren,0.805,radama,0.628,kajsar,0.603,bismarek,0.601
20,parkum,0.851,numrera,0.805,zarén,0.627,käjsaren,0.602,nelidov,0.594
21,tältduk,0.851,hra,0.804,cirkulärnote,0.626,dolgorucki,0.599,turst,0.593
22,svinkreatur,0.85,riir,0.803,romagnan,0.626,rikskansler,0.59,rikskansler,0.592
23,kubikfot,0.85,ude,0.803,ristic,0.624,stambulow,0.588,storherren,0.59
24,207,0.85,ija,0.803,zarens,0.624,enkekejsarinnan,0.587,gortschakoffs,0.588
25,omärkt,0.849,oktant,0.802,ängland,0.624,livadia,0.587,niko,0.583
26,inbränna,0.849,jernvigter,0.802,moderados,0.624,bismarek,0.586,tronbestigning,0.583
27,ankartäg,0.848,opal,0.801,totleben,0.624,kejsarfamilj,0.584,stambuloff,0.582
28,boy,0.848,cardemummor,0.801,dahomey,0.623,nelidov,0.584,schuvalov,0.581
29,vadmal,0.848,yllestrumpa,0.801,skyddsmakt,0.622,kejsarpar,0.582,melikoff,0.581
30,swana,0.848,ofh,0.801,napolen,0.621,storfurstentronföljaren,0.581,bulgarien,0.58
31,iidr,0.847,794,0.8,birmanska,0.62,niko,0.581,stambulow,0.579
32,nattkommod,0.847,sängtäcken,0.8,mazzinistiska,0.62,melikoff,0.579,tronföljare,0.578
33,halfkläde,0.847,tressa,0.8,kalergis,0.62,gortschakoffs,0.577,herskaren,0.577
34,bordknif,0.846,härprydnader,0.799,nikita,0.619,storherren,0.576,detronisering,0.577
35,1870,0.845,klädesbyxor,0.798,tronarfvinge,0.619,herskaren,0.575,sultan,0.577
36,kihlstedt,0.845,spröd,0.798,sydprovins,0.618,bismark,0.574,wladimirs,0.576
37,nätra,0.844,speciesedlar,0.798,österike,0.618,tronföljare,0.573,storfurstentronföljaren,0.575
38,bomullsduk,0.843,silfverkanna,0.798,yenetien,0.618,wladimir,0.572,kejsarinna,0.574
39,gräll,0.843,qvader,0.798,kreuzzeitung,0.617,gortschakoff,0.571,kejsarfamilj,0.574
40,ekspik,0.843,palmborg,0.798,czecherna,0.617,peterhof,0.571,käjsarne,0.573
41,rosig,0.843,liss,0.797,mazzinisterna,0.616,nikolaj,0.57,nikolaj,0.573
42,bordsknifwar,0.843,bokstäfverne,0.797,ockupering,0.616,detronisering,0.569,metternichs,0.573
43,rwä,0.843,stigt,0.797,generalcorrespondenz,0.615,konstantinowitsch,0.567,umberto,0.572
44,t5,0.843,715,0.796,arfsföljden,0.615,bulgarien,0.567,nikolais,0.571
45,starr,0.842,trägärds,0.796,constantins,0.615,stambuloff,0.567,gatschina,0.57
46,ean,0.842,isgata,0.796,novoje,0.615,dolgoruki,0.566,karaweloff,0.569
47,solar,0.842,laf,0.796,utri,0.615,turst,0.565,gortschakoff,0.569
48,trägärds,0.841,leur,0.795,verdsliga,0.614,galadinern,0.564,alexander,0.568
49,röding,0.841,fce,0.795,merlin,0.614,tronbestigning,0.563,mikado,0.568
50,äswcnsom,0.841,bakgata,0.795,turinerkabinettet,0.612,alerander,0.561,livadia,0.568
51,braxen,0.84,vedträ,0.795,correspondencia,0.612,metternichs,0.56,konstantinowitsch,0.568
52,bokstäfverna,0.84,hegre,0.795,pronunciamento,0.612,muley,0.559,galadinern,0.567
53,nörre,0.839,tot,0.794,toskana,0.612,kalnoky,0.559,bismark,0.566
54,jernpanna,0.839,krit,0.794,spoleto,0.612,wladimirs,0.558,dolgoruki,0.566
55,sysilke,0.839,lisco,0.794,ruski,0.612,lurst,0.558,sturdza,0.566
56,kulörd,0.837,risti,0.794,förvista,0.611,spala,0.557,kej,0.564
57,bomullssammet,0.836,iaf,0.793,hohenlohes,0.611,oberdank,0.557,katkoff,0.564
58,förhydning,0.836,zinkplåt,0.793,sapieha,0.611,fnrst,0.557,kejsarpar,0.562
59,cher,0.835,femtusen,0.793,påfvisk,0.611,nikolais,0.555,kröning,0.562
60,urkedja,0.835,constrictor,0.793,dorten,0.611,witsch,0.555,lifläkare,0.562
61,620,0.835,fölunge,0.793,tagespresse,0.61,ignatiev,0.555,gortschakov,0.561
62,275,0.835,mastträd,0.792,storvisir,0.61,schuvalov,0.555,fnrst,0.561
63,bouteille,0.834,297,0.792,napoleona,0.61,metternich,0.554,wladimir,0.561
64,löfbrott,0.834,skarf,0.792,kejsare,0.61,keisar,0.554,hohenlohe,0.561
65,sorgspel,0.834,sjundedel,0.791,krigsministéren,0.61,gortschakov,0.553,alerander,0.561
66,klackjern,0.834,sata,0.791,poleon,0.61,handskrifvelse,0.552,handskrifvelse,0.561
67,melon,0.833,piancher,0.791,öfverherre,0.609,ryssland,0.552,koburgaren,0.56
68,cloth,0.833,975,0.791,valkollegium,0.609,loris,0.552,rikskanslären,0.559
69,blår,0.833,doucher,0.791,krapotkin,0.609,kondoleans,0.551,bysslands,0.559
70,dustin,0.831,g1,0.79,furstedömet,0.609,karaweloff,0.55,lurst,0.559
71,lanterna,0.831,jordgubbe,0.79,ryssvänlig,0.609,abdul,0.55,spala,0.559
72,thesked,0.831,klip,0.79,vasallstat,0.609,kröning,0.549,mingrelien,0.558
73,armstake,0.831,gaetano,0.79,öfverherrskap,0.609,koburgaren,0.549,keisar,0.557
74,järnband,0.831,daaen,0.79,stephano,0.608,storvisir,0.548,sarens,0.557
75,smultron,0.831,bärner,0.79,börsrykte,0.608,kischeneff,0.548,battenberg,0.556
76,bordtäcke,0.831,oxhufvud,0.789,aragonien,0.608,hofburg,0.548,tronafsägelse,0.556
77,eer,0.831,hama,0.789,kandiotiska,0.608,metropolit,0.547,oberdank,0.555
78,morgonrock,0.831,cp,0.789,exkejsar,0.608,lifläkare,0.547,witsch,0.555
79,platina,0.83,lewererade,0.789,paskewitsch,0.608,ezaren,0.547,kalnoky,0.554
80,koksalt,0.83,halfstrumpa,0.789,rankrike,0.608,schuvaloffs,0.547,danilo,0.554
81,finl,0.829,elfi,0.788,långresa,0.607,cettinje,0.547,hamid,0.554
82,tranfat,0.829,äswensoin,0.788,dreussen,0.607,mingrelien,0.546,kejsarin,0.553
83,notpapper,0.829,coco,0.788,pressburg,0.607,hohenlohe,0.546,liechtenstein,0.553
84,roffrö,0.829,25000,0.788,montcnegro,0.607,battenberg,0.546,kondoleans,0.552
85,hesslers,0.828,axa,0.788,layards,0.607,umberto,0.546,abdul,0.552
86,flipade,0.828,clare,0.788,bessarabiens,0.607,länsherre,0.545,panslavist,0.551
87,kop,0.828,milie,0.788,auvergne,0.607,lobanoff,0.545,haymerle,0.551
88,composition,0.828,3v,0.788,fransko,0.606,ischl,0.545,ignatiev,0.55
89,fw,0.828,parii,0.788,bukharest,0.606,mordanslag,0.545,peterhof,0.55
90,dusin,0.828,spörjsmål,0.787,nndersåter,0.605,alexandrowitsch,0.544,schuvaloffs,0.55
91,ffillingar,0.828,beläckta,0.787,wiseman,0.605,haymerle,0.544,lobanoff,0.55
92,inslagen,0.828,duss,0.787,folkstämning,0.605,sarens,0.543,öfverprokuratorn,0.55
93,tyllkrage,0.828,brunnsintendent,0.787,krigsmanifest,0.605,giers,0.543,caprivi,0.549
94,strykjern,0.827,arvidson,0.786,afslöjanden,0.605,hamid,0.543,alexandrowitsch,0.548
95,ornament,0.827,dut,0.786,reichsanzeiger,0.604,trepow,0.542,käjsarinnan,0.548
96,briljanterad,0.827,milla,0.786,gaulois,0.604,stambulovs,0.542,bismarok,0.546
97,iransk,0.827,boutelj,0.786,kiliva,0.604,ignatieff,0.542,bismareks,0.546
98,oxhud,0.827,boningslänga,0.786,servien,0.604,nikolajewitsch,0.542,napolen,0.546
99,kulörda,0.827,barnsko,0.785,regeringsbladen,0.603,hofministern,0.542,sjelfherskarens,0.546
