,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,beswar,0.88,förbrytare,0.792,sedelstock,0.728,metallisk,0.667,vexiar,0.628,kortsigtiga,0.524,statspapper,0.519
1,tildela,0.879,stipendium,0.784,utläna,0.698,werlar,0.621,värdepapper,0.613,öfverkurs,0.522,öfverkurs,0.517
2,inbegripa,0.875,löftesman,0.782,utelöpande,0.688,metallista,0.602,vexel,0.612,statspapper,0.519,bankpapper,0.509
3,inbringa,0.873,answarighet,0.779,förskott,0.68,sedelstock,0.588,kreditbref,0.606,konform,0.518,kortsigtiga,0.501
4,inbetalning,0.861,decidera,0.778,understiga,0.678,depositionsräkning,0.588,nppköp,0.605,hufvudkursen,0.508,kreditsida,0.501
5,vilkor,0.86,fulleligen,0.777,räntorne,0.676,kontanter,0.584,notcirkulationen,0.586,bankpapper,0.504,konform,0.496
6,hitintils,0.86,acceptera,0.777,skuldförbindelse,0.674,hypotheker,0.578,diskontering,0.581,uso,0.501,hufvudkursen,0.496
7,vänja,0.856,nägonfin,0.775,derutöfwer,0.672,upplåna,0.578,vcxlar,0.578,platsförbrukning,0.499,platsförbrukning,0.489
8,agio,0.855,werkstallas,0.771,rtdaler,0.669,diskretion,0.577,koper,0.577,fondpapper,0.493,fondpapper,0.487
9,ico,0.852,mäga,0.771,capitalet,0.666,sedelmassa,0.574,statspapper,0.577,vexeltillgången,0.486,omtång,0.485
10,rc,0.852,wäntat,0.77,öfwerstiger,0.666,räntebärande,0.574,texlar,0.577,mdrs,0.481,vexeltillgången,0.483
11,kungörcs,0.851,inwända,0.767,afbetalning,0.664,diskontera,0.571,postremiss,0.576,underkurs,0.48,affärspapper,0.482
12,dikta,0.85,utelöpande,0.763,amortering,0.664,amorteringslän,0.57,banksedel,0.573,vexelbörs,0.479,waluta,0.481
13,bilagd,0.85,rigtigt,0.762,statskassa,0.663,banknot,0.569,vexelomsättningen,0.572,banktrattor,0.476,sedelemission,0.481
14,svara,0.85,supponera,0.762,öfverskott,0.662,insättarne,0.568,yexlar,0.565,affärspapper,0.475,rörelsemedel,0.48
15,lappri,0.849,sannt,0.762,diskontera,0.662,hypothek,0.565,velie,0.562,vexelmarknaden,0.474,myntrepresentativ,0.48
16,universitet,0.848,tillerkänna,0.761,femhundrade,0.661,sedelemission,0.563,vexeltillgången,0.561,sädesartiklar,0.473,bortslutningar,0.478
17,blifwik,0.847,utläna,0.761,utbetalning,0.659,diskontering,0.563,rexlar,0.558,noteradt,0.472,utlåningsrörelse,0.477
18,siut,0.847,betänklighet,0.761,contos,0.657,statspapper,0.562,postremissvexiar,0.554,oförändrado,0.471,qvarnbehof,0.477
19,real,0.846,utöfwer,0.76,insättande,0.656,bekommen,0.561,kassakreditiv,0.554,omtång,0.471,prisställningen,0.474
