,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mathematik,0.704,naturvetenskap,0.652,naturvetenskap,0.659,naturforskning,0.651,naturvetenskap,0.645
1,studium,0.677,humanistisk,0.598,språkvetenskap,0.63,naturvetenskap,0.64,läkarevetenskap,0.632
2,forskning,0.654,lagfarenhet,0.586,språkforskning,0.622,biologi,0.635,naturforskning,0.625
3,användbarhet,0.653,physiska,0.578,samhällslära,0.617,konst,0.632,empirisk,0.621
4,brukbarhet,0.65,estetisk,0.573,odlingshistoria,0.607,rättsvetenskap,0.625,biologi,0.616
5,kristendom,0.65,skönhetssinne,0.57,hegel,0.607,språkvetenskap,0.623,teosofi,0.615
6,lagfarenhet,0.649,theoretisk,0.568,vetenskaplighet,0.607,läkarevetenskap,0.619,rättsvetenskap,0.614
7,vitter,0.649,litteraturhistoria,0.567,vitterhetssamhälle,0.606,själslifvets,0.618,statsvetenskap,0.613
8,teoretisk,0.641,konsthistoria,0.567,konsthistoria,0.606,arkeologi,0.615,språkvetenskap,0.612
9,vitterhet,0.641,samhällslära,0.566,arkeologi,0.605,forskningsområde,0.613,metafysik,0.61
10,theoretiska,0.64,teoretisk,0.565,utforskande,0.603,vetenskapsgren,0.613,alkemi,0.609
11,moralitet,0.639,theoretiskt,0.564,fornforskning,0.602,forskning,0.612,själslifvets,0.606
12,fosterlandskänsla,0.633,mythologi,0.56,läkarevetenskap,0.601,utforskande,0.611,forskningsområde,0.604
13,fysik,0.633,hegelska,0.559,specialstudium,0.599,vetenskaplig,0.61,geodesi,0.604
14,skolungdom,0.631,tonkonst,0.556,tonkonst,0.598,odlingshistoria,0.609,utforskande,0.602
15,tecknare,0.63,naturhistoria,0.555,heroer,0.597,empirisk,0.609,polarforskning,0.6
16,högskola,0.627,tankeförmåga,0.554,vitterhet,0.596,romandiktning,0.608,hegelska,0.597
17,praktisk,0.626,måleri,0.554,läkekonst,0.596,metafysik,0.607,arkeologi,0.595
18,artistisk,0.625,moralitet,0.553,utveckling,0.594,statsvetenskap,0.607,experimentell,0.594
19,mathematiska,0.625,matematisk,0.553,utvecklingshistoria,0.591,popularisera,0.606,utvecklingslära,0.585
20,intellektuel,0.623,utbildande,0.551,vetenskaplig,0.59,konsto,0.602,storbragd,0.585
21,utvidgande,0.622,militärväsende,0.551,utvecklingsgång,0.587,alkemi,0.6,gudsförnekelse,0.584
22,ideell,0.622,frenologi,0.549,epokgörande,0.587,tenskaplig,0.596,verldsåsigt,0.583
23,naturalhistoria,0.62,trigonometri,0.548,naturalhistorisk,0.587,språkforskning,0.596,fysiolog,0.583
24,verkningskrets,0.62,theoretiska,0.548,esthetiska,0.586,lifsfrågor,0.591,physiska,0.582
25,vetenskaplig,0.619,tidehvarfvets,0.547,menskligheten,0.583,heroer,0.59,språkforskning,0.581
26,humanistisk,0.619,mångsidig,0.546,krigsvetenskap,0.581,polarforskning,0.59,esthetiska,0.581
27,lektyr,0.619,vigtigasle,0.546,forskning,0.581,storbragd,0.588,darwinism,0.58
28,vetande,0.618,theologisk,0.544,konstslöjd,0.581,skönlitterär,0.588,popularisera,0.577
29,matematik,0.616,förvärfvande,0.543,naturvetenskaplig,0.579,bibeltolkning,0.586,vetenska,0.577
30,klassisk,0.616,dramatik,0.542,meteorologi,0.574,hegelska,0.585,linnéanska,0.577
31,fosterländsk,0.616,affärs,0.541,hegelska,0.573,diktkonst,0.585,religionsvetenskap,0.575
32,fysisk,0.615,zoologi,0.541,empirisk,0.573,experimentell,0.584,naturvetenskapsman,0.574
33,intellektuell,0.615,intellektuel,0.541,utöfvare,0.569,vetenska,0.583,terapi,0.574
34,mångsidig,0.614,välskrifning,0.541,larda,0.568,banérförare,0.583,läkekonst,0.574
35,välskrifning,0.614,statsborgerlig,0.54,darwinism,0.568,målningskonst,0.581,vetenskapsgren,0.572
36,likformig,0.612,byggnadskonst,0.539,ethnografisk,0.568,esthetiska,0.58,menniskoandens,0.572
37,öfverträffa,0.612,sjelfundervisning,0.539,konstindustri,0.567,konsthistoria,0.58,odlingshistoria,0.572
