,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,krigstillstånd,0.654,beherrskare,0.623,herravälde,0.647,herravälde,0.633,herravälde,0.637
1,monarkisk,0.646,öfvervälde,0.615,öfvervälde,0.636,herradöme,0.624,herradöme,0.622
2,herravälde,0.645,dödsfiende,0.595,skräckvälde,0.619,öfverherrskap,0.576,eröfringspolitik,0.59
3,öfverändakasta,0.644,tyranni,0.59,sydslav,0.611,skräckvälde,0.569,förslafva,0.582
4,håna,0.642,suveränitet,0.587,verdsliga,0.591,öfverherre,0.567,öfverherre,0.579
5,visdom,0.642,öfvermakt,0.586,herradöme,0.588,maktområde,0.562,maktområde,0.574
6,eftersträfva,0.642,feodal,0.586,förslafva,0.586,öfverhöghet,0.56,borgarrätt,0.573
7,tillgifven,0.641,vasall,0.585,öfverherrskap,0.582,kaschgar,0.559,själfviskhet,0.572
8,personifiera,0.639,herravälde,0.584,öfverherre,0.575,nndersåter,0.554,öfverhöghet,0.571
9,inqvisition,0.637,islam,0.583,eröfringslystna,0.57,sydslav,0.553,sydslav,0.567
10,stötesten,0.636,herrskare,0.582,feodalism,0.57,förslafva,0.552,skräckvälde,0.565
11,öfvervälde,0.636,oblidkelig,0.572,envälde,0.568,rajahs,0.55,beherskare,0.565
12,alskar,0.635,oförsonlig,0.57,prestige,0.568,vasallstat,0.547,kongeån,0.564
13,monopolier,0.634,omstörta,0.568,hegemoni,0.568,kongeån,0.546,öfverherrskap,0.563
14,jemnlikhet,0.634,tillvälla,0.567,maktutvidgning,0.568,kufvadt,0.54,imperialism,0.562
15,beroende,0.633,romarnes,0.566,vasallstat,0.567,återupprättadt,0.539,hegemoni,0.561
16,vanmakt,0.633,öfverändakasta,0.566,öfverlägsenheten,0.566,slaverne,0.539,nndersåter,0.558
17,konungamakt,0.63,väsentligen,0.565,muhamedanerne,0.564,eröfringspolitik,0.539,eröfringslystna,0.558
18,rättstillstånd,0.629,omskapa,0.565,eröfringspolitik,0.563,verldsvälde,0.538,kapitalism,0.557
19,nationalitet,0.629,eftersträfvar,0.564,prestvälde,0.561,suveränitetsrättigheter,0.536,barbarism,0.557
20,genomskåda,0.628,tillskansa,0.564,muhamedanska,0.558,lydland,0.536,folko,0.556
21,hemsk,0.628,outsläcklig,0.564,barbarism,0.556,verdsliga,0.536,bannstråle,0.555
22,undergifvenhet,0.627,despotism,0.562,förevänning,0.556,despoti,0.535,sjelfviskheten,0.555
23,oförskämd,0.626,hierarki,0.562,kongeån,0.554,maktsfer,0.535,slaverne,0.554
24,förhållanderne,0.626,pånyttfödelse,0.562,verldsfreden,0.553,verldsdelens,0.535,riksenhet,0.554
25,samhällsordning,0.626,öfverrumpling,0.561,undersåter,0.553,imperialism,0.534,berskare,0.549
26,återvinna,0.625,sträfvade,0.561,bourboner,0.553,fåtalsvälde,0.534,återupprättadt,0.549
27,qväfva,0.624,aristoteles,0.56,statsordning,0.552,etiopien,0.534,sjelfbeskattningsrätt,0.549
28,mägtiga,0.623,faction,0.557,påfvedöme,0.552,beherskare,0.533,förtryck,0.549
29,integritet,0.623,förnedring,0.557,gränsprovins,0.552,statsordning,0.532,samvetslöshet,0.548
30,konseqvent,0.623,statssystem,0.556,underkufva,0.551,uppagiterade,0.532,suveränitetsrättigheter,0.548
31,fiendskap,0.623,jemvigt,0.556,imperialism,0.551,röfvareväsendet,0.532,despoti,0.548
32,ansågos,0.623,protektorat,0.555,muhammedansk,0.55,borgarrätt,0.531,hjerlan,0.548
33,martyr,0.622,krigstillstånd,0.555,samvetsfrid,0.55,barbarism,0.529,fåtalsvälde,0.546
34,medborgarnes,0.621,tyrannisk,0.555,kufvadt,0.549,befrielseverk,0.529,militärism,0.546
35,kufva,0.621,supremati,0.555,tyrannisk,0.549,hegemoni,0.529,maktställning,0.546
36,allvarligen,0.621,vanhelga,0.554,återuppståndelse,0.549,öfvervälde,0.528,verdsliga,0.546
37,tillvext,0.621,åtnjöto,0.554,återupprättelse,0.549,frihetskamp,0.528,röfvareväsendet,0.545
38,vältra,0.621,napoleonska,0.553,prestadömet,0.548,soldatesk,0.527,wienerfördragen,0.544
39,tillintetgörande,0.62,franklike,0.552,förstörelseverk,0.548,påfveväldet,0.527,kaschgar,0.544
40,beherrskare,0.62,helvetista,0.552,romanisk,0.548,taikun,0.526,obskurantism,0.543
41,ideell,0.62,eröfrare,0.552,öfverändakasta,0.547,själfviskhet,0.526,frihetsälskande,0.543
42,förstoring,0.62,undergifna,0.552,mohammedansk,0.547,förevänning,0.526,rajahs,0.543
43,energi,0.619,förqväfva,0.552,ottomansk,0.546,folko,0.526,verldsdelens,0.542
44,despotisk,0.618,blödt,0.552,tyskhet,0.546,usurpatör,0.525,verldsvälde,0.542
45,öfverlägsen,0.618,anfallskrig,0.552,tillvälla,0.545,bannstråle,0.525,öfvervälde,0.542
46,svett,0.617,maktbegär,0.552,partiregering,0.545,autokratisk,0.524,frälsat,0.541
47,byråkrati,0.616,grundläggande,0.552,skyddsvakt,0.544,höghetsrätt,0.524,prestige,0.541
48,statsrätt,0.616,vendee,0.551,nndersåter,0.544,intrigör,0.523,uppagiterade,0.54
49,snärja,0.616,province,0.551,förtryckande,0.544,mohammedansk,0.523,höghetsrätt,0.54
50,nyckfull,0.616,bålverk,0.551,försvarskrig,0.543,khediv,0.523,kufvadt,0.539
51,beherrska,0.616,statskonst,0.551,folkvandring,0.543,eröfringslystna,0.522,usurpatör,0.539
52,vämjelig,0.616,tryggadt,0.55,öfvermakt,0.543,gränsprovins,0.522,statsordning,0.538
53,oförsonlig,0.615,öfverlägsenhet,0.55,sydprovins,0.543,muselmansk,0.522,utarmande,0.538
54,aristokrati,0.615,egoistisk,0.55,prisgifva,0.542,statssamfund,0.521,muhamedanske,0.538
55,öfverlägsna,0.614,odels,0.549,tillintetgörelse,0.542,återuppståndelse,0.52,förevänning,0.538
56,argument,0.614,korståg,0.549,pyreneisk,0.542,riksenhet,0.52,etiopien,0.537
57,envälde,0.614,absolutism,0.549,mongolisk,0.542,dömet,0.52,autokratisk,0.537
58,afvärja,0.614,undergräfva,0.549,guldålder,0.542,tygelse,0.52,utarmadt,0.537
59,passionerad,0.613,tillkämpad,0.549,obemärkthet,0.542,berskare,0.519,öfverhögheten,0.537
60,pånyttfödelse,0.613,verldshändelse,0.548,wienerfördragen,0.541,öfverhögheten,0.519,bosnier,0.537
61,öfverlägsenhet,0.613,grannland,0.548,bundsförvandter,0.541,inkorporering,0.519,sekellång,0.536
62,vanära,0.612,hjernspöke,0.548,herskare,0.54,samvetslöshet,0.518,maktsfer,0.536
63,milieu,0.612,enväldig,0.547,besittningstagande,0.54,feodalism,0.517,autokrati,0.535
64,statsskick,0.612,betvinga,0.547,taikun,0.54,försvarande,0.517,frihetskamp,0.535
65,tungomål,0.612,romantik,0.547,behöllo,0.54,terrorism,0.517,vasallstat,0.535
66,stridsman,0.612,cirkassien,0.547,hattparti,0.539,kurdistan,0.517,statssamfund,0.535
67,herrskare,0.611,förslappa,0.547,usurpatör,0.539,wienerfördragen,0.516,krigsära,0.535
68,samhällsförhållande,0.611,barbarism,0.547,påfvestolen,0.539,ockuperadt,0.516,meningslöshet,0.535
69,maktägande,0.611,öfverherrskap,0.547,furstedömet,0.539,maktställning,0.515,menniskovärde,0.535
70,menskligheten,0.611,förevänning,0.546,måsfe,0.539,interdikt,0.514,jernvilja,0.535
71,förklarlig,0.611,enthusiasmen,0.546,töfva,0.539,käjsardömet,0.514,återuppståndelse,0.534
72,impuls,0.611,försvarsmedel,0.546,helleniska,0.538,krigsära,0.514,lydland,0.534
73,absurd,0.61,usurpation,0.546,maktställning,0.538,sjelfviskheten,0.513,terrorism,0.534
74,skamlig,0.61,potens,0.546,våldsverk,0.538,utarmande,0.513,blodtörst,0.534
75,omstörta,0.61,undantagslag,0.546,osäkerhetstillstånd,0.538,militärdespotism,0.513,mohammedansk,0.534
76,känslolös,0.61,bourbonerna,0.545,bundsförvant,0.538,muhamedanerne,0.513,sjelfständighetskänsla,0.534
77,svalg,0.61,hufvudsyfte,0.545,bigotteri,0.538,kapitalism,0.513,muselmansk,0.534
78,förvänd,0.609,sjelftagna,0.545,uppviglare,0.538,jernvilja,0.513,nationalära,0.533
79,andamål,0.609,despot,0.545,röfvareväsendet,0.537,militärism,0.512,sedlighetskänsla,0.533
80,naturligen,0.609,styrelseform,0.545,öfverhöghet,0.537,kolonisationsplan,0.511,sjelfbestämmelserätt,0.532
81,lojal,0.609,vanmakt,0.545,skyddsherre,0.537,legoknekt,0.511,frihetsidé,0.532
82,olycksalig,0.609,nederländerne,0.545,korsfarare,0.537,härmassorna,0.511,krigslystnad,0.532
83,mosaisk,0.609,garanterat,0.545,förtrampa,0.537,bourboner,0.511,menniskosinnet,0.532
84,vilkorligt,0.609,folkvilja,0.544,folko,0.536,lyskarne,0.511,öfverskrede,0.53
