,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,wcdcrgällning,0.811,kommelse,0.727,kommelse,0.636,kommelse,0.655,godwillig,0.605,godwillig,0.605
1,uppdikta,0.803,wilkvr,0.718,annon,0.62,låneförslag,0.618,aftala,0.591,aftala,0.591
2,öswerenskomma,0.794,wedergällnlng,0.717,tionen,0.617,regoringen,0.613,militärkonvention,0.591,militärkonvention,0.591
3,lei,0.789,öfwerenskommelfe,0.711,tryckerikontor,0.612,heslutit,0.61,pragerfreden,0.591,pragerfreden,0.591
4,oagl,0.788,aeeord,0.71,underteckuad,0.61,maktförlängning,0.61,ölverenskommelse,0.583,skiljenämder,0.585
5,wedergällniug,0.786,boktrvckeriet,0.709,stadsnämnd,0.605,nationalviljan,0.608,wienerfördraget,0.582,ölverenskommelse,0.583
6,aecord,0.785,wedergälliiing,0.707,viikor,0.605,bysättningstvång,0.606,öfwerenskommelser,0.582,wienerfördraget,0.582
7,ivedergällning,0.784,hypotheker,0.707,tråffas,0.605,tullparlamentets,0.606,sundstullen,0.58,öfwerenskommelser,0.582
8,inaccordera,0.781,aecord,0.703,refleeterar,0.604,kurhessiska,0.603,köpeaftal,0.577,sundstullen,0.58
9,niigon,0.779,wcdcrgällning,0.703,trpckeriet,0.603,grond,0.603,bergverks,0.576,enskommelse,0.579
10,nagvn,0.777,nystrand,0.694,derelter,0.602,nordslesvigs,0.599,donaufurstendömenas,0.575,kommelse,0.577
11,bofast,0.777,wedergällniug,0.688,öfverlagas,0.602,ståthållarskap,0.598,parisertraktaten,0.574,bergverks,0.576
12,torngren,0.775,betal,0.688,lektionerne,0.601,bessarabiens,0.597,skiljenämder,0.573,donaufurstendömenas,0.575
13,utläfwas,0.774,ivilkor,0.688,rubensson,0.601,definitif,0.595,konferensbeslut,0.572,parisertraktaten,0.574
14,äterfäende,0.774,wedergäll,0.687,torda,0.6,npphäfvande,0.595,enskommelse,0.572,konferensbeslut,0.572
15,anhälle,0.774,pli,0.687,närinare,0.599,börsrykte,0.595,londonertraktaten,0.572,köpeaftal,0.572
16,wedergälluing,0.773,werenskommelse,0.686,willtor,0.599,sanktioneradt,0.595,östrumelien,0.569,londonertraktaten,0.572
17,mvt,0.772,öfwertagas,0.685,enast,0.598,suttorina,0.594,allianstraktat,0.568,östrumelien,0.569
